DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1
1,15.75,0.317143,-0.83,2.73725,0.549856667,0.563307,0.006027778,-13.5985,9.896735,0.0212752095,-1.183167133,-0.0135,0.548,-0.1575,72.187129675,81.10255,398.3305188,10.93,281.75,125.45,71.445,247.05,300.6,5.063852478,-0.101494,0.9615164025,0.8242942745,0.4094615875,-0.7925,0.2196356195,-0.01,0.572,2.053,3.1965,4.09,4.87,5.2475
1,16.25,0.325706,-1.1235,2.673295,0.6161578335,0.6084125,0.004861111,-17.24525,5.87311,-0.034854321,-1.1881152325,-0.0145,0.548,-0.158,74.857321295,81.1146,398.20954065,-9.945,159.25,68.683348,43.955,245.9,298.8,5.051461612,-0.09615125,0.9023017785,0.789172045,0.4120952665,-1.0225,0.215433981,-0.02675,0.54625,2.03225,3.17825,4.077,4.85975,5.238
1,16.75,0.307548,-1.475,2.828785,0.741736722,0.693882,0.022361111,-19.48265,5.10003,-0.052846134,-1.180934923,-0.015,0.549,-0.158,75.297433205,81.1185,399.3626504,-33.434,89.95,34.51,26.745,248.05,297.6,4.9997508285,-0.09041395,0.988869557,0.801406888,0.406289306,-1.133,0.250606968,-0.0435,0.5205,2.0115,3.16,4.064,4.8495,5.2285
1,17.25,0.301723,-1.502,2.802435,0.828247556,0.810614,0.027027778,-22.2411,4.455665,-0.156629164,-1.1743868155,-0.0155,0.55,-0.1575,76.609206555,81.1196,399.4941298,-43.26,40.07,13.930701,10.88,252.7,295.8,4.88152173,-0.0894466,0.929536816,0.743049206,0.3694381855,-1.1265,0.2644188905,-0.056,0.51475,2.0145,3.16125,4.058,4.8385,5.22625
1,17.75,0.284494,-1.648,2.706385,0.783406222,0.761828,0.009138889,-24.27595,3.05446,-0.227426802,-1.169269982,-0.0155,0.551,-0.157,75.14354999,81.1204,400.2151429,-52.845,5.233,1.017,2.7466778,247.6356,294.2,4.9172141205,-0.08456805,0.91121622,0.759817741,0.374464952,-1.231,0.3003751555,-0.0685,0.509,2.0175,3.1625,4.052,4.8275,5.224
1,18.25,0.294599,-1.7325,2.8624609765,0.817872833,0.810736,0.013805556,-22.5245,3.08298,-0.0832678555,-1.173683376,-0.015,0.552,-0.1575,74.872797865,81.1377,398.591089,-54.23221235,0.0775,0,1.2855,246.15,294.84483,4.830898918,-0.09065925,0.873679575,0.730638077,0.383056132,-1.301,0.295729194,-0.0745,0.50475,2.012,3.15925,4.05075,4.8215,5.2225
1,18.75,0.313753,-1.892,3.07959,0.7829533885,0.750255,0.0031111115,-24.2834,2.28759,-0.0393942375,-1.157715176,-0.0145,0.5525,-0.157,74.5125924,81.12645,398.4867635,-54.9315,0,0,1.226,248.25,294.1,4.8232992325,-0.098214483,0.873431165,0.768011719,0.396475724,-1.448,0.304650635,-0.0805,0.5005,2.0065,3.156,4.0495,4.8155,5.221
1,19.25,0.297748,-1.8545,3.03713,0.757145333,0.7699,0.000194444,-25.3939,1.95053,-0.0951753435,-1.1719589705,-0.0145,0.554,-0.1565,75.04318635,81.13585,398.5335753,-50.032,0,0,1.2066876,246.3,293.3,4.760897306,-0.0995408,0.876010274,0.754057027,0.395481984,-1.5155,0.3019935415,-0.08,0.504,2.0085,3.1615,4.0495,4.812,5.217
1,19.75,0.309163,-1.8525,3.14285,0.897868444,0.884405,-0.00175,-27.3914,1.73662,-0.0761241445,-1.1689721875,-0.014,0.555,-0.157,74.819730615,81.1513,400.1403617,-48.861,0,0,1.1981898,248.4,293.7,4.718026275,-0.0908565,0.9467212245,0.763494027,0.402585798,-1.402,0.312188885,-0.0795,0.5075,2.0105,3.167,4.0495,4.8085,5.213
1,20.25,0.3186955,-1.835,3.06461,0.781668278,0.763206,0.002916667,-22.9709,2.50454,-0.100046915,-1.160191031,-0.015,0.555,-0.1565,74.868453785,81.1487,399.9285642,-51.2646599,0,0,1.255,243.1,293.5,4.647299747,-0.0941978,0.91413347,0.736862945,0.400171213,-1.3695,0.309747316,-0.076,0.50475,2.0105,3.16325,4.05175,4.803,5.21325
1,20.75,0.329627,-1.9565,3.06767,0.7890703885,0.7930895,0.0015555555,-26.6359,2.56542,0.021112684,-1.1719019595,-0.014,0.5545,-0.1565,76.55966587,81.1598,400.5029861,-51.5755677,0,0,1.2455,246.3,293.25,4.6351468175,-0.104307,0.9111884775,0.7942340545,0.4087945645,-1.336,0.2869903555,-0.0725,0.502,2.0105,3.1595,4.054,4.7975,5.2135
1,21.25,0.316817328,-1.7405,3.06649,0.742200778,0.744315,-0.0019444445,-25.17935,2.303035,0.0199909055,-1.1553584495,-0.014,0.5545,-0.1565,75.70367316,81.17,399.72426085,-52.317,0,0,1.286,247.25,293.25,4.678279353,-0.084993,0.877220041,0.775891745,0.400603295,-1.2855,0.284364379,-0.0755,0.50675,2.0105,3.17075,4.05425,4.798,5.2225
1,21.75,0.310131,-1.7715,3.09541,0.787756222,0.782868,0.002236111,-25.9691,1.34457,-0.022022402,-1.174850531,-0.0135,0.554,-0.156,76.684265635,81.1831,399.5118108,-52.2688449,0,0,1.23,246.8,294.3,4.6920915785,-0.09775695,0.903793343,0.7629125225,0.396806725,-1.289,0.306726379,-0.0785,0.5115,2.0105,3.182,4.0545,4.7985,5.2315
1,22.25,0.3090695105,-1.8875,3.10687,0.7307920555,0.733943,0,-28.6087,1.98987,-0.006857324,-1.185785876,-0.0135,0.5545,-0.1555,74.881398995,81.1803,399.290025,-48.768,0,0,1.238,251.1,293.5,4.71538739,-0.09553545,0.924934592,0.76784699,0.39650599,-1.458,0.31565886,-0.0855,0.51325,2.00925,3.16825,4.04975,4.80675,5.2265
1,22.75,0.30939,-1.8505,3.04649,0.7420955555,0.7432445,0.0010694445,-24.7093,1.77492,-0.017189478,-1.18056098,-0.013,0.554,-0.1555,74.97898144,81.1757,398.8422302,-48.773,0,0,1.204,249.3985,292.9,4.6130544725,-0.0898778,0.8804343095,0.7810912105,0.394492695,-1.4195,0.304579546,-0.0925,0.515,2.008,3.1545,4.045,4.815,5.2215
1,23.25,0.3036155,-1.6995,3.03959,0.823864667,0.809397,0.000486111,-27.5834,1.86278,0.0196238685,-1.178422109,-0.0135,0.554,-0.155,75.526547555,81.1726,399.5258789,-47.757,0,0,1.208,251.1,293.3,4.499716463,-0.0927334,0.877114018,0.742903762,0.383291012,-1.39,0.324171914,-0.09775,0.50675,2.00325,3.16075,4.049,4.81475,5.21925
1,23.75,0.317058,-1.784,2.979915,0.738110333,0.73966,-0.005055556,-25.2295,1.95137,-0.018536623,-1.1719726645,-0.015,0.544,-0.16,75.17491876,81.1592,399.7235882,-43.725,0,0,1.154,255.25655,293.3718,4.664622613,-0.0890442,0.884655407,0.7355556925,0.383064452,-1.3045,0.329142826,-0.103,0.4985,1.9985,3.167,4.053,4.8145,5.217
2,0.25,0.337685,-2.3225,3.002985,0.803308444,0.789825,0.0076805555,-29.474,3.16372,-0.042118917,-1.1720724765,-0.0195,0.476,-0.0355,70.311963605,80.99995,396.7408762,-61.739,0,0,1.2246764,233.45,285.8,4.147148512,-0.107187,0.935631304,0.830205377,0.4552982515,-1.889,0.278287621,0.392,0.8465,2.0515,3.029,3.8295,4.57,4.964
2,0.75,0.3411875,-2.44,3.00238,0.8467997775,0.825565,0.007583333,-29.6524,2.20083,-0.046149367,-1.173905837,-0.0195,0.476,-0.0355,69.863465015,80.9775,396.7554236,-61.6165,0,0,1.2375,232.15,285.05,4.177180833,-0.09338745,0.98924264,0.85218836,0.437995434,-2.233,0.289143064,0.392,0.8465,2.0515,3.029,3.8295,4.57,4.964
2,1.25,0.348,-2.351,3.064805,0.8473,0.815993,0.01225,-33.9763,3.281125,-0.013298033,-1.1601642855,-0.0195,0.4755,-0.035,70.873942375,80.96365,396.7831915,-60.729,0,0,1.326,230.5,283.8,4.11471643,-0.08552375,0.996237422,0.836369536,0.445152783,-2.014,0.284494464,0.3975,0.83575,2.056,3.02675,3.82375,4.56925,4.9685
2,1.75,0.3252135,-2.3685,3.07454,0.908320889,0.859246,0.006222222,-28.8509,2.92075,0.009880371,-1.1726955795,-0.019,0.475,-0.035,72.265949285,80.9703,396.8441893,-57.236,0,0,1.2765,232.65,284.4,4.088663878,-0.0870097,0.930818994,0.806387624,0.432768992,-1.952,0.2787583285,0.403,0.825,2.0605,3.0245,3.818,4.5685,4.973
2,2.25,0.335773,-2.5415,3.005235,0.8107413335,0.798068,0.0076805555,-28.4772,2.68154,0.047405359,-1.176625,-0.019,0.4745,-0.0345,71.43796879,80.9631,396.67491815,-56.96961805,0,0,1.2715,233.7,284.7,4.083234283,-0.09726005,0.925136747,0.809042026,0.420929923,-2.06,0.270367713,0.37775,0.81325,2.052,3.03,3.8125,4.55225,4.96825
2,2.75,0.3445605,-2.5625,3.05044,0.828643889,0.828522,0.0072916665,-28.631935515,2.81704,0.003578885,-1.1599203395,-0.0195,0.4745,-0.0345,72.358297835,80.9631,397.136116,-55.9625,0,0,1.2175,234,285.2,4.093490049,-0.107555,0.925901737,0.8305966745,0.439921555,-2.215,0.2710342965,0.3525,0.8015,2.0435,3.0355,3.807,4.536,4.9635
2,3.25,0.3243725,-2.9675,3.05354,0.814562444,0.803714,0.002916667,-27.9919,2.031335,0.003807379,-1.1794003805,-0.019,0.475,-0.0345,72.55961899,80.9639,397.0066598,-52.76245425,0,0,1.1855,234.89025,284.85,4.139519591,-0.0902036,0.9637066185,0.87890033,0.4281165595,-2.517,0.283507143,0.35225,0.80175,2.048,3.03375,3.812,4.546,4.9625
2,3.75,0.324499346,-2.8785,3.06587,0.754427333,0.734298,0.001166667,-28.3847,1.961045,-0.036042728,-1.18225,-0.019,0.4755,-0.035,71.49145928,80.9525,396.6131811,-51.6075,0,0,1.177,233.3088,284.05,4.059808243,-0.0872621,0.984925886,0.874288854,0.431250507,-2.471,0.27336953,0.352,0.802,2.0525,3.032,3.817,4.556,4.9615
2,4.25,0.320987,-2.9235,3.058395,0.736453778,0.731009,0.00175,-25.2508,2.39627,-0.0224595775,-1.1861932395,-0.019,0.476,-0.0335,72.016624935,80.94751,396.9258452,-51.3406572,0,0,1.2015,239.55,283.45,4.120509237,-0.0855298,0.92397619,0.818390494,0.427806031,-2.4915,0.262329373,0.3545,0.8055,2.06075,3.0255,3.8205,4.5695,4.978
2,4.75,0.324384461,-2.993,3.24882,0.832579444,0.815016,0.002138889,-27.695,2.28908,-0.011654578,-1.197382924,-0.019,0.476,-0.0325,71.75708738,80.9545,396.82553055,-45.3485,0,0,1.175,240.05,283.1,4.0493098605,-0.0892936,0.906533268,0.8803954395,0.4405952435,-2.5265,0.25791549,0.357,0.809,2.069,3.019,3.824,4.583,4.9945
2,5.25,0.321726921,-2.994,3.1677860305,0.7227601665,0.731376,0.00175,-24.0269,2.287305,-0.032931818,-1.191094499,-0.019,0.477,-0.031,72.274975725,80.9554,396.840318,-42.966,0,0,1.148,240,283.3,4.038513699,-0.0932313,0.9535426485,0.824738595,0.4260702505,-2.5865,0.256564807,0.354,0.805,2.06075,3.0185,3.82825,4.57725,4.989
2,5.75,0.3274165,-2.97,3.19058,0.818883111,0.802462,0.000972222,-27.0753,2.868125,-0.012229416,-1.1748548625,-0.019,0.4775,-0.0305,72.569487115,80.9675,396.9063866,-40.013,0,0,1.135,238.9,283.3,4.1416396095,-0.0945788,0.915285562,0.8161455285,0.430512445,-2.582,0.25848559,0.351,0.801,2.0525,3.018,3.8325,4.5715,4.9835
2,6.25,0.32731,-3.1385,3.20994,0.792632667,0.767838,0.0069027775,-25.654,3.97777,-0.0423931195,-1.2042047835,-0.0175,0.4775,-0.029,73.04462977,80.9533,396.9288786,-39.865,0,0,1.109,242.9,284.1,4.0417936095,-0.0962522,0.97559059,0.823022478,0.413163406,-2.782,0.256411778,0.33975,0.80125,2.048,3.02225,3.82425,4.56175,4.96225
2,6.75,0.3290544265,-3.393,3.212805,0.860749833,0.8543845,0.010305556,-27.99795,2.761185,0.0260838735,-1.1940810195,-0.0185,0.478,-0.0275,73.539745705,80.9569,396.84422315,-38.465,0,0,1.099,241.6,284.5,4.1487743035,-0.10157835,0.942622998,0.818574608,0.425948335,-3.06,0.262090743,0.3285,0.8015,2.0435,3.0265,3.816,4.552,4.941
2,7.25,0.332649,-3.434,3.0715,0.7037611665,0.6863535,0.0028194445,-27.2291,1.92902,-0.045600749,-1.1899154495,-0.0195,0.4775,-0.0265,74.84054036,80.94915,396.794877,-39.931,0.155,0,1.276,244.6,283.9,4.045976808,-0.09828335,0.9524120425,0.820103012,0.441960874,-3.015,0.248803738,0.339,0.7925,2.0385,3.02325,3.81425,4.55025,4.95075
