DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
3,13.75,-2.6145,71.161,163.958,384.653,89.7015,8.3375,49.6275,1323.17,606.82,395.016,13.465,4.942,0.5735,2.911,-2.927
3,14.25,-2.496,68.5875,158.336,384.574,89.706,8.47,50.6655,1237.525,562.727,357.684,13.7365,5.2105,0.594,3.038,-2.5725
3,14.75,-2.5035,58.702,128.48,384.727,89.7,8.605,50.569,1062.065,465.106,296.1,13.317,5.3815,0.5665,2.993,-2.3955
3,15.25,-2.3705,58.403,113.5325,384.4805,89.6875,8.76,52.07,990.54,444.09,267.596,12.825,5.7345,0.5825,2.974,-2.4565
3,15.75,-2.1155,49.408,87.161,384.2205,89.687,8.49,54.177,809.6935,358.533,209.8,12.679,5.8865,0.562,2.905,-2.2325
3,16.25,-1.869,37.189,54.547,383.978,89.686,8.36,54.563,615.944,275.602,134.922,11.97,6.0585,0.543,2.7315,-1.9305
3,16.75,-1.312,30.863,23.489,383.7925,89.6955,7.839,55.8265,385.452,156.456,69.81,10.6335,6.1005,0.49,2.422,-1.267
3,17.25,-0.672,21.395,-3.248,383.939,89.692,6.8645,58.47,206.114,79.632,14.237,8.6315,6.249,0.44,2.3545,-0.426
3,17.75,-0.143,11.072,-14.62,383.464,89.703,6.236,62.883,65.3105,22.56,-29.111,7.2365,6.332,0.361,2.0185,0.2245
3,18.25,0.215,5.702,-23.8445,384.2255,89.7275,5.7755,64.14,8.969,0,-45.56,6.5535,6.3375,0.343,1.927,0.832
3,18.75,0.4945,2.183,-22.1015,384.4325,89.764,5.0365,66.228,0,0,-46.06,5.736,6.2645,0.338,1.741,0.82
3,19.25,0.6665,1.264,-24.088,385.332,89.7675,4.535,68.65,0,0,-44.569,4.941,6.2245,0.254,1.359,0.813
3,19.75,0.6925,1.304,-22.256,385.879,89.771,3.808,70.904,0,0,-42.52,4.566,6.19,0.269,1.202,0.77
3,20.25,0.698,0.612,-20.1415,387.219,89.806,3.344,72.118,0,0,-42.552,4.0455,6.0775,0.218,1.243,0.748
3,20.75,0.632,2.0685,-14.9265,387.9885,89.8285,2.972,72.285,0,0,-41.92,3.668,5.933,0.186,1.279,0.698
3,21.25,0.6885,1.236,-7.773,388.434,89.8555,2.6395,73.039,0,0,-36,3.2505,5.767,0.183,0.9885,0.726
3,21.75,0.5295,0.938,-6.51,389.103,89.8525,2.349,74.1,0,0,-39.25,2.921,5.6965,0.171,0.962,0.7045
3,22.25,0.604,0.8945,-6.842,390.5495,89.858,2.033,75.8,0,0,-37.471,2.666,5.5855,0.194,0.94,0.6555
3,22.75,0.915,0.2395,-9.578,390.0195,89.856,1.8265,77.4,0,0,-36.89,2.4005,5.4945,0.172,0.973,0.658
3,23.25,0.428,0.4885,-6.472,389.887,89.856,1.216,77.388,0,0,-37.23,2.1865,5.399,0.149,0.937,0.609
3,23.75,0.509,0.453,-4.7355,389.912,89.856,0.946,78.0975,0,0,-35.22,2.049,5.295,0.17,0.843,0.607
4,0.25,0.9225,0.341,-5.295,390.385,89.799,2.417,76.6705,0,0,-39.687,3.923,8.555,0.108,0.9155,1.153
4,0.75,0.756,0.292,-2.9975,391.234,89.795,1.803,78.978,0,0,-39.705,3.727,8.425,0.089,0.875,1.191
4,1.25,0.689,0.36,-3.288,391.0705,89.7765,1.4775,79.183,0,0,-36.5815,3.507,8.415,0.101,0.962,1.1495
4,1.75,0.996,0.302,-2.662,392.5755,89.78,1.1125,80.813,0,0,-35.7655,3.367,8.3165,0.094,0.791,1.094
4,2.25,0.827,0.415,-4.3145,393.0155,89.782,0.755,81.4,0,0,-33.81,3.093,8.144,0.102,0.94,1.1475
4,2.75,0.7795,0.4145,-3.773,392.14,89.774,0.68,82.186,0,0,-33.88,2.893,8.038,0.09,0.8415,1.048
4,3.25,0.582,0.396,-1.696,393.152,89.777,0.584,83.443,0,0,-31.781,2.679,7.994,0.082,0.876,1.0555
4,3.75,0.729,0.011,-2.984,393.848,89.778,0.371,83.8,0,0,-30.183,2.5155,7.913,0.0785,0.8375,1.029
4,4.25,0.922,0.34,-1.001,392.908,89.783,0.048,84.1875,0,0,-31.22,2.3535,7.717,0.089,0.8155,0.9775
4,4.75,0.7975,0.1085,-1.548,395.031,89.791,-0.162,85.5,0,0,-27.716,2.275,7.59,0.085,0.796,0.8885
4,5.25,0.716,0.095,-2.873,394.5865,89.8195,-0.25,86.378,4.727,0,-22.13,2.176,7.54,0.077,0.7725,0.7625
4,5.75,0.356,0.267,-1.472,394.786,89.831,0.114,85.258,41.356,10.737,-8.987,2.099,7.375,0.08,0.759,0.62
4,6.25,-0.076,1.646,-1.184,394.555,89.841,1.066,80.91,151.793,73.842,16.34,2.1655,7.09,0.081,0.638,-0.31
4,6.75,-0.1365,15.388,3.669,392.115,89.8315,2.637,75.515,341.04,154.047,66.223,1.913,6.713,0.121,0.505,-0.6975
4,7.25,-0.8535,33.963,29.742,388.78,89.867,4.054,67.29,570.527,260.759,141.6,2.515,6.226,0.2115,0.6925,-1.3975
4,7.75,-2.2215,42.309,70.523,386.788,89.872,5.03,63.006,727.262,325.145,196.489,4.246,6.127,0.228,0.938,-2.6775
