DOY2,HR2,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
3,5.75,-5.0005,85.7325,0,0.56369,289.9666,314.9588,-23.13495,0.0132995,-0.034248,3.08905,-0.631545,-0.55782,-1.77205,-2.05345
3,6.25,-4.99945,85.8375,0,1.1407,289.12355,314.8315,-24.05695,0.26373,0.10733,2.7597,-0.631165,-0.562215,-1.7551,-2.1119
3,6.75,-5.15495,85.738,2.9608,2.34855,289.6971,315.46235,-18.65685,11.227,3.0349,2.9193,-0.630035,-0.57536,-1.7363,-2.17415
3,7.25,-5.072,85.0405,27.5515,13.2625,290.36545,316.2894,-7.5159,66.633,25.2835,3.26255,-0.62078,-0.586795,-1.7148,-2.24075
3,7.75,-4.8084,84.369,83.513,31.7605,294.9052,320.50425,2.69305,172.08,86.6285,2.8316,-0.61592,-0.590945,-1.6156,-2.0815
3,8.25,-4.2267,82.9605,127.395,64.0825,299.1124,325.6086,9.347,288.8,180.87,3.5477,-0.617465,-0.602705,-0.3320335,-1.116
3,8.75,-3.60385,80.759,195.415,116.04,301.1958,332.84565,19.3385,472.83,323.075,3.5812,-0.60997,-0.58519,0.139915,-0.172522
3,9.25,-3.22,79.468,266.19,134.81,303.3284,351.5581,30.05165,631.535,387.305,4.1768,-0.60814,-0.564095,0.13937,0.2971
3,9.75,-3.16395,76.1925,307.565,167.36,302.88075,361.35355,36.1306,768.82,474.33,3.4748,-0.607385,-0.57896,0.19555,0.1410504
3,10.25,-2.8016,74.754,369.475,213.17,305.3829,362.6496,48.947,912.97,599.225,3.7487,-0.604455,-0.60678,0.195095,0.308365
3,10.75,-2.4285,74.9235,449.095,246.565,306.4039,366.42815,63.0114,1092.55,675.425,3.18165,-0.59901,-0.61402,0.21937,0.33319
3,11.25,-2.02015,73.6555,490.065,273.68,307.5072,361.7916,83.69345,1184.75,750.835,3.50025,-0.59035,-0.592125,0.224525,0.482075
3,11.75,-1.8235,73.449,524.555,287.855,310.20775,368.20835,89.5731,1260.25,829.485,3.9795,-0.58835,-0.65806,0.194525,0.513255
3,12.25,-1.47565,72.066,555.24,285.055,313.3703,378.30845,95.2429,1332.7,849.03,3.8491,-0.61601,-0.54841,0.21116,0.47634
3,12.75,-1.18605,72.2245,590.145,312.505,314.0878,382.37065,92.5875,1373,903.01,3.68295,-0.61633,-0.56095,0.21073,0.40206
3,13.25,-0.704275,71.7785,570.835,273.215,314.83565,385.6496,86.6755,1341.05,785.77,3.5104,-0.60459,-0.55455,0.21081,0.37469
3,13.75,-0.543875,69.959,552.43,256.495,314.0663,371.7662,90.74285,1289.45,733.23,3.5195,-0.61065,-0.55227,0.17305,0.37703
3,14.25,-0.00891999999999998,70.2905,524.275,251.44,316.5861,373.4064,83.3448,1199.6,720.31,3.7425,-0.61651,-0.55262,0.17154,0.38265
3,14.75,0.346425,68.972,467.51,229.49,315.10735,388.075,69.9796,1103.75,661.48,4.06515,-0.63575,-0.5573,0.18451,0.38869
3,15.25,0.60165,68.8975,417.26,216.135,314.78875,385.4899,66.853,950.24,555.62,4.3226,-0.63129,-0.56929,0.20894,0.39588
