DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_2_1_1,G_3_1_1,NEE
1,20.75,0.26,0.165,-1.65,-2.1259,-3.1,-1.001,414,5.581,90.36,-1.060215,0.28583,0.0339,-1.263,-1.02165,82.97,0,0,0,270.75,307.25,-37.22,0.2,0.67,1.6645,2.14,2.999,4.41,0.096825,0.4314,0.51,0.099945,1.042,-2.05084,-2.00209,0.987
1,21.25,0.44,0.255,-2.2484,-2.127225,-3.1,-1.45,413.9,5.6,90.379335,-1.2026053875,0.31334,0.1128,-1.30465,-1.12,83.385,0,0,0,271.29835,306.75,-39.705,0.069,0.6075,1.65,2.1035,2.9875,4.4,0.1,0.43285,0.5,0.1024271535,1.065,-2.050525,-2.00209,0.821
1,21.75,0.324,0.0835,-1.5812,-2.12671,-3,-1.4,414.6,5.55027516,90.38195,-1.430794409,0.28,0.12731,-1.375,-1.32485,84.83,0,0,0,278,305.97,-31.67,0.01,0.555,1.5095,2.073,2.97,4.38,0.094615,0.42,0.494965,0.09,1.06147,-2.05082,-2.002285,0.9765
1,22.25,0.5,0.08,-1.31,-2.1,-3.0761,-1.7,414.95,5.501905,90.39,-1.728645,0.282315,-0.2886,-1.807665,-1.5817,85.53,0,0,0,279.735,305.831665,-32.34667,0.004,0.53,1.4765,2.009,2.96,4.379,0.1,0.39,0.47,0.09,1.05647,-2.05089,-2.002345,0.984
1,22.75,0.353,0.11,-1.457,-2.1,-3.0761,-2,414,5.5,90.38,-1.99,0.31,-0.1242,-1.88,-1.7485,86.529,0,0,0,275.4,304.9,-32.0767,-0.04,0.52,1.442,2.0015,2.95,4.3725,0.09,0.4142,0.43258,0.09,1.00928,-2.05109,-2.0025,0.7745
1,23.25,0.54,0,-1.259923642,-2.1,-3.1,-2,413.8,5.5,90.36955,-1.78953,0.29,-0.169,-1.924,-1.7435,87.255,0,0,0,274.12,303.7,-27.9,-0.06,0.49,1.41,1.983,2.94,4.364,0.09,0.4149,0.44147,0.09,1.06,-2.05124,-2.00257,0.984
1,23.75,0.3745,0.1185,-1.67,-2.12816,-3.1,-2,413.15,5.52603,90.3623,-1.75,0.29,-0.4282,-2.16,-1.84415,87.73,0,0,0,275.99835,304.6667,-29.7,-0.08,0.464,1.3395,1.966,2.95,4.36,0.09038927,0.38743,0.48796,0.0986,1.06,-2.05153,-2.00241,0.994
2,0.25,0.657765,0.19142578,-7.2013,-4.256,-5.1,-2,413.035635,5.1138,89.907,0.05145,0.29,-0.4144,-1.32,-1.2435,82.88,0,0,0,274.039,309.37,-34.2,0.071,0.602,1.9,2.705,3.24,4.111,0.16,0.6764648505,0.67,0.22,1.16385,-5.127495,-2.0031,0.921
2,0.75,0.66,0.185,-4.6452,-4.256,-5.1251,-2,412.46906,5.0276,89.91,-0.06,0.28,-0.4665,-1.307835,-1.304,82.365,0,0,0,273.3,309.1667,-37.01,0.06,0.559,1.772,2.663,3.241,4.129,0.160525,0.65485,0.7233999165,0.216515,1.20153,-5.12732,-2.0033,0.974
2,1.25,0.5556,0.265,-4.23,-4.256,-5.1,-2,413.13484,5.1,89.9085,-0.20945,0.28405,-0.4648,-1.4105,-1.2115,82.642665,0,0,0,273.9,308.8,-37.46,0.04,0.54,1.72,2.619,3.21,4.1,0.15,0.669737361,0.653903745,0.18,1.13,-5.13014,-2.0033,0.911
2,1.75,0.61,0.36,-5.66612,-4.25777,-5.1,-2,413.466,5.04686,89.931,-0.274943528,0.29,-0.7028,-1.532,-1.33,84.218335,0,0,0,273.93333,307.4,-34.37,0.013,0.53,1.647,2.57,3.22,4.13,0.165,0.66818,0.6575858075,0.200505,1.156,-5.12732,-2.0033,0.974
