DOY2,HR2,CO2,FC,H2O,SC,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,H,LE,PA,RH,TA,VPD,T_SONIC_1_1_1,T_SONIC_1_2_1,T_SONIC_1_3_1,T_SONIC_1_4_1,T_SONIC_1_5_1,T_SONIC_1_6_1,T_SONIC_SIGMA_1_1_1,APAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1
1,14.5,550.3463895,-5.15194681818182,0.633415592268352,-0.718822853224205,-9.654832775,-8.337701125,-13.1029225,-19.3511825,-77.3194688,-21.7882600550334,91.143862,14.944458475,-1.77479275,0.633697099049909,-3.24789729,-3.210574155,-3.46196854,-2.9865432,-2.8661326025,-2.72392254,0.0892635075,101.18639425,40.787815625,4.862414575,207.6482,303.5123975,26.31955935,-1.210768825,0.1769190945,0.273189044149548,0.182570302152079,0.132789759275501,0.0937878423453809,0.0821728031409981,0.0588731237281233
1,15.5,550.0726765,-3.60374965340909,0.604081938177854,-0.463136238612091,-9.494595,-8.1912122,-12.655281,-18.663658,-91.36964725,-41.780569606937,91.1160271,13.689875625,-1.50537888,0.444417112024564,-2.73471647,-3.192097,-3.4230124625,-3.0068402125,-2.84083608,-2.81480175,0.080889728875,66.159828375,30.693005,3.69024285,208.253465,304.205255,18.4680508,-1.089212295,0.16012969125,0.264193049474415,0.151245531324003,0.129970018630044,0.101907410400474,0.092124926680564,0.0722311213310352
1,16.5,552.16427,-4.21461481818181,0.530397192999734,-0.454924562506798,-9.229746,-8.0946579625,-12.240095,-18.539095125,-60.150821,-51.4761640453118,91.12651835,15.13866835,-1.510288415,0.394829235941252,-2.87259767,-3.3465147,-3.60845753,-3.16157841,-3.059991225,-3.2934045175,0.068954925,33.29408175,14.337584625,2.07186725,203.21073375,298.84330625,-7.96954275,-1.02963504,0.17432484975,0.128534517732566,0.125631707276592,0.0885067256182349,0.0658285857742378,0.0885587515714959,0.0758136140960473
1,17.5,562.551479,-3.600235625,0.543833941333369,-0.389549679469194,-8.8874785,-8.065019225,-11.8571295,-18.5668635,-105.56629675,-16.6874610499622,91.1975548,20.717445275,-2.56964575,0.22078738859146,-3.97088246,-4.333719265,-4.3904707,-4.15329847,-4.075057785,-4.3752328075,0.06935016,0,0,0.3684700375,203.52825625,290.45859625,-91.720246875,-0.84780099875,0.139386612,0.149926468164432,0.0658165876759994,0.062729101282455,0.0502480677584281,0.0626496023686253,0.052736992869676
1,18.5,566.880847,-1.58075740909091,0.595927424933254,-0.560938196514388,-8.818461,-8.0670549875,-11.593272875,-18.798489125,-138.392685,-19.7264376197284,91.251273125,28.125271375,-3.70776075,0.301819270562203,-4.760366,-5.83909,-5.86907006,-5.5138837825,-5.4337032,-5.50209251,0.078394540125,0,0,0,198.77006875,284.75621625,-95.2128455,-0.97252877,0.09911907315,0.181993683224632,0.0959828801012607,0.0567979249814319,0.0438635983303421,0.0904954084039981,0.0727932253901089
1,19.5,566.041551,-2.66850668181818,0.757513190230947,-0.904525077958454,-8.800117325,-7.9867205,-11.482994375,-19.857703125,-102.57549475,-22.6001349757992,91.35643235,32.700942975,-4.8622008,0.377159667756953,-5.9423611125,-7.19645406,-7.30096325,-6.96699462,-6.95494049,-7.1286121775,0.0744608,0,0,0.00729898765000001,195.17570625,278.83044,-94.2797705,-0.80577493625,0.0950841224,0.139882756870501,0.0875420520770411,0.0839295610273791,0.0554300477935437,0.0728238724773714,0.0643202226419823
1,20.5,564.0323375,-1.23871674715909,0.818582014634304,-1.23046900701353,-9.2295845,-7.89548235,-11.466799,-20.5621345,-106.625696,-33.8954702368665,91.38372965,34.39980325,-5.40779555,0.196849553310397,-7.233174875,-8.32358383,-8.4943705375,-7.917721775,-7.8068674625,-8.3047552,0.075899255,0,0,0,193.8098855,274.345235,-91.91363385,-0.92923393,0.0787340088,0.237430562160528,0.0974422317164686,0.0659309805734108,0.0663105370210708,0.0691216999878134,0.0752903289837785
1,21.5,565.793064,-1.53881608863637,0.790367794220772,-0.895851635012479,-9.6442015625,-7.794775625,-11.86410025,-21.818434375,-102.0816665,-21.8223566207708,91.369805375,35.47429795,-6.588794,0.137608613194438,-7.93640899,-9.2168740125,-8.9792658625,-8.489656325,-8.46323654,-8.985482855,0.065712735,0,0,0,192.252725,271.58885125,-91.1812847,-1.01498042,0.059554944,0.113074113784939,0.0623348731581736,0.0561097015108944,0.0593736250207554,0.0666797376152796,0.0724743068085243
1,22.5,568.029075,-1.31630097727273,0.854961762027488,-1.07754665337601,-10.093577,-7.731081345,-12.2421736,-23.0688061,-97.749739975,-17.9268503428532,91.41910375,36.424065625,-7.07762229,0.108069605941155,-8.1540794175,-9.81578785,-10.04152475,-9.4678453,-9.4257243875,-9.7668409,0.071932643,0,0,0.04013624395,193.659176,267.4155955,-88.76790785,-1.01789920525,0.070398667875,0.160442715788268,0.0834431462589506,0.0733083834206815,0.0542022033865025,0.0840932863818298,0.0621565759033784
1,23.5,569.381179,-2.22947854829546,0.869139418050406,-1.08984520781461,-10.307504,-7.7738652,-12.435471,-23.405504,-97.76409225,-20.2484251760635,91.414515075,35.24399255,-7.1912531,0.1,-8.7707354525,-9.97595616,-10.2052331,-9.507670625,-9.52403875,-10.368777,0.05868571,0,0,0,193.59732,266.6751,-89.53256285,-1.0830035,0.0683617562,0.109858290470741,0.0665510747486859,0.0629928745961068,0.0407934906763737,0.0604889489060685,0.049763354093407
