DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
3,10.75,0.66775,0.7,28.57175,307.983,0.791,0.0805,421.0525,400.7,6.173,473.15,1322,60.8,6.1485,82.5,3.356,99.71925,1.80175,2.4785,2.564,2.38725,2.494,3.28,1.129,0.84025,0.4745,1.218,2.6725,2.724,0.735,0.62375,0.9166,1.5351
3,11.25,0.6585,0.74975,34.75025,333.016,0.7975,0.1005,420.4225,400.9,6.185,511.9,1419.25,64.16,6.719,81,3.35175,99.7,2.046,2.564,2.641,2.4435,2.556,3.3125,1.2,1.081,0.523,1.162,2.592,2.73175,0.80875,0.71525,0.9314,1.56355
3,11.75,0.6585,0.694,36.109,350.12025,0.82275,0.10075,420.718,400.3715,6.26525,534.825,1478.5,65.1275,6.8305,79.575,3.40725,99.7,2.17925,2.63975,2.6975,2.406,2.514,3.30325,1.277,1.061,0.511,1.27325,2.681,2.7185,0.90225,0.906,0.9327,1.5956
3,12.25,0.74125,0.87,33.346,366.683,0.823,0.12075,420.16275,400.48475,6.334,546.55,1514,65.89,6.993,77.9,3.4385,99.7,2.18375,2.64225,2.73225,2.434,2.559,3.3045,1.26925,1.169,0.51775,1.196,2.6865,2.72925,0.8905,0.796,0.9622,1.6489
3,12.75,0.677,0.75375,33.86075,378.1085,0.85,0.1155,419.867,400.6,6.3535,545.5,1516.5,63.5,7.28825,76.9,3.44725,99.69425,2.204,2.5975,2.7945,2.471,2.499,3.31625,1.431,1.337,0.56975,1.289,2.71775,2.7045,0.91775,0.80025,0.97925,1.68235
3,13.25,0.674,0.7085,33.3455,361.6995,0.8385,0.09075,419.761,400.325,6.50275,527.1,1485,61.24,7.2385,76.35,3.46925,99.6535,2.19525,2.65025,2.85575,2.573,2.554,3.37525,1.55975,1.2995,0.5085,1.16,2.668,2.7245,1.11025,0.906,0.96305,1.6876
3,13.75,0.6155,0.652,32.11925,335.221,0.8225,0.135,419.628,400.5,6.5815,501.1,1420.25,57.83,7.27275,75.995,3.49325,99.6015,2.2635,2.644,2.879,2.6055,2.531,3.3685,1.5185,1.4105,0.559,1.222,2.68475,2.739,1.106,0.964,0.95705,1.66845
3,14.25,0.60125,0.73,32.802,315.719,0.829,0.082,419.60975,401,6.48275,453.2,1320,53.8875,7.31,76.29,3.49125,99.6,2.325,2.727,2.91,2.5695,2.561,3.34575,1.62625,1.439,0.578,1.26,2.793,2.70925,1.26325,0.9135,0.96975,1.6534
3,14.75,0.601,0.73,30.281,280.78725,0.812,0.08,419.097,400.125,6.573,400.6,1195.25,49.635,7.53275,76.475,3.41075,99.6,2.31525,2.84675,2.9415,2.58125,2.563,3.37,1.6735,1.4435,0.6125,1.1935,2.779,2.729,1.2675,1.173,0.9537,1.6372
3,15.25,0.5545,0.5775,27.9545,256.668,0.7825,0.1,418.81825,400.425,6.4905,329.05,1041,44.405,7.52775,77.1775,3.392,99.6,2.38325,2.87025,2.94475,2.671,2.545,3.372,1.65275,1.44275,0.68925,1.2475,2.82275,2.7295,1.31375,1.7595,0.91655,1.5901
3,15.75,0.58175,0.6635,24.8205,209.197,0.77425,0.132,418.7905,400.525,6.485,259.85,864.75,38.49,7.3805,77.2,3.3405,99.6,2.452,2.8515,2.946,2.671,2.56625,3.36125,1.668,1.5225,0.61875,1.294,2.825,2.736,1.31525,1.621,0.9059,1.55765
3,16.25,0.529,0.57,21.0865,157.02825,0.781,0.098,418.59025,400.025,6.55,177.5,679.675,31.745,7.33525,78.065,3.284,99.55725,2.329,2.8615,2.9635,2.6975,2.5765,3.302,1.716,1.56625,0.6505,1.39875,2.805,2.738,1.26925,1.098,0.898375,1.5272
3,16.75,0.659,0.582,17.574,106.0635,0.726,0.152,418.4695,400.6,6.5495,106.155,496.175,24.865,7.3095,79.53525,3.1705,99.56575,2.34075,2.83225,2.96925,2.71725,2.55,3.41275,1.63175,1.4915,0.67525,1.288,2.91325,2.732,1.24325,1.1865,0.8717,1.500075
3,17.25,0.57875,0.553,13.294,53.125,0.729,0.154,418.6545,400.6,6.5365,41.735,306.85,17.35,6.8075,80.375,3.06125,99.58675,2.3695,2.75775,2.969,2.753,2.529,3.368,1.6785,1.455,0.644,1.579,2.7835,2.778,1.09425,1.0815,0.81615,1.41825
3,17.75,0.678,0.628,11.253,14.732,0.6895,0.18325,418.878,401.6,6.577,3.7495,144.05,9.5925,6.3605,82.275,2.938,99.58325,2.331,2.821,2.96875,2.771,2.55225,3.3335,1.63675,1.425,0.62225,1.237,2.8005,2.742,0.9705,0.717,0.7886,1.3393
3,18.25,0.91475,0.785,6.71325,-2.085,0.62675,0.257,419.204,402.2,6.43625,-11.4995,43.2375,2.1165,5.69775,84.525,2.688,99.6,2.358,2.9095,2.967,2.777,2.564,3.36375,1.63,1.4545,0.67775,1.47525,2.83225,2.742,0.87925,0.708,0.7498,1.290425
3,18.75,1.0625,0.8775,4.44775,-6.782,0.604,0.294,419.86,403.2,6.5035,-17.14,0,0,5.014,86.45,2.58425,99.6,2.2905,2.812,2.95775,2.817,2.549,3.34275,1.656,1.3395,0.607,1.4685,2.806,2.745,0.78375,0.66425,0.7089,1.215375
3,19.25,1.027,0.9785,4.3245,-5.4475,0.5955,0.2795,420.1985,403.5,6.5385,-17.36225,0,0,4.4005,88.3,2.54725,99.6,2.306,2.762,2.96875,2.8065,2.56975,3.3495,1.593,1.3705,0.64125,1.58325,2.822,2.738,0.7535,0.5915,0.7046,1.1857
3,19.75,1.141,1.067,3.20025,-5.645,0.5895,0.258,420.207,403.325,6.405,-15.84,0,0,4.249,88.95,2.4355,99.6045,2.273,2.76725,2.9745,2.8465,2.55,3.3495,1.638,1.21,0.583,1.5725,2.709,2.74975,0.7355,0.519,0.68955,1.1729
3,20.25,0.97,0.9605,3.6985,-6.483,0.56925,0.217,420.16,403.59875,6.41,-15.0725,0,0,4.13025,89.85,2.52225,99.64325,2.25375,2.758,2.966,2.875,2.508,3.359,1.531,1.168,0.62,1.6325,2.6705,2.7545,0.727,0.466,0.6735,1.1846
3,20.75,0.995,0.9795,3.8895,-7.296,0.57425,0.194,420.247,403.1,6.43575,-16.385,0,0,4.03825,90.425,2.585,99.64375,2.2665,2.63425,2.9575,2.904,2.517,3.355,1.563,1.16175,0.56375,1.784,2.64075,2.7465,0.727,0.36125,0.6953,1.165
3,21.25,1.05775,1.004,4.7455,-8.0215,0.5785,0.207,420.09175,404,6.44125,-15.3325,0,0,4.0975,90.9,2.63475,99.646,2.2825,2.682,2.97075,2.9395,2.53825,3.356,1.512,1.039,0.62225,1.602,2.662,2.745,0.727,0.216,0.6807,1.1703
3,21.75,1.039,0.9775,3.91625,-7.67025,0.589,0.2055,420.19225,403.625,6.47825,-15.4625,0,0,3.97175,91.075,2.5445,99.69275,2.319,2.67,2.98,2.939,2.5065,3.328,1.51725,1.0045,0.5295,1.70525,2.62925,2.75525,0.727,0.231,0.6996,1.1636
3,22.25,1.02475,0.8935,3.625,-7.441,0.59175,0.21675,420.18825,404.1,6.47375,-14.87,0,0,3.92225,91.925,2.513,99.67825,2.0845,2.654,2.9745,2.911,2.52675,3.328,1.5435,1.013,0.52275,1.63325,2.6045,2.74475,0.727,0.187,0.7122,1.193
3,22.75,1.052,0.96,3.91575,-7.4435,0.589,0.19375,420.6355,404.1,6.50725,-14.755,0,0,3.79875,92.4,2.53975,99.692,2.09025,2.6325,2.9595,2.874,2.45675,3.3515,1.388,0.9665,0.5505,1.67175,2.6875,2.725,0.721,0.183,0.7166,1.2181
3,23.25,1.043,1.0055,3.258,-6.70675,0.569,0.19975,421.25175,404.6,6.5725,-12.6125,0,0,3.8025,92.325,2.47725,99.7,2.10125,2.618,2.94025,2.884,2.49175,3.343,1.312,0.9765,0.57,1.475,2.63725,2.723,0.678,0.181,0.6775,1.161
3,23.75,0.94975,0.883,2.862,-5.3675,0.59,0.187,421.86425,404.3,6.49725,-12.884,0,0,3.79025,92.6,2.518,99.6635,2.11,2.6155,2.91825,2.865,2.484,3.32475,1.454,0.894,0.549,1.57575,2.58425,2.7335,0.5985,0.181,0.6772,1.1396
