DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
2,14.75,-0.0985,-0.095,31.0775,18.5035,0.38,-0.008,430.274,4.9045,58.255,661.4,281,93.304,264.529,316.9735,-1.7705,67.955,4.158,99.0485,-0.09,-0.1075,0.1255,1.256,-0.182,1.1891,0.5259,1.2351
2,15.25,-0.002,-0.044,28.451,12.452,0.362,-0.0095,430.285,4.88,42.847,552,235.115,80.818,264.961,316.41,-1.546,67.315,3.989,99.069,-0.09,-0.1075,0.1255,1.258,-0.146,1.1514,0.5135,1.2126
2,15.75,-0.198,-0.093,28.359,6.7085,0.3475,-0.002,430.3165,4.795,20.967,460.4,162.548,63.303,255.339,311.551,-1.9095,68.39,3.86,99.107,-0.09,-0.108,0.1255,1.2575,-0.19,1.0851,0.5072,1.1401
2,16.25,-0.036,-0.0715,22.395,2.749,0.342,0,430.274,4.756,7.079,305.4,108.1,42.609,251.651,312.721,-1.962,68.245,3.698,99.134,-0.09,-0.108,0.1255,1.2575,-0.3885,1.1059,0.4796,1.1027
2,16.75,-0.188,-0.106,17.86,-0.73,0.324,-0.0225,429.2225,4.791,-5.36,179.2,60.107,26.385,254.512,311.164,-1.921,69.295,3.531,99.117,-0.09,-0.1085,0.1255,1.256,-0.549,1.0159,0.4735,1.0988
2,17.25,0.104,0.101,15.261,-6.742,0.314,0,429.116,4.756,-24.22,72.07,18.224,8.622,259.695,309.324,-1.73,72.78,3.493,99.106,-0.09,-0.1085,0.1255,1.2555,-0.539,0.9668,0.4539,1.0171
2,17.75,0.051,0.118,11.0775,-12.267,0.301,-0.0025,429.2195,4.848,-41.666,11.53,0.64,0.759,254.485,304.774,-1.9095,75.44,3.201,99.11,-0.09,-0.108,0.1255,1.2535,-0.58,1.0004,0.4237,0.9397
2,18.25,0.1655,0.21,10.566,-10.027,0.2545,-0.017,428.5965,4.593,-46.724,0,-2.021,0.07,252.483,301.803,-2.03,76.97,2.78,99.1545,-0.09,-0.108,0.1245,1.2515,-1.2065,0.7601,0.4166,0.8217
2,18.75,0.161,0.16,5.2995,-11.8,0.269,-0.009,428.663,4.812,-42.583,0,-1.7155,0.0355,258.723,302.3275,-2.101,77.15,2.716,99.194,-0.091,-0.109,-0.149,1.249,-1.205,0.7281,0.3776,0.7313
2,19.25,0.082,0.077,5.912,-10.187,0.26,-0.0015,428.232,4.962,-36.287,0,-1.408,0.038,263.008,301.843,-2.219,80.1,2.74,99.197,-0.0905,-0.108,0.123,1.252,-2.6595,0.736,0.3909,0.7658
2,19.75,0.174,0.162,5.158,-8.46,0.266,0.0055,428.5835,5.057,-36.399,0,-1.229,0.04,257.763,302.812,-2.4055,78.855,2.674,99.254,-0.09,-0.1075,0.1225,1.252,-3.1735,0.7421,0.3919,0.8165
2,20.25,0.215,0.231,4.8535,-12.737,0.265,5e-04,428.406,5.225,-33.558,0,-1.253,0.004,256.027,302.161,-2.626,79.985,2.4625,99.288,-0.0905,-0.107,0.1225,1.2505,-3.809,0.75435,0.3819,0.77805
2,20.75,0.207,0.2505,4.353,-10.6025,0.249,-0.01,429.229,5.0055,-34.353,0,-1.25,-0.005,249.339,300.624,-2.6635,79.25,2.5515,99.2085,-0.091,-0.1065,0.122,1.2475,-4.01,0.7529,0.39695,0.762
2,21.25,0.128,0.18,3.445,-12.561,0.2515,-0.016,429.472,4.977,-33.519,0,-1.472,0.014,254.397,300.448,-2.7175,80.7,2.372,99.2165,-0.091,-0.1055,0.122,1.2445,-4.011,0.74035,0.379,0.71065
2,21.75,0.186,0.164,5.064,-12.478,0.2285,0.0025,429.7905,5.071,-33.108,0,-1.236,0.02,254.274,299.393,-2.8585,81.35,2.385,99.23,-0.091,-0.1055,0.122,1.242,-4.0365,0.71425,0.36425,0.73755
2,22.25,0.227,0.2595,3.593,-10.219,0.2335,0.021,430.21,5.144,-37.457,0,-1.478,-0.009,260.347,299.597,-3.0435,80.115,2.402,99.2025,-0.0915,-0.105,0.1225,1.2395,-4.276,0.70305,0.3716,0.6898
2,22.75,0.1955,0.2225,4.965,-9.922,0.2315,0.001,429.6165,4.991,-37.978,0,-1.161,-0.003,258.883,299.506,-2.9625,80.75,2.311,99.165,-0.093,-0.1045,0.123,1.2375,-4.434,0.67715,0.36155,0.6887
