DOY2,HR2,LE,H,FC,G_1_1_1,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1
1,19.75,-2.073412972,-49.68733421,-0.300442961,-23.8421575,-29.54855,-8.80151376375,-79.4940225,-12.9646225,-13.30334,47.33629567,0.29793692175,65.399365,0.5216035,6.736017,394.406039975,1.96535152675,-8.23856875,0,-8.28,-8.17625,-6.80975,-7.83475,-7.5405,-6.351
1,20.25,-1.06343781225,-48.5729735325,-0.38221673875,-23.68452,-28.8164275,-8.969049922,-79.5439975,-12.9337725,-13.429235,46.16813185,0.30093801825,65.4097275,0.4972305,6.73034275,394.26211295,2.002451886,-8.39208475,0,-8.26,-8.1415,-6.78525,-7.81875,-7.5305,-6.3345
1,20.75,-1.041723742,-51.890256415,-0.277838138,-23.12731,-28.90976,-8.70385661425,-79.60135,-12.88706,-13.24432,46.0225921275,0.289639481,65.386965,0.4997827,7.083681,394.3700549,1.92173644625,-8.553647,0,-8.2875,-8.1265,-6.77875,-7.829,-7.51025,-6.3225
1,21.25,-1.8889796185,-52.0671422675,-0.269717244,-22.7434525,-27.85819,-8.34548166725,-79.383465,-12.89575,-13.175485,46.49823878,0.287994722,65.37971,0.5181937,7.280717,394.3615108,1.912211365,-8.693285,0,-8.3725,-8.1265,-6.773,-7.861,-7.489,-6.33475
1,21.75,-1.7972131155,-50.8135599825,-0.3562844905,-23.20503,-28.42162,-8.62101400475,-81.15502,-12.9970675,-13.255375,46.300766275,0.28495635875,65.388605,0.541696475,7.5689435,394.5032741,1.86772142525,-8.742689,0,-8.4175,-8.10025,-6.7855,-7.90675,-7.4835,-6.3315
1,22.25,-1.8202224415,-54.08998975,-0.297457686,-22.772025,-27.57924,-8.05063898225,-81.78224,-12.89232,-13.19393,45.5591507725,0.28117454875,65.375845,0.54466835,7.4697525,394.4785729,1.836416661,-8.796895,0,-8.525,-8.09625,-6.7695,-7.95175,-7.46725,-6.332
1,22.75,-1.6581169755,-51.88700656,-0.2628225855,-23.1818,-27.5577,-7.84652589075,-81.94914,-13.0771,-13.45688,46.928895935,0.28770145575,65.38341,0.5333319,7.696297,394.6308478,1.83550698625,-8.935231,0,-8.64,-8.10375,-6.758,-8.017,-7.439,-6.3175
1,23.25,-1.817765432,-53.55688301,-0.32362175225,-23.6291,-27.40019,-8.14516803675,-81.943865,-13.04353,-13.524765,45.954670755,0.2990812365,65.38402,0.5365908,7.721256,394.5591365,1.832846701,-8.995043,0,-8.6275,-8.09425,-6.75325,-8.0555,-7.43775,-6.326
1,23.75,-1.603473729,-55.6863419825,-0.346853122,-23.0846775,-28.090145,-7.86825081225,-82.14902,-13.14278,-13.6069725,46.72147467,0.296374185,65.37059,0.51648435,7.2308025,394.6718453,1.921940844,-9.050986,0,-8.615,-8.09775,-6.73675,-8.0595,-7.4295,-6.293
2,0.25,-1.150876907,-49.99740033,-0.31911042475,-22.7626,-25.21369,-6.690923053,-80.466755,-13.6717775,-13.917,56.1965498,0.277920389,65.24923,0.46403025,6.41302475,395.4339236,2.11225900425,-8.41037375,0,-6.2805,-5.67575,-4.97775,-6.332,-5.60925,-4.9005
