DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
6,6.75,417.564253175,-3.808787159,1.4911,2.2555,18.199747415,27.89728694,98.28409953,402.375,432.65,188.8,98.94915605,600.45,36.17,92.05,-0.115170479,3.290077809,3.9424294335,337.975,86.15,-0.038530291,22.5,21.645,21.7,21.1,19.9925,18.775,21.5,21.2225,18.97,20.5,20.02,24.685,24.09413479,0.374489976,0.898311189955908,5.28828053025,0.720585330130998,2.970330042,0.411614703333105,22.39,22.13172,18.6
6,7.25,408.339892225,-8.13935887575,4.029,3.9676425,30.3979851775,28.70781312,137.859560375,401.3,439.575,262.95,98.94652887,751.05,42.99,89.6,-0.10560886075,2.964333416,3.895211341,435.425,104.975,-0.056139695,23.29,21.8375,21.75,21.1,19.96,18.8275,21.605,21.245,19.005,20.5,20.0275,25.5125,25.04131567,0.398852409,1.00146786119176,7.4181996695,0.803534965013969,3.217090533,0.439943497508487,23.1725,23.174415,18.6
6,7.75,401.9795425,-10.94380662,9.7478,6.64294,41.78383674,28.98241335,180.560300275,405,447.45,341.95,98.96357489,898,51.55,86.925,-0.106195112,2.716239352,2.729911025,536.675,123.25,-0.07692441,24.11,21.9,21.87,21.1,20.04,18.85,21.7,21.3,18.93,20.5,19.97,27.1075,25.54287394,0.418410317,1.02965538458263,9.533733664,0.85622445888914,3.43086098,0.466178063619471,24.0825,23.9687,18.6075
6,8.25,390.4683615,-13.8473155575,17.13,10.13761,56.0798189,29.53498834,212.923891075,407.1,453.875,417.775,98.96726113,1055,57.0825,83.7,-0.096823393,2.110833836,2.18689759,627.25,138.575,-0.071734971,24.9,22.17,21.9975,21.0475,20.03,18.4,21.825,21.3,18.93,20.47,20.07,27.8275,26.50975158,0.426647405,1.07905595081997,11.35140684,0.902165373975304,3.510160768,0.46872589431351,24.8375,24.7122125,18.6075
6,8.75,385.02051395,-17.0592577475,26.36514,14.867505,70.47243429,29.44649883,254.70343795,409.3,459.4,483.05,98.96921649,1243.5,62.6075,81.8,-0.084753917,1.870462974,1.59814578,707,150.1,-0.086379408,25.59,22.685,22.1,21.1,19.9925,18.385,22,21.4225,18.88,20.4525,20.0275,28.7275,27.06811997,0.454148947,1.0914437438549,12.859453965,0.977135594480111,3.672556913,0.489780353832205,25.75,25.17725,18.6175
6,9.25,381.6127947,-19.31047832,37.23,19.6375,76.97749124,29.76807853,286.61157085,412.7,461.7,547.4,98.97502107,1385,66.53,80.6,-0.05947076,1.632879561,1.454134769,786.3,163.3,-0.080730651,26.2125,23.48,22.45,21.1,19.9525,18.38,22.245,21.5,18.8225,20.44,20.1,29.45,27.62458014,0.457150478,1.10851311358955,14.4176013425,0.996238609972531,3.703230584,0.48831761283001,26.235,25.9934,18.6375
6,9.75,379.046192525,-21.152883435,49.72155,24.674715,84.607395785,29.5001888775,326.329870125,415.3,465.9,593.6,98.9775468625,1444,69.73,79,-0.0460873855,1.368936758,1.3769581695,851,172.7,-0.088860483,26.89,24.36,22.6225,21.1175,19.93,18.385,22.7,21.7,18.825,20.43,20.03,29.95,28.054604855,0.46392656325,1.12624579737969,16.0177293,1.02804047906526,3.80035044875,0.497281116531713,26.785,26.50124,18.635
6,10.25,377.7103938,-22.46391362,53.73,31.41,96.93183673,29.827521205,355.842481375,417.5,470.3,633.7,98.979366025,1580,73.03,77.63,-0.030062175,1.3231022955,1.30522246175,901,180.4,-0.09033207175,27.315,24.98,23,21.155,19.9225,18.4,23.06,21.77,18.85,20.43,20.1,30.45,28.73447769,0.480259955,1.16455775961905,17.50937192,1.08277587294419,3.94000909675,0.507739990112055,27.32,26.9128875,18.6
6,10.75,376.0690576,-23.61290145,55.84,37.8353475,96.54447486,30.01966925,371.500550775,420.45,472.375,658.475,98.96655886,1610,74.5075,75.525,-0.010108457,1.0902473015,0.65381475,923.5,184.175,-0.09951381,27.64,26.345,23.39,21.13,19.915,18.415,23.54,22.2975,18.8675,20.4425,20.0275,30.6425,29.22605684,0.473714621,1.17529435376845,17.97126542,1.11146119590384,3.929043725,0.510063082373151,27.68,27.255525,18.655
6,11.25,374.47632925,-22.344222305,59.7908325,45.85536,95.22130405,29.4779703,398.2247069,421.525,473.6,672.475,98.94461049,1589.75,74.7875,73.9475,-0.00272043775,0.8964914,0.704900819,939.75,187.15,-0.098609065,27.9,27.1,23.815,21.34,19.9225,18.415,23.9275,22.6825,19.055,20.33,20.05,30.6225,29.39265051,0.494276652,1.23087308606533,18.613389215,1.12506758819193,4.012839492,0.526909753183598,28.06,27.502155,18.6075
6,11.75,375.9288737,-22.103242385,61.37,48.39552,89.4534588875,28.928118,404.5929556,422.875,476.85,685.1,98.95469247,1600.75,77.0675,73.795,0.04470575775,0.868592263,0.5485660075,959.75,192.525,-0.096702965,28.22,28.2,24.27,21.37,19.9225,18.415,24.455,23.2475,19.15,20.33,20.07,30.685,29.78525193,0.491202242,1.22536948795047,19.329890425,1.16023584154257,3.948173903,0.522428436247492,28.165,27.711285,18.635
6,12.25,374.9207135,-21.2418424,61.668885,52.37479,91.090720355,28.43447097,419.9951625,424.9,478.7,682.9,98.91526303,1657,76.85,72.4,0.0395038535,0.8862622865,0.4311836085,959,190,-0.0995596015,28.41,28.8,24.745,21.43,19.93,18.435,25.03,23.53,19.385,20.37,20.1,30.72,29.792824885,0.49855602825,1.25542531215347,20.067157095,1.17122702031104,4.03312927775,0.530132881286589,28.5625,28.0231625,18.6475
6,12.75,373.66826535,-22.44560319,57.6401775,53.125,84.5807105625,28.3913395325,407.95598985,425.875,478.4,662.475,98.899137055,1577.5,75.1625,71.6,0.024645616,0.72414447175,0.79921329475,936.75,189.175,-0.1048387135,28.6875,29.0475,24.97,21.47,19.9225,18.45,25.3675,24.0025,19.695,20.33,20.1,30.33,29.9794733325,0.497327996,1.27992071137136,21.04302655,1.18882650745551,4.082116392,0.531156815043198,28.89,28.1776275,18.6
