DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,G_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,RH_1_2_1,T_SONIC,TA_1_1_1,TA_1_2_1,VPD_1_1_1,VPD_1_2_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS_1_1_1,WS_2_1_1
10,17.75,1984.63995361328,401.130993652344,-3.41477408409119,-139.99680557251,6.15291585922241,-0.319799715280533,-6.01754608154297,-8.20337567329407,-43.484220123291,-15.5507996082305,-3.3943864941597,-2.65651904344559,100.236937713623,57.0704730987549,56.8128319740296,4.52473974227905,5.82378737926483,5.4741794347763,0,0,265.490472412109,333.036777496338,-75.5249624252319,0,0,0,0,9.47198739051819,9.69279036521912,11.6320323944092,-0.136072870343923,0.120367959141731,0.0260047630872577,0.0875521088019013,0.0227837495040148,0,0.0988936990499497
10,18.25,1989.05024108886,403.570994567872,-3.25018326044083,-79.1768646240234,6.25574259757995,-0.292063504457474,-7.49932792186737,-11.2224340677261,-43.6410194396973,-4.7847069978714,-3.16123267412186,-1.81981998682022,100.211398506165,64.7386711120606,66.0815147399902,3.85872564315796,5.26913124322891,3.39537848234177,0,0,262.329677581787,327.105590820312,-73.7337436676025,0,0,0,0,9.50640816688537,9.6786042690277,11.5799001693725,-0.134529551118612,0.0928246799856424,0.0195780647452921,0.0998772071674464,0.0163152161985636,0,0.0437050789594651
10,18.75,1984.41345214843,401.366802978516,-6.62810957431794,-109.083847427368,6.27961406707764,-0.239246994256973,-5.36767257452011,-13.7041110992432,-47.6523819923401,-13.3447654247284,-2.33215772509575,-1.67504000663758,100.208604621887,68.7776159286499,68.7666463851929,2.3279486656189,4.50342018604278,2.16180087924004,0,0,264.36367111206,323.697969818115,-72.0793678283691,0,0,0,0,9.31691207885742,9.62108244895935,11.5539960861206,-0.148846681043506,0.104130156710744,0.0216195727232843,0.0930175803601742,0.0185636661481112,0,0.0484695760533214
10,19.25,1995.91244506836,404.227760314941,-7.61354417800903,-101.610439300537,6.24607002735138,-0.218352843448519,-15.4619991064072,-16.8418262004852,-43.9520906448364,-26.3890998363495,-2.2859363257885,-1.81714197695256,100.206985855103,71.0850141525268,68.1759733200073,1.88617784976959,3.6005989909172,1.54074400961399,0,0,264.771451568603,321.060801696777,-69.9997970581055,0,0,0,0,9.35995352268219,9.58404958248138,11.5664080381393,-0.20085147023201,0.0871147369965911,0.0168973854742944,0.0890690661966801,0.0154231310123578,0,0.051739239692688
10,19.75,1997.67896728516,403.991975402832,-4.53856253623962,-133.714806747437,6.30871305465698,-0.329926703125238,-7.93739736080169,-18.5011769771576,-52.6534070014954,-13.2056296586991,-1.96411645412445,-1.64573552012444,100.218585586548,72.046884727478,74.0070247650147,1.18246614933014,3.17570027709007,0.635300353169442,0,0,264.921807098389,320.357615661621,-67.9977905273437,0,0,0,0,9.36726021766663,9.59976351261139,11.5636531114578,-0.168238401412964,0.106670182198286,0.0226083975285292,0.0903451694175601,0.0168771678581834,0,0.0523676846176386
10,20.25,1997.4814086914,405.553582000732,-4.13777298927307,-121.242750167847,6.24123072624207,-0.471601501107216,-20.2312101364136,-19.760527420044,-46.8805484771729,-8.04975485801696,-1.76511119604111,-1.87859004735946,100.222620010376,69.9857849121094,73.7733654022217,1.06899416446686,2.52283422350884,0.172209241217934,0,0,265.54560546875,317.941015625,-69.7882507324219,0,0,0,0,9.36443176269532,9.60173463821411,11.5624544143677,-0.168541429191828,0.0880010347813368,0.0170212652534246,0.0821591831743717,0.0161229359917343,0,0.0538349244743586
10,20.75,2004.54992675781,404.796493530273,-8.65213119983673,-125.442477416992,6.16026997566223,-0.557755410671234,-32.2014404296875,-20.5834869384766,-39.1615257263184,-17.6047046661377,-1.62271752953529,-1.76140601634979,100.234533500671,74.9333940505981,80.1984720230102,0.629238896071911,1.91429397165775,-0.442156028747558,0,0,269.630426025391,316.629113769531,-67.7274291992187,0,0,0,0,9.36592025756836,9.60051403045654,11.5663957595825,-0.134509600698948,0.104865053668618,0.019125519413501,0.0791936926543713,0.0169351985678077,0,0.0561654246412218
10,21.25,1984.19351501465,405.318212890625,-4.91328592300415,-122.268299484253,5.9925479888916,-0.477785061299801,-20.3898474693298,-21.4991096496582,-44.7056007385254,-8.59406726360321,-1.70056503415108,-1.46496000289917,100.244363975525,75.5890321731567,83.1575756072998,-0.308193210326135,1.64366492331028,-0.95028592646122,0,0,272.911218261718,316.483380126953,-67.0375915527344,0,0,0,0,9.35368390083313,9.61784553527832,11.5665637969971,-0.137556497007608,0.0926524629816413,0.0182171781547368,0.0976585496217012,0.0142483245814219,0,0.0571164014749229
10,21.75,1993.20466918945,406.668600463867,-4.66286649703979,-141.894336128235,5.7253756403923,-0.417764002084732,-27.8908599853516,-21.929515838623,-50.9218807220459,-12.4095001220703,-1.51390048563481,-2.03253602981567,100.223394775391,73.0944255828858,81.7979555130005,-0.687899765372274,1.2543581277132,-1.20723351240158,0,0,271.725866699219,316.077630615234,-65.2574890136719,0,0,0,0,9.33228578567505,9.61763219833374,11.5664100646973,-0.160244395583868,0.100507804751396,0.0175089593976736,0.0870680898427963,0.0165848504751921,0,0.0620241761207581
10,22.25,2017.08996582031,407.727619171143,-7.35227745771408,-162.130381393432,5.63824743032455,-0.717112398147583,-26.5364398956299,-22.3998947143555,-48.4741497039795,-9.93911738395693,-1.64139446020126,-1.41757797598839,100.272328567505,75.8365602493286,83.4247365951538,-1.04311978816986,0.938115091621878,-1.48914983868599,0,0,273.855444335938,314.665502929688,-64.1419799804687,0,0,0,0,9.31963324546814,9.60581712722778,11.5824167490006,-0.201431548595429,0.100687129609286,0.0228647348005325,0.0936546200886369,0.0154270552331582,0,0.0573276408016681
