DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
9,4.25,2.24,1.84193,0.5335,-20.20633,-18.8567,-2.000235,466.5623475,10.42771,90.1956725,10.40072,0.61076,9.6246425,9.32,9.974,88.262,0,0,0,321.4,358.33,-32.67,10.48,12.335,15.49,17.82,17.5825,16.29,0.12701,0.5489837425,0.578234996,0.128085,1.34758
9,4.75,2.1475,2.191,1.31453,-19.685885,-18.46775,-2.00076,466.871275,10.398955,90.20812,10.29611,0.6,9.7065,9.095015,9.7535,89.25,0,0,0,322,357.83333,-32.978,10.3625,12.155,15.25,17.67,17.585,16.29,0.11273,0.492058369,0.55265,0.1296,1.334
9,5.25,2.0258,1.94175,1.373850231,-18.8022,-17.6855,-2.0008,467.2638,10.310755,90.2275325,9.8841425,0.591275,9.729055,9.2,9.5285,89.85775,0.0711665,0,0,322.9308325,356.0308325,-29.8425,10.22,11.99,15.06,17.53,17.59,16.29,0.11087,0.4889575,0.56833,0.118695,1.306881949
9,5.75,1.8341547,2.783,1.639785,-17,-14.2378,-2.0008,467.2565125,10.3,90.24,9.95828,0.53831023175,9.7103175,8.87,9.4285,90.601,23.8425,7.5559975,2.705315,313.2916675,356.2424975,-36.56,10.2,11.86,14.99,17.39,17.56,16.28,0.11225,0.470075,0.5706075,0.12419813,1.2558
9,6.25,1.94,4.79514,3.619875,-12.1173225,-10.1870325,-2.0009325,463.943215,10.504,90.2625,9.981645,0.69433,11.128185,8.83335,9.6,87.783335,115.2633075,57.2125025,20.3967,314.69165,360.483335,-10.038165,10.66,12.0125,14.815,17.2325,17.5325,16.26,0.114,0.51445,0.56669,0.1307315875,1.22836
9,6.75,2.2219154,15.16712,24.103,0.24805,-2.86835,-2.00076,456.427535,10.90223,90.285,11.45133,1.11,12.91504,9.995,10.343,84.15775,286.55,137.3775,33.81,311.2,368.63333,38.06667,11.73,12.435,14.6175,17.055,17.495,16.245,0.1671,0.527604307,0.585375,0.1804179915,1.1015
9,7.25,2.08,30.31723,72.4465,17.36968,8.87471,-2.00025,442.44412,11.4906475,90.31,13.6677,1.212065,15.295025,11.94015,12.3585,76.107,480.77943945,230.3358325,42.2625,315.0750025,382.09167,105.32,13.475,13.235,14.755,16.91,17.445,16.21,0.21,0.5574,0.57104,0.286054362,0.99
9,7.75,0.933,39.81449,116.7634925,35.08801,38.798765,-1.29199,426.7277225,11.8,90.29,16.1251425,1.0015275,17.8965525,14.418315,14.55,69.245,666.8065,327.46667,48.25667,319.6325025,399.035,183.3975,14.8825,14.105,14.915,16.745,17.38,16.1975,0.28,0.6328175,0.6840575,0.37,1.13871407875
9,8.25,0.151,49.4966925,159.80477,46.0301625,64.5460775,-0.5500875,418.316,11.8,90.309175,17.895,0.77,19.5012425,16.608335,16.63,63.0185,863.0825,421.34,54.82725,326.148335,415.55,261.231665,15.9325,15.0025,15.19,16.6575,17.39,16.2,0.31395,0.7669374325,0.77064,0.4323047555,1.238
9,8.75,-0.885,56.32055,205.262875,60.40202,88.9912,0.99956,414.4916875,11.65597,90.2981,19.5594039575,0.71769621225,21.0674825,18.258335,18.31,58.0425,994.673,511.7075,62.655,333.5858325,430.0925,333.191665,17.245,15.865,15.32,16.48,17.3,16.165,0.38,0.93207981425,1.0273647185,0.50787324825,1.5857833575
