DOY2,HR2,FC,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,T_SONIC,TS_8,TS_7,TS_6,TS_5,TS_4,TS_3,TS_2,TS_1,NETRAD,SW_IN,LW_IN,SW_OUT,LW_OUT,PPFD_IN,G,CH4,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA
1,5.25,1.4562925,11.15775,-1.710055,6.56056,1.69655,0.15939,102.34025,94.8,11.0225,1.90114895904729,16.6475,11.38615,11.1809,10.71115,10.8017333333334,10.6992333333333,12.19,12.9575,12.9583333333333,-11.2216379378768,-1.08849976336962,349.564207361019,1.6232332155477,360.595781773294,0,-2.61883496235561,2472.195,492.3815,12.01205,0.649541420832585,0.607075044189502,0.12333583865479
1,5.75,1.91132,9.5475,-1.49579,17.4391,1.769235,0.1677275,102.36625,94.9,10.9575,1.75873957173011,16.5325,11.3820666666667,11.1909,10.8909,10.8819833333333,10.8022333333333,12.2383333333333,13.2075,13.045,-10.3014763951277,-0.804543303360151,351.53803157721,1.52385159010601,359.491050572282,0,-1.62270958856163,2447.44,499.086,12.05935,0.608184486304264,0.610948843604888,0.138286071335182
1,6.25,1.635795,2.68,-0.9635545,11.949275,1.78998,0.16005275,102.36075,94.5,11.085,1.58167902425454,16.61425,11.3868166666667,11.1457333333333,10.62865,10.8289,10.6865666666667,12.4566666666667,13.3175,13.1858333333333,-11.3889245199441,-0.769048745858968,352.372507107774,1.63427561837456,361.065352029923,0,-1.11097264074366,2534.94,501.576,11.964475,0.693491237144673,0.626186103880361,0.137385506408729
1,6.75,0.951829,5.5280225,-0.489996,12.3878,1.82461,0.1683595,102.362,94.6,11.18,2.01586362759523,16.235,11.3700666666667,11.0567333333333,10.4562333333333,10.6970666666667,10.5200666666667,12.1833333333333,13.0283333333334,12.8716666666667,-14.8813023838957,-1.00567912920019,348.855394112983,1.75574204946996,360.67343612306,0,-0.39977788307225,2540.8040835,505.345,11.9079,0.598101039031767,0.609825511576769,0.138867972101588
1,7.25,1.253675,8.41,3.44428,19.9982,1.909865,0.171392,102.3675,94.4,11.2125,2.27240424750673,16.3235,11.3717333333333,11.0417333333334,10.3834,10.6174,10.3242333333333,12.37,13.055,12.76,-11.5954601999643,1.50260293421675,345.097106054859,1.8440812720848,360.23991792075,8.1942789034565,0.509417198273459,2545.85,504.495,12.0457,0.634352319182878,0.529473284115676,0.161629039215158
1,7.75,1.09402,-0.754458,6.08888,26.4261,2.0241225,0.17258425,102.401,94.7,11.3175,2.46412704964512,16.53125,11.3829,11.0634,10.3868166666667,10.7094,10.3325666666667,12.09,12.7158333333333,12.685,4.10116440046474,34.4060577378135,345.429117361638,4.32862190812721,360.308314866821,72.2288438617402,1.60224132687321,2499.4238785,499.152,12.0826,0.629909381428337,0.572391386447981,0.18540054744288
1,8.25,0.921845,5.815,14.04905,37.5178,2.3723375,0.18782925,102.42725,94.325,11.73,3.38186403920744,16.925,11.3725666666667,11.0559,10.5992333333333,10.6042333333333,10.4309,12.1108333333333,12.48,11.39,40.7757225346182,104.59062943682,352.245845979964,7.06713780918728,363.590660392426,223.122765196663,2.39543438918083,2542.78,487.431,12.179425,0.774601255252405,0.594831852268297,0.223044978595263
1,8.75,0.250357,-0.513179,25.12795,57.2382,2.5862625,0.2060575,102.4375,93.7,12.015,4.38097670109485,17.392,11.3825666666667,11.0750666666667,10.8642333333333,10.6875666666667,10.6942333333333,12.6941666666667,12.41,12.1966666666667,102.280753899725,176.703738760057,353.750709909209,9.09893992932862,366.397249378181,409.386174016686,4.25656459045987,2540.650932,483.47375,12.4286,0.721516460596777,0.688932050311442,0.237539452925592
1,9.25,-0.103247,7.99,36.0137,64.01935,2.406105,0.2132255,102.4385,91.9,12.4825,5.78325406976258,17.231,11.3850666666667,11.1417333333333,11.2367333333333,10.9050666666667,11.1484,13.3683333333333,12.9925,12.4283333333333,161.470857405312,246.734500709891,356.534028353369,12.5331272084806,371.164824040476,570.113230035757,6.5194768009314,2403.205892,473.7025,12.7053,0.6933335573633,0.668306916780428,0.239687273589928
1,9.75,-0.267489,-3.448715,46.2566,74.077475,3.026925,0.224989,102.419,90.5,12.9425,6.34172931601066,17.48275,11.3759,11.0809,11.5984,11.1909,11.6250666666667,13.8075,13.155,12.0125,158.190460492571,213.428774254614,352.65002684251,16.9390459363958,376.20977715759,566.060786650775,8.95776657171039,2574.2425,469.7625,12.783525,0.621050840547414,0.696292320548004,0.257370612512306
