DOY2,HR2,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2
3,14.25,-5.9262,371.5775,149.6575,311.269675,351.98945,57.561475,943.7975,297.565,2.4433,0.1658,-1.9417,-1.623,-2.02055,-3.59845,-5.9568,442.3518
3,14.75,-5.821225,304.545,143.555,310.641875,351.628175,33.0321,752.82,232.49,2.6096,0.183885,-1.951,-1.65195,-1.7489,-3.7706,-5.74075,442.14845
3,15.25,-5.8716,291.3,131.145,310.006025,345.5001,25.63605,719.0375,219.21,3.13895,0.18985,-1.945,-1.6607,-1.7032,-3.7893,-5.40645,441.9451
3,15.75,-5.88255,242.1075,114.015,307.72275,343.066725,24.09595,614.82,175.795,2.6755,0.20996,-1.923,-1.63295,-1.6057,-3.64535,-5.08955,441.74175
3,16.25,-6.093175,188.305,90.217,305.7489,350.548575,14.3339,450.6625,171.375,2.81895,0.166035,-1.9444,-1.6397,-1.9838,-3.48955,-4.83695,441.2711
3,16.75,-6.42565,132.1675,77.20225,303.363925,340.66045,7.297625,327.4525,138.595,3.0684,0.1767,-1.94315,-1.6389,-2.3276,-3.3318,-4.4621,442.696475
3,17.25,-6.93965,80.5515,51.13525,302.269,335.1357,-4.7648,214.8725,89.945,2.620975,0.174175,-1.94445,-1.64165,-1.92365,-3.19025,-4.03165,440.8006
3,17.75,-7.826875,36.904,25.2935,300.642625,336.61375,-38.642825,93.492,46.0235,2.339375,0.132925,-1.97215,-1.6605,-2.26475,-3.0599,-3.6485,441.156475
3,18.25,-8.30995,8.29725,6.57705,297.64665,333.460475,-77.917725,21.24575,13.3605,2.6061,0.12438,-1.98275,-1.69225,-3.48825,-3.1734,-5.95695,441.5018
3,18.75,-8.629725,0.08518575,0.50082,292.561875,329.77335,-88.9514,1.2021,0.886325,2.174575,0.0743875,-1.99805,-1.69585,-4.6807,-3.8983,-6.242,442.1123
3,19.25,-8.61185,0,0.06459075,291.27015,327.35445,-87.9702,0.0232165,-0.0123085,1.667775,0.0575945,-1.9952,-1.6722,-5.149725,-3.476,-6.362,444.3204
3,19.75,-9.24005,0,0.13686625,288.535675,326.01575,-85.3395,0.00623805,-0.0712575,1.560925,0.0548635,-1.98675,-1.6637,-4.95885,-3.3097,-6.3214,445.2533
3,20.25,-9.0061,0,0.228895,291.82355,322.66465,-83.694275,0.0049933,-0.075673,1.67705,0.03445,-1.98685,-1.66075,-5.221625,-3.54465,-6.04825,445.0859
3,20.75,-9.6858,0,0.173115,292.2948,319.497925,-77.777475,0.0072324,-0.073452,1.245775,0.04208,-1.99075,-1.667,-5.774175,-3.18155,-5.94455,444.1028
3,21.25,-10.0855,0,0.153285,291.517825,319.459325,-76.80545,0.0055731,-0.077644,1.6332,0.030431,-1.99645,-1.6649,-6.3424,-3.15375,-5.8846,444.2894
3,21.75,-10.629,0,0.231545,290.47175,320.4499,-80.1969,0.005323675,-0.0813965,1.5194,0.020876,-2.01145,-1.6648,-6.6267,-3.1197,-5.5548,444.6804
