DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2
2,0.75,0,-10.77442,-47.42205,-1.736137500125,-38.7212,-1.331,60.5135,0.0272,96.93567,-1.408878,-29.53362,-0.9570193332,-1.8076,0.0369,-10.52686,-12.0653,-12.66642,-12.49916,-10.681942,-12.20723,416.917
2,1.25,0,-6.78666,-39.99196,-1.7210486668,-38.8378,-1.2676,58.99948,0.0223706,96.918635,-2.40452,-30.36006,-0.8584974002,-1.7756,0.0126,-10.58752,-12.22638,-12.6822,-12.5521,-10.747075,-12.13467,417.283
2,1.75,0,-10.0161935,-39.460345,-1.867299999875,-38.827875,-1.34475,58.1538125,0.0308713975,96.93175,-1.6456575,-29.9192375,-0.945079541875,-1.812375,0.0326175,-10.641325,-11.751675,-12.51175000125,-12.616125,-10.722384375,-12.0056875,416.88125
2,2.25,0,-11.437475,-39.30642,-1.894424999875,-38.819,-1.37675,56.359325,0.03198,96.9543325,-0.777233208125,-30.6188875,-0.884315375,-1.803625,0.034885,-10.65705,-11.774925,-12.5899375,-12.7282375,-10.680719375,-11.94355625,415.852
2,2.75,0,-11.01368,-38.28464,-1.583956249875,-39.0485,-1.36375,56.0447375,0.028905,96.9797825,-1.9054875,-33.075075,-0.9152295625,-1.7525,0.0254683,-10.6723,-11.8091875,-12.65604166875,-12.749575,-10.668281875,-11.80599375,417.46525
2,3.25,0,-11.6167925,-40.274102771,-2.1079000001,-38.7703,-1.35465,56.1457166645,0.0231706625,97,-1.81401,-30.602745,-0.8507240701,-1.7397,0.03212,-10.69094,-11.75599,-12.7120333355,-12.69735,-10.6513475,-11.6949,416.904
2,3.75,0,-12.366787444,-100.818755,-1.664206916775,-38.90075,-1.34985,56.7718,0.028195,96.98,-1.41849383355,-27.402555,-0.8180392,-1.76905,0.0272034575,-10.679095,-11.68075,-12.73124,-12.62581,-10.68996025,-11.5774083345,416.7345
2,4.25,0,-13.2762975,-36.71112,-1.995175,-38.9623,-1.30885,55.270155,0.032205,96.980165,-0.63836155,-30.895655,-0.84886685,-1.7295,0.0214975,-10.770595,-11.603505,-12.79866,-12.696655,-10.7525745,-11.47815,416.76975
2,4.75,0,-9.26125,-51.3764975,-1.648914,-39.21305,-1.28395,53.79561,0.0257075,96.9805,-1.46409275,-30.4635,-0.90985924455,-1.69265,0.0223325,-10.728505,-11.589,-12.6977616645,-12.557145,-10.75806725,-11.4864025,417.8545
2,5.25,0,-7.422065,-34.9315375,-1.4937805,-39.07735,-1.25695,57.95331,0.0364,96.90253,-1.537594,-30.012305,-0.89518727305,-1.66275,0.03536,-10.81385,-11.62395,-12.6299283345,-12.510345,-10.76802225,-11.421391671,419.376
