DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1
7,7.25,0.80377625,24.1806,5.2519875,44.468,121.136,99.6464,99.6,434.942,26.13905,703.473,387.24175,197.5825,341.71775,70.038175,414.762,439.0625,9.857,2.277705,9.45296,19.977,20.7483,20.4483,19.2128,17.1742,16,12.9483,10.85,22.54175,99.76615
7,7.75,0.91505,24.7006,5.469585,87.90125,205.1085,99.25285,99.6,429.061,26.1131,896.43675,497.099,280.4055,439.5445,82.9497,415.319,443.5095,8.3738375,1.55781,6.73342999999999,20.0332,20.7,20.415725,19.223125,17.166325,16,12.965725,10.865725,23.4795,94.957
7,8.25,0.9182635,25.45,5.763785,115.22675,259.8925,99.4661,99.6,423.801,26.12855,1066.275,587.9565,351.393,521.0005,92.3394,418.679,448.277,9.73585,1.9073725,8.13459999999998,20.1174,20.7,20.39625,19.194975,17.190725,16,12.965725,10.847525,24.305875,95.06
7,8.75,0.95846875,25.8946,5.6492625,156.671,306.491999999999,99.114,99.6,419.78725,26.3596,1244.53,658.978,428.54625,611.46775,103.432,419.44225,453.06125,4.851085,1.21486,5.62628000000001,20.1806,20.733,20.3645,19.15675,17.167,16,12.94915,10.85,25.28725,99.5347
7,9.25,0.993925,26.5842,5.93922,198.688,378.507,98.777825,99.6,416.2575,26.54935,1408.09,781.78325,501.558,691.157,112.9255,419.797,457.2005,2.84975999999999,1.3808425,3.3273,20.209,20.699175,20.317,19.122925,17.1826,16,12.966575,10.85,25.98475,98.013
7,9.75,1.01878,26.8184,5.9105675,245.59475,433.594,97.88275,99.5735,409.88,26.79975,1576.075,840.2835,563.329,762.8945,120.9575,422.622,462.46,1.766975,1.1425725,0.268336750000001,20.3538,20.682175,20.333,19.13155,17.182175,16,12.949575,10.85,26.191625,98.433625
7,10.25,1.05425,27.4704,6.19465,275.6125,526.339,98.001725,99.5525,409.275,26.52795,1721.3275,921.99525,617.16875,824.567,128.2195,423.96625,466.21175,-0.750413000000001,1.946,-1.4641075,20.4894,20.716575,20.3326,19.066775,17.192,16,12.982175,10.866575,26.657,97.079125
7,10.75,1.12207,28.154,6.31717,285.785,502.586,97.7532,99.5575,408.97825,26.956625,1834.98,980.9785,661.919,881.7485,133.703,421.916,468.6855,-1.50084425000003,1.42535,-3.3335175,20.8252,20.8305,20.35,19.024375,17.158,16,12.95,10.882175,27.3897,94.9297
7,11.25,1.0840925,28.6146,6.3403775,324.6315,563.88,98.844625,99.5575,408.6745,26.6975,1917.75,1011.86,697.95875,926.581,137.792,426.5525,472.93625,0.2830245,1.4392825,0.253316425000004,20.9298,20.967,20.367,19,17.2,16,12.983,10.85,27.3143,92.407
7,11.75,1.107795,29.01805,6.438935,336.064,563.3715,97.9882,99.555,406.446,26.762125,1973.64,1064.325,721.76425,951.801,140.381,426.72875,475.857,-2.25804000000001,1.73595,-3.57321,20.9872,21.05,20.383,19,17.192,16,12.95,10.85,26.77,92.6697
