DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,18.25,-30.7721,-5.9065425,0.702791,-0.1744415,0.114822,0.0123127,-0.126058,386.267,0.5395478625,5.35385,0.044168816,0.46690675,0.43896875,0.14794725,1.3126875,0.11257325,10.3181,0.265375,9.73578425,19.55232616,88.5,6.3982317325,8.3925,10.495,9.995,8.195,-1.87452625,4.36206925,0,0,-79.3,0,0
1,18.75,-34.1855,-5.535385,0.719513,-0.37012025,0.156035,0.00287554,-0.09225,386.846,0.5184579035,5.39648,0.04822235275,0.425715,0.38184425,0.1551245,1.6116725,0.11604425,9.9782775,0.26501675,8.8025,20.7325,88.5,5.59325249025,7.141,10.2075,9.42,7.68575,-4.909219,2.077769,0,0,-76.46,0,0
1,19.25,-34.15325,-3.83411,0.42969175,-0.335782,0.226783,-0.035079475,-0.1027045,387.103,0.5619267595,5.47396,0.046264948,0.43308125,0.361437,0.15447475,1.6390325,0.12773875,9.496155,0.27885225,7.73,22.1575,88.5,5.0835670845,6.74975,9.5225,8.9975,7.40525,-7.68414575,0.67686285,0,0,-74.71,0,0
1,19.75,-33.419325,-3.248305,0.99021325,-0.458889,0.159609,-0.0392443,-0.1115725,387.06925,0.582357547,5.524185,0.04249769475,0.46505,0.3824375,0.1652165,1.681855,0.1355165,9.07942,0.2795865,7.2485,22.98451032,88.5025,4.73554407175,5.98425,9.05,8.8125,7.0085,-10.25228,-0.93325195,0,0,-73.5,0,0
1,20.25,-34.76605,-2.922165,1.074775,-0.55685575,0.185845,-0.046978425,-0.0884,386.989,0.598644427,5.527945,0.0451647465,0.441397,0.37372075,0.161866,1.5762075,0.1298615,8.8254075,0.30059625,7.151,24.1175,88.5,4.4461851655,5.29,8.8675,8.59,6.45825,-12.0147975,-2.4394205,0,0,-72.7,0,0
1,20.75,-38.8861,-2.370285,0.694181,-0.50726425,0.162255,-0.0449404,-0.12359975,387.2315,0.603889795,5.4949675,0.0469986675,0.45789175,0.38449375,0.164221,1.8205125,0.1294995,8.5353175,0.290163,6.842,24.36,88.53,4.27612423825,5.03125,8.5125,8.2925,6.362,-13.324905,-4.10597825,0,0,-71.29,0,0
1,21.25,-34.2985,-2.09495,0.848924,-0.769047,0.121911,-0.0697338,-0.09455,386.694,0.5837780675,5.375735,0.044293845,0.4633395,0.37279,0.1569835,1.77816,0.1207965,8.106835,0.295411,6.669,24.9,88.6,4.12583522475,4.4115,8.3,7.97975,6.03575,-14.54051,-5.4846605,0,0,-71.02,0,0
1,21.75,-36.14155,-2.342325,0.7620545,-0.827894,0.173611,-0.05367765,-0.0975,386.98625,0.59696394525,5.3852225,0.041923784,0.46288075,0.3841025,0.15314325,1.8509825,0.1173145,7.9772475,0.29748175,6.30875,25.5575,88.6,3.91698059175,4.06725,8.02,7.68625,5.6685,-15.40753,-6.60719225,0,0,-70.17,0,0
1,22.25,-35.571025,-2.508805,0.3545695,-0.58946525,0.1474285,-0.041318925,-0.0841,386.8575,0.5937320385,5.3778425,0.04301401425,0.4633335,0.37759875,0.1627625,1.8142525,0.1365475,8.0864375,0.29876075,5.9895,25.4625,88.6,3.58821541875,3.639,7.79425,7.381,5.34225,-16.30464,-7.598508,0,0,-69.77,0,0
1,22.75,-32.365625,-1.97941,0.31339925,-0.66243,0.1753535,-0.044737,-0.096,386.5415,0.617647968,5.49089,0.043975376,0.452571,0.3812445,0.161104,1.760865,0.1214965,7.856905,0.316557,5.91425,24.96225457,88.6,3.50205015825,3.35175,7.56825,7.09275,4.71075,-16.873345,-8.329605,0,0,-68.9,0,0
