DOY2,HR2,CO2,H2O,FC,NEE,CH4,FCH4,H,LE,WS,USTAR,W_SIGMA,V_SIGMA,U_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA_1_1_1,TA_1_2_1,TS_1,TS_2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
7,12.75,351.9407773225,21.0181538051827,-14.0978433046935,-14.0978433046935,2101.39575,341.5898455425,36.2002,213.806383682471,1.5361,0.23029,0.27913,0.63975,0.62388,24.8104,0.31517,99.2393,53.8534775,25.4330425,26.810535,22.672395,21.137065,471.621635,1253.1307507992,607.0479425,96.06602775,421.115825,468.55605
7,13.25,351.985598516921,20.7197579328163,-13.8088669979722,-13.8088669979722,2095.267,309.408911425,30.804375,194.850203498132,1.59534,0.223945,0.271025,0.66281,0.648455,25.01035,0.29795,99.13335,53.7809,25.5369125,26.7091475,22.5942025,21.150305,454.17431475,1257.696687936,590.5122125,89.977547,420.850575,469.176225
7,13.75,350.748619661728,20.174035436301,-13.1023104110612,-13.1023104110612,2089.43375,276.972445685,29.0825,213.588530883056,1.68739,0.22642,0.28787,0.64701,0.63355,25.1313,0.307,99.1159,52.0782825,25.6832175,26.6240425,22.764875,21.20279,425.7658725,1175.65260163104,555.4867725,89.4759855,422.158825,466.555825
7,14.25,351.521500633478,20.0832830294675,-12.4683119275598,-12.4683119275598,2092.9025,305.55941186,25.02535,217.299826000005,1.63823,0.24017,0.28669,0.66202,0.66365,25.0601,0.27725,99.14,52.195535,25.3963175,26.4986725,22.6636475,20.9603225,383.4186005,1046.410538004,496.37435125,80.2354715,419.558775,467.323025
7,14.75,350.720171650992,19.9895416629561,-12.9327976235951,-12.9327976235951,2111.354,330.337749715,20.2258,206.686481290859,1.68395,0.23141,0.29,0.62386,0.60481,24.9311,0.26005,99.0743,52.3824275,25.1249675,26.2189125,22.4990175,21.06907,334.597082,936.458378024,443.5463625,75.5656695,419.993825,463.4236
7,15.25,350.229355623233,20.2724644799828,-12.1357459134517,-12.1357459134517,2102.647,338.86124235,15.064325,187.86401041111,1.75226,0.22255,0.278875,0.6249575,0.5765375,24.95685,0.233775,99.071375,52.311625,25.141455,25.97853,22.592465,20.7436375,277.48525475,821.86754010894,369.90914125,66.1439145,419.2292,460.584525
7,15.75,350.222833967307,20.4804992168701,-9.54395882430784,-9.54395882430784,2092.7305,289.65773313,12.218,178.674597263868,1.91396,0.23187,0.29889,0.61716,0.60209,24.6636,0.20329,99.0648,52.7825425,25.3639125,26.053665,22.717975,20.9745975,215.5922705,619.746372492,301.58078625,53.942016,418.96285,460.527325
7,16.25,349.197355416593,20.6119318890802,-10.6957974839324,-10.6957974839324,2100.238,336.88440156,8.4020825,148.1188855,1.82407,0.21388,0.2857,0.60037,0.61566,24.8677,0.19037,99.0772,52.5655275,24.834635,25.4888575,22.7345225,21.00142,161.09321375,454.948230464,211.91590125,38.923792,418.561175,456.7755
7,16.75,350.421432617409,20.3542675995902,-8.93337828558914,-8.93337828558914,2099.779,330.599378025,5.30667,130.640813845969,1.7459075,0.21198,0.28938,0.5997775,0.597485,24.47485,0.17667,99.08765,52.5753575,24.76796,25.5957275,22.668755,21.023055,106.388163,327.43779016,156.9678,30.6888305,416.42625,455.06865
7,17.25,349.700512543296,20.4308036769104,-7.80725391638838,-7.80725391638838,2118.217,312.94466096,2.5731475,119.216205878708,1.5752225,0.2092525,0.2650075,0.5864025,0.587405,24.29495,0.14337,99.050675,54.383815,24.8305675,25.27289,22.639485,20.9677075,110.75252475,352.9717324965,167.94178875,33.8948195,414.576875,452.573225
7,17.75,349.437930253972,20.6742659289392,-5.67682279919736,-5.67682279919736,2118.77425,321.62376758,-3.5549,102.182841319326,1.44705,0.21663,0.26735,0.52092,0.55422,24.1219,0.13711,99.0057,54.67935,24.5572775,25.0726975,22.5595375,20.9069575,74.40815975,258.848014932,121.230315,29.9444855,412.628175,449.6883
7,18.25,347.486934261929,21.1291650453506,-3.44449095419132,-3.44449095419132,2125.99225,303.70862422,-8.2850725,83.9767820936592,1.3227025,0.19969,0.23347,0.463085,0.5046575,24.30655,0.1092175,99.070675,55.275625,24.339475,24.7111175,22.538475,20.950615,45.606132375,210.09848915016,99.30029375,22.29516,410.41045,446.731925
7,18.75,348.409222560517,20.2430104885947,-1.96335733144749,-1.96335733144749,2140.395,253.9481643,-10.9140775,71.2010373118596,1.06238,0.179665,0.233555,0.430555,0.459235,24.2374,0.116865,99.057,58.7288475,24.4163175,24.47961,22.542005,21.003255,6.36264622499999,123.264644994972,62.02350125,16.5427345,407.708025,445.1547
7,19.25,349.376531620124,20.0164631106282,-0.0233759179491266,-0.0233759179491266,2157.22775,217.503163875,-12.243175,46.4560733664269,0.8297525,0.15335,0.1953825,0.3764875,0.405905,23.912675,0.12345,99.066175,60.49633,24.0262475,24.1261375,22.5769525,21.302775,-16.699318,55.211830265124,23.92265925,8.2157055,404.379575,442.605625
7,19.75,352.874779764848,22.4681853463972,1.95740649378535,1.95740649378535,2143.9705,192.72632619,-15.22335,43.57125497713,0.88123,0.1579575,0.1967525,0.3628,0.4191425,23.404525,0.134585,99.10665,62.3102275,23.545,23.380615,22.78142,21.64067,-32.520194075,12.8965643664,3.484012725,2.3875667,401.082925,439.571925
7,20.25,354.80175581713,21.3497766744717,2.59108586381002,2.59108586381002,2150.295,276.0780132675,-16.7696,37.258062236136,0.86062,0.13272,0.17995,0.34139,0.37172,23.1744,0.16024,99.0669,64.7912425,22.86707,22.5475825,22.702665,21.7591675,-38.443175,0,0,0,400.48295,435.052975
7,20.75,355.679511390285,22.9496944600141,3.08012593601345,3.08012593601345,2159.1595,224.83435247125,-16.777825,27.1764209182928,1.012635,0.1314475,0.1808625,0.3715,0.4059325,22.538275,0.15256,99.1043,67.41166,22.51206,22.0765425,22.7605825,21.73013,-36.10425,0,0,0,399.03445,431.7807
7,21.25,358.40316607373,21.8685305594332,3.37797958702776,3.37797958702776,2168.024,173.590691675,-16.9117,30.6199258190201,0.8683,0.1481,0.18818,0.38715,0.41719,22.6493,0.15298,99.105,68.1006525,22.339225,21.98128,22.685045,21.7109675,-36.389125,0,0,0,398.582475,430.85485
7,21.75,362.439018935418,21.4559524344332,2.66568327050507,2.66568327050507,2211.48425,118.725806142,-16.7497,27.7448165800447,0.8570025,0.12919,0.13706,0.3215825,0.329855,22.4035,0.141755,99.1186,70.30725,22.2301325,21.8496775,22.73394,21.81764,-37.21595,0,0,0,392.63505,429.91455
7,22.25,368.217937715615,22.2412673231052,3.12610234963598,3.12610234963598,2139.112,200.03221958,-15.0286,27.4184330542816,0.8728175,0.11655,0.1585725,0.33866,0.3562225,22.236075,0.1566175,99.11225,71.0284975,21.9703825,21.6045725,22.87646,21.7449725,-37.0822,0,0,0,392.107675,428.72035
7,22.75,365.553808097625,20.441015399538,2.54345514486748,2.54345514486748,2210.952,163.049210375,-17.0707,23.0177254331951,0.8727625,0.1379275,0.1621625,0.3388275,0.37171,21.852275,0.14536,99.10645,71.102485,21.7222275,21.2395575,22.7655275,21.7983725,-36.7575,0,0,0,389.86785,426.773925
7,23.25,367.841596410263,21.3908195200144,3.50444775280016,3.50444775280016,2230.1885,194.1855446375,-18.8736,22.45927087225,0.96246,0.1459475,0.175875,0.3467525,0.395395,21.6855,0.1378175,99.0904,72.1182575,21.7008575,21.2426825,22.7743125,21.8909925,-38.2165,0,0,0,387.34595,425.459875
7,23.75,368.540331321688,20.3972363379596,3.40547449504835,3.40547449504835,2229.3745,142.691969305,-14.0295,22.1974265224204,0.9159725,0.1350275,0.168855,0.3158725,0.3802025,21.3536,0.15056,99.148825,73.1592875,21.4554725,20.90896,22.818935,21.93302,-38.306975,0,0,0,388.686825,424.10825
8,0.25,375.676897318573,18.5480050100908,2.62947337201887,2.62947337201887,2193.059,170.68732121,-17.6009,14.602373409,0.79876,0.10701,0.13483,0.25631,0.32761,18.9673,0.14785,99.1249,76.3181675,19.130915,18.4377925,21.4240125,20.99431,-39.3742,0,0,0,371.128025,408.8433
8,0.75,376.592953088163,17.6530834000836,2.92552423361885,2.92552423361885,2177.16125,135.75150508,-15.48915,14.5329555686966,0.7553225,0.1158375,0.13933,0.2873125,0.35115,18.556875,0.152045,99.144575,76.97053,18.7670025,18.26161,21.45055,21.0174425,-40.419325,0,0,0,369.239775,407.996975
8,1.25,376.498362263683,18.832965103324,2.81045262235623,2.81045262235623,2181.6795,135.1894837725,-17.99265,12.2318595000828,0.8211275,0.11554,0.1399625,0.2915775,0.3419175,18.711125,0.1514375,99.152025,78.0161175,18.5128875,17.9502025,21.4143575,20.9821825,-40.10105,0,0,0,369.77165,406.70665
8,1.75,377.465542142174,18.7804862500734,2.64392666442331,2.64392666442331,2196.694,138.8063673525,-16.166525,10.7347768857169,0.691655,0.1173825,0.13433,0.2912175,0.3345775,18.364825,0.13274,99.1708,77.33038,18.39051,17.986525,21.4299125,20.938575,-38.904175,0,0,0,370.313425,407.0574
