DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
3,15.25,-1.30625,-1.29925,-26.864758275,2.80742159675,0.189300577,0.771778136925,0.833463775775,0.2506346726,-6.156045775,0.209820104325,-0.12983778375,43.445,-3.43625,-0.61575,-0.92375,-0.29,-1.36775,21.64,257.725,132,229.275,293.35,520.3,393.9
3,15.75,-1.28525,-1.299,-24.281838905,2.3909119755,0.179411376,0.736013829175,0.836632613425,0.241671595175,-5.8504903,0.1961413757,-0.11534520975,43.365,-3.80925,-0.641,-0.90375,-0.27425,-1.3895,15.11,206.15,132.3,226.65,291.975,427.4,308.9
3,16.25,-1.28525,-1.299,-30.918766065,2.219670485,0.1688222465,0.677867585,0.7126357697,0.21902738935,-4.651807,0.20148891565,-0.1088918465,42.3225,-4.1775,-0.617,-0.918,-0.26525,-1.3475,0.5055,140.025,93.35,225,289.1,278.775,219.45
3,16.75,-1.267,-1.299,-42.02976331,2.493626515,0.165371146,0.6565731323,0.7523654969,0.2037154879,-5.1944778,0.2032240143,-0.136330277,44.115,-4.93525,-0.62575,-0.91175,-0.3205,-1.36625,-5.80125,98.25,63.7475,224.025,288.925,197.6,137.35
3,17.25,-1.259,-1.299,-48.0438509075,2.01658958675,0.1700100135,0.5724253704,0.7391521816,0.206848304375,-5.45041725,0.17556942035,-0.1256687085,44.6475,-4.90675,-0.638,-0.9145,-0.302,-1.33975,-24.055,53.695,37.035,221.15,283.1,117.15,84.075
3,17.75,-1.25925,-1.29925,-44.0983797,1.4811540695,0.12619228825,0.64203261845,0.607344245075,0.1642241115,-5.766248925,0.246921349825,-0.10595445625,44.4275,-4.73225,-0.62575,-0.916,-0.28975,-1.37325,-42.475,29.2125,22.605,220.875,281,58.12,47.7825
3,18.25,-1.25825,-1.3,-45.0026366,2.115370597,0.143788727,0.6194384869,0.5656688537,0.1555634919,-5.845784,0.2355843798,-0.0983,48.585,-5.45375,-0.62175,-0.9105,-0.26275,-1.359,-62.47,3.54325,4.0375,218.7,275.7,9.565,9.545
3,18.75,-1.259,-1.21825,-36.74462436,2.019613128,0.125537349,0.720487349,0.5684025853,0.1852025918,-5.9758544,0.275317998,-0.0969,49.3625,-5.31975,-0.618,-0.9,-0.2545,-1.45275,-67.7875,-2.34825,0.075,217.35,268.85,0.08475,0.43675
3,19.25,-1.259,-1.21825,-34.33107074,2.263895507,0.11010374,0.5332810338,0.6270903842,0.181934054,-6.1039787,0.2641968963,-0.0779,45.735,-5.40325,-0.62275,-0.915,-0.2885,-1.409,-73.3175,-3.92125,-0.064,214.05,268.5,0,0
3,19.75,-1.259,-1.21825,-31.4752907675,1.77243670225,0.129737248,0.470893084525,0.566581384075,0.154657359375,-6.247041725,0.2446143358,-0.0531,47.0925,-5.295,-0.61975,-0.92375,-0.2475,-1.41875,-70.6125,-3.71475,-0.199,215.675,268.7,0,0
3,20.25,-1.259,-1.21825,-32.938936855,1.6716549425,0.0821,0.3649128523,0.4433775714,0.11438760295,-6.4365917,0.30480700115,-0.0672,45.74,-5.4565,-0.61525,-0.905,-0.26575,-1.42675,-67.545,-3.6885,-0.173,215.925,270.325,0,0
3,20.75,-1.259,-1.218,-40.36434984,1.9710238105,0.1026056015,0.454597692675,0.57040576755,0.102100893125,-6.47237485,0.287053843125,-0.07475,46.35,-5.52625,-0.61425,-0.90275,-0.26025,-1.464,-67.68,-3.82275,-0.194,219.9,269.175,0,0
3,21.25,-1.25825,-1.218,-49.809757445,2.0678725895,0.11706453325,0.52842694065,0.560383809875,0.1736331131,-6.787927025,0.23753946305,-0.099175173,49.4625,-5.46275,-0.618,-0.90975,-0.268,-1.49875,-68.4875,-3.9245,-0.097,213.275,269.6,0,0
3,21.75,-1.259,-1.218,-49.487386045,2.051094529,0.114609284,0.53203484205,0.512601649,0.1253967387,-7.15901165,0.2282208473,-0.0963044845,49.5575,-5.44425,-0.60475,-0.91275,-0.2965,-1.4655,-62.435,-3.89875,-0.086,211.525,266.7,0,0
3,22.25,-1.259,-1.218,-48.6280357325,1.7616353535,0.1066561825,0.4401198417,0.498229118125,0.1371355038,-7.4492415,0.2511268054,-0.0993783145,49.1525,-5.50425,-0.62175,-0.8815,-0.281,-1.46675,-64.77,-3.78175,-0.101,210.3,268.35,0,0
3,22.75,-1.259,-1.218,-46.704036895,1.81299894775,0.093675,0.50064394725,0.511710180875,0.1193683503,-7.375736025,0.255328309125,-0.10042466125,49.235,-5.68825,-0.624,-0.9065,-0.25925,-1.47375,-62.9875,-3.8905,-0.05625,213.225,268.325,0,0
3,23.25,-1.259,-1.218,-39.3520854525,1.57182035225,0.1077352945,0.521894766825,0.5301998232,0.111465951725,-7.509541425,0.2030521679,-0.0806,50.1125,-5.478,-0.631,-0.89525,-0.25375,-1.53225,-64.43,-3.86575,-0.134,213.45,266.2,0,0
3,23.75,-1.25925,-1.21875,-36.76724116,1.860991567,0.13175810075,0.4885421515,0.5228002004,0.1457257278,-7.703351625,0.196559551825,-0.08215,51.0425,-5.59825,-0.60175,-0.90325,-0.24425,-1.502,-62.555,-3.73625,-0.219,209.95,264.925,0,0
4,0.25,0,0,-27.1320972475,1.5971904265,0.0889,0.4650803861,0.394180877625,0.115,-3.877033675,0.3787348917,-0.040125,72.8725,-4.30175,-0.108,-0.1695,-0.047,-0.88025,-52.56,-2.98,-0.048,248.5,286.4,0,0
4,0.75,0,0,-31.1718443675,1.69632063975,0.0891,0.411303228575,0.3226360698,0.117895989125,-3.773254225,0.321871376125,-0.0485,71.26,-4.525,-0.101,-0.157,-0.04175,-0.91675,-48.4375,-3.00375,0.002,244.9,283.9,0,0
4,1.25,0,0,-22.31686474,1.5764016805,0.07885,0.3810312764,0.376115936375,0.091312542875,-4.023127725,0.35047183735,-0.03935,71.75,-4.525,-0.111,-0.1695,-0.04175,-0.9655,-47.3075,-3.124,-0.039,253.65,283.9,0,0
4,1.75,0,0,-32.4195684825,1.79641282625,0.071,0.350321907025,0.36966973735,0.10225828465,-4.121657,0.346623979725,-0.0461,72.145,-4.669,-0.0935,-0.1565,-0.041,-0.939,-49.565,-3.17525,-0.031,248.375,285.3,0,0
4,2.25,0,0,-24.75984196,1.669673981,0.0922,0.4265342155,0.381761119,0.0909395404,-4.1340711,0.2789265136,-0.041,72.355,-4.601,-0.09725,-0.16575,-0.04175,-1.017,-52.92,-3.40175,-0.002,244.55,286.55,0,0
4,2.75,0,0,-22.53982407,1.524722091,0.0872,0.3128897569,0.3001666204,0.1113552873,-4.0880029,0.2983286778,-0.0316,70.0725,-4.665,-0.09875,-0.15575,-0.041,-0.96625,-43.4725,-2.74225,0.02,252.825,285.35,0,0
4,3.25,0,0,-24.077719235,1.6870925665,0.08155,0.38050587755,0.35746487895,0.1270788434,-4.01344565,0.3258554632,-0.06195,71.785,-4.7885,-0.108,-0.16475,-0.04175,-0.93925,-42.51,-2.60425,-0.02,255.65,283.75,0,0
4,3.75,0,0,-23.56761751,1.853324046,0.0742,0.3431308672,0.2780287755,0.1224744871,-3.9274626,0.2709243437,-0.0331,72.5625,-4.98775,-0.107,-0.15175,-0.05175,-1.00175,-48.4925,-2.78125,-0.03,249.425,283.15,0,0
