DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
4,1.25,0.55325,5.963,3.188,1.87375,1.8185,0.16275,-3.0885,0.1495,5.928,1.427,-11.4025,5.684,7.0635,62.16,77.92,394.8875,6.1125,-86.875,0.496,-2.62825,3.65825,246.025,331.85,5.57425,0.385
4,1.75,0.59175,5.86425,3.115,1.75925,1.7065,0.23725,-3.774,0.41325,5.7015,0.95125,-11.4,5.492,6.93,63.31,77.91825,394.87775,6.015,-89.25,0.496,-2.53125,3.7165,247.775,331.1,5.54025,0.379
4,2.25,0.55775,5.767,2.947,1.79075,1.683,0.19525,-4.503,0.76575,5.77375,0.804,-11.6775,5.33225,6.81725,63.72,77.915,394.7745,5.9825,-88.6,0.496,-2.5385,3.76575,242.475,329.875,5.50175,0.385
4,2.75,0.54775,5.41,3.088,1.802,1.91375,0.12,-3.108,2.0445,5.30075,0.944,-11.89,5.1965,6.6845,65.06,77.8975,394.736,5.85,-90.35,0.491,-2.4605,3.84425,239.75,328.25,5.685,0.379
4,3.25,0.515,5.427,2.892,1.752,1.64825,0.17175,-1.89375,1.45325,5.71325,1.259,-12.025,5.03725,6.5415,66.69,77.9075,395.06125,5.5275,-82.175,0.491,-2.3925,3.68925,243.95,327.075,5.6895,0.379
4,3.75,0.49325,4.955,2.952,1.7285,1.5635,0.3375,-2.03525,0.1215,6.88075,1.14225,-12.4075,4.8645,6.39875,67.99,77.9,395.40925,5.2075,-84.1,0.491,-2.46825,3.50025,242.15,325.5,5.7595,0.385
4,4.25,0.50075,4.776,2.95125,1.689,1.514,0.18125,-2.94075,0.9555,6.3515,1.10775,-12.735,4.68925,6.2615,68.2,77.9,395.30075,5.3575,-86.65,0.485,-2.4105,3.6285,241.125,324.725,5.662,0.379
4,4.75,0.495,4.3415,2.92275,1.70675,1.415,0.187,-3.646,0.908,3.974,1.635,-12.86,4.5175,6.13625,69.4,77.9075,395.16375,5.1075,-84,0.49075,-2.183,3.72025,245.95,324.725,5.60325,0.385
4,5.25,0.462,4.19,3.015,1.331,1.488,0.203,-2.643,2.265,3.654,1.402,-12.86,4.34175,6.03,69.39,77.9175,395.0905,5.36,-75.205,0.491,-1.9805,3.8,246.45,322.975,5.5525,0.383
4,5.75,0.521,4.1655,2.95025,1.331,1.41,0.12975,-1.848,2.934,3.338,1.489,-13.23,4.1665,5.94375,71.19,77.9175,395.227,5.1075,-77.3075,10.1975,3.4275,4.25875,243.625,322.675,5.594,9.8475
4,6.25,0.539,4.273,3.055,0.9965,1.097,0.06625,-1.834,8.2505,5.146,2.059,-13.325,4.03075,5.82925,71.42,77.945,395.225,5.145,-38.225,101.875,54.085,11.965,244.775,323.7,5.6505,64.715
4,6.75,0.61225,5.283,3.213,0.408,0.696,-0.115,0.18175,19.2845,14.08,5.101,-13.1425,3.9835,5.71,68.95,77.965,394.491,5.545,31.4125,291.6,149.675,18.8825,244,327.325,5.88375,111.975
4,7.25,0.6985,7.6655,3.44625,-0.087,0.527,-0.205,16.348,27.359,29.29875,5.69225,-12.2675,4.05475,5.6045,62.085,77.9975,393.239,5.985,142.25,551.1,278.825,26.3275,248.075,336.025,6.06125,173.275
