DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
2,21.75,-31.929,99.2425,1.9355,100.3425,0,0,-18.1295,-0.05196,0,167.73,186.595,0.001206305,-31.73,-18.1815,-17.6815,-17.32,-16.6285,-10.6025,-0.251805
2,22.25,-31.8055,99.22225,2.070075,100.31,0,0,-16.86725,-0.01558725,0,166.0475,185.09,0.00114625,-31.79975,-18.21225,-17.69275,-17.3935,-16.62925,-10.34325,-0.3075075
2,22.75,-32.03225,99.12925,2.194675,100.29,0,0,-18.6585,-0.29232,0,166.275,184.61,0.0012897,-32.04,-18.21425,-17.6815,-17.42175,-16.63825,-10.16625,-0.3359375
2,23.25,-32.573,99.3125,2.21035,100.29,0,0,-16.854,-0.19782,0,168.655,185.505,0.0013527,-32.60825,-18.2055,-17.6835,-17.433,-16.64425,-10.155125,-0.31995
2,23.75,-32.58025,99.313,2.18685,100.29,0,0,-15.0115,-0.0156585,0,171.925,183.8725,0.0009397225,-32.1865,-18.2115,-17.64825,-17.4235,-16.65175,-10.260975,-0.35775
3,0.25,-36.58075,99.07225,2.361275,100.5975,0,0,-35.62225,-0.0834375,0,148.52,173.4975,0.00106755,-36.6185,-19.476,-18.4565,-17.902,-17.06975,-13.3355,-0.4520575
3,0.75,-36.68,99.24375,2.38745,100.6375,0,0,-35.076,-0.0052145,0,145.31,175.1375,0.001261825,-36.5875,-19.486,-18.482,-17.92575,-17.0685,-13.47725,-0.464275
3,1.25,-36.70525,99.285,2.385425,100.67,0,0,-35.19725,-0.10925525,0,142.0625,175.6875,0.00140705,-36.4765,-19.57175,-18.4985,-17.9445,-17.05075,-13.51275,-0.5009275
3,1.75,-36.83475,99.3555,2.403975,100.7075,0,0,-34.353,-0.078233,0,140.235,176.5375,0.0015091,-36.71775,-19.6275,-18.51575,-17.962,-17.0435,-13.5715,-0.43984
3,2.25,-37.27225,99.33375,2.395725,100.7325,0,0,-32.25075,-0.00521975,0,140.565,176.9825,0.00115741,-36.8515,-19.594,-18.53475,-17.978,-17.04775,-13.642,-0.48871
3,2.75,-37.181,99.5745,2.768025,100.775,0,0,-32.87675,-0.0052065,0,143.6425,177.76,0.0006587625,-36.96225,-19.5445,-18.5575,-17.99775,-17.06925,-13.6655,-0.40318
3,3.25,-36.63025,99.26925,2.770975,100.8075,0,0,-34.0405,0,0,155.4625,177.79,0.00178578,-36.7285,-19.531,-18.5725,-18.01925,-17.0905,-13.75975,-0.342395
3,3.75,-36.50375,99.2515,2.9833,100.8125,0,0,-34.0405,0,0,150.585,177.3025,0.0011377,-36.4025,-19.4305,-18.57,-18.0305,-17.10975,-13.9485,-0.427615
3,4.25,-36.05575,99.14825,2.7394,100.815,0,0,-31.60475,0,0,143.62,176.6225,0.000630495,-36.2055,-19.3145,-18.5565,-18.04575,-17.13025,-13.98375,-0.513145
3,4.75,-36.2985,99.32825,2.687075,100.815,0,0,-33.333,0,0,144.8925,175.535,0.00065126,-36.213,-19.27225,-18.54275,-18.055,-17.1495,-14.1365,-0.48871
3,5.25,-36.2335,99.45675,2.85915,100.815,0,0,-28.92675,0,0,154.8525,175.0625,0.0021385,-36.3505,-19.25525,-18.53,-18.0695,-17.17325,-14.19525,-0.5497975
3,5.75,-36.376,99.476,2.90495,100.8175,0,0,-30.6985,0,0,158.34,175.9025,0.00031128,-36.166,-19.232,-18.51475,-18.0825,-17.1885,-14.349,-0.37073
3,6.25,-36.37075,99.3425,2.8776,100.8275,0,0,-29.043,0,0,159.685,176.5875,0.0016035,-36.02125,-19.25225,-18.5065,-18.0955,-17.20775,-14.33725,-0.5009275
3,6.75,-36.3085,99.35925,2.921225,100.83,0.09135315,0.07550325,-28.47975,0,0,162.7325,176.8625,0.00202755,-35.95125,-19.27325,-18.5035,-18.114,-17.224,-14.33725,-0.48871
3,7.25,-36.30525,99.12825,2.861775,100.8175,1.661725,1.589975,-27.7775,0,1.099885,160.49,175.935,0.00088277,-35.992,-19.296,-18.5035,-18.1255,-17.23325,-14.2425,-0.48871
3,7.75,-36.1695,98.72925,2.8305,100.825,11.48465,10.826725,-21.2255,5.28035,6.407175,155.855,174.9175,0.00073063,-36.4155,-19.30775,-18.49525,-18.12075,-17.25025,-14.266,-0.393515
3,8.25,-36.677,98.459,2.95995,100.8275,42.086,38.98875,-11.9595,22.6575,19.60675,144.98,174.265,0.00204155,-36.3805,-19.32075,-18.486,-18.11025,-17.261,-14.219,-0.29322
3,8.75,-36.63625,98.16675,2.949575,100.82,89.779,81.61325,-9.4215,47.13925,33.339,141.445,173.11,0.0027826,-36.375,-19.33275,-18.4745,-18.107,-17.279,-13.86575,-4.34375e-15
3,9.25,-36.41125,97.162,3.1497,100.8,150.6525,133.12,-7.78225,76.56625,58.36175,142.75,172.795,0.001965775,-35.5985,-19.3525,-18.4275,-18.08025,-17.28925,-9.78975,0.0855235
3,9.75,-35.692,97.50725,2.932075,100.765,223.54,196.255,-5.182725,110.29,89.7085,141.635,172.5075,0.002617875,-34.92925,-19.31325,-18.3825,-18.0485,-17.29475,-4.3055,0.14661
3,10.25,-35.2205,97.2745,2.872025,100.7475,308.26,269.085,-3.269675,146.435,121.98,141.36,177.0875,0.00397925,-34.2905,-19.245,-18.345,-18.0235,-17.29975,-4.118225,0.13822
3,10.75,-34.39,96.478,2.61665,100.72,407.915,361.7,-1.478125,175.855,157.185,137.425,176.0625,0.006501,-33.5145,-19.17675,-18.3275,-18.0005,-17.299,-8.623425,-0.06984325
3,11.25,-33.5875,95.25775,3.05255,100.7225,446.0075,404.6425,-2.7917,201.2275,177.26,138.335,177.7575,0.0077125,-32.986,-19.14325,-18.3095,-17.99425,-17.297,-9.848725,-0.1588275
3,11.75,-33.3775,94.1115,3.20825,100.7025,490.655,443.0975,-3.324975,222.0775,196.45,140.945,178.8625,0.0085892,-32.45375,-19.1705,-18.30825,-17.98975,-17.31075,-12.86425,-0.24435
3,12.25,-32.73775,93.022,2.93005,100.6825,511.3,478.3825,-2.4782475,228.1375,210.635,141.585,180.89,0.010772,-32.0505,-19.1735,-18.283,-17.98,-17.324,-12.68775,-0.06320575
3,12.75,-32.469,92.2085,2.977275,100.65,493.75,491.34,-3.957275,247.98,216.015,140.8775,182.145,0.0126755,-31.666,-19.1545,-18.23975,-17.952,-17.33825,-12.55775,0.1430875
3,13.25,-31.959,92.2635,2.793625,100.6225,528.13,471.22,-6.5846,240.2575,210.7925,137.3875,182.4875,0.014285,-31.22275,-19.11675,-18.20525,-17.9245,-17.344,-12.311,0.14522275
3,13.75,-31.887,92.4965,2.86295,100.6,522.67,474,-4.30015,229.11,217.0225,139.05,182.4,0.016292,-31.02575,-19.0665,-18.179,-17.90275,-17.34775,-12.1925,0.197415
3,14.25,-31.775,93.745,2.903,100.35,491.25,443.07,-7.9075,222.53,196.34,139.58,182.41,0.0187515,-31.087,-18.91,-17.953,-17.733,-17.323,-11.828,0.29322
3,14.75,-32.019,93.191,3.0339,100.36,437.03,401.54,-10.621,216.23,178.53,141.04,182.87,0.018786,-30.779,-18.893,-17.943,-17.69,-17.313,-11.734,0.24435
3,15.25,-31.613,92.632,2.906,100.4,383.62,348.22,-9.6216,192.02,155.32,141.28,183.17,0.01878675,-30.663,-18.88,-17.937,-17.65,-17.32,-11.734,0.19548
3,15.75,-31.846,92.832,2.9849,100.43,330.35,296.97,-10.256,169.52,132.13,145.7,184.13,0.01566725,-30.692,-18.88,-17.94,-17.607,-17.293,-11.686,0.24435
