DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,PPFD_IN,SW_IN
1,6.25,-88.792187141444,-117.675678554122,-2.14812009724516,-56.90851825,-139.44639,-21.32795475,-23.1210155,8.60454552264451,0.00761285116694871,64.5228,0.16508133,1.52374595,361.537928025049,0.802628239146248,-11.4169285,-0.002253698675,0
1,6.75,-61.0525741180134,-139.476566685567,-2.67436455068593,-56.4262515,-135.558795,-21.9259555,-22.9371825,6.85547013295563,0,64.50343025,0.15069229,1.5589576,361.716550155704,0.816672761368321,-11.423434,0.0479106375,0.0367781583333333
1,7.25,-86.6606042439268,-126.941793677002,-4.37205652835835,-56.9949695,-138.3958525,-21.531786,-22.779471,8.2172151853973,0.0130843476068764,64.5657055,0.11889916,1.9230812,361.88344276541,0.819849293400208,-11.3871825,2.376619825,2.187074875
1,7.75,-85.7586669037852,-117.683731708871,-1.9925447662605,-52.080632,-132.4862,-20.94318275,-22.5787835,8.71336882262722,0.00650453107487739,64.54497175,0.1222561675,1.648332,361.984038413603,0.844259309193795,-11.4625705,16.27818375,9.674887125
1,8.25,-48.7619077324144,-108.76755582914,-1.51498831653797,-45.4855985,-129.8534,-20.6906065,-22.515063,8.30627083269343,0.0452125635808076,64.52640975,0.10608022,1.6161218,362.088744173726,0.913790999770903,-11.6569615,49.23365325,26.56072
1,8.75,-49.6831954273353,-116.507846905357,-1.59477090869467,-44.991084,-126.55928,-20.753972,-22.3042915,8.40980131646865,0.0612907151145626,64.54909875,0.1354187125,1.2339419,362.124978858943,0.953591711885005,-11.740687,72.92260275,35.2348881666667
1,9.25,-46.5303213312215,-87.7480282814878,-1.39831272788628,-37.6555875,-110.5713325,-20.46293825,-22.0583685,8.55851928671229,0.0742228452591156,64.5556305,0.155616255,1.20976895,362.132277511726,0.98487409310778,-11.583835,79.1877495,58.0265931666667
1,9.75,-15.7782223846737,-83.6977494064538,-2.02194416173963,-28.93217775,-87.162702,-20.585145,-21.81761525,7.57100123832228,0.0789201999452209,64.541056,0.18140535,1.0652135,362.009822894753,0.95141182132102,-11.39852125,95.9693595,70.660494975
1,10.25,-12.4649658157142,-66.1452672863626,-2.45266550784188,-24.978922,-74.2141425,-20.732678,-20.78597425,8.35224160968999,0.0967598021763377,64.5284175,0.18173608,0.84726414,362.021020454316,0.994656047763523,-11.04662825,124.239415,102.783336833333
1,10.75,-7.9790929013989,-44.915334073332,-1.77748287050244,-19.43357,-49.35037325,-20.715848,-20.67164925,9.37113727270408,0.117122634781441,64.5084925,0.16618688,1.1355744,362.214553395658,1.04054523153233,-10.82416825,143.821765,104.024536666667
1,11.25,-24.5809916786513,-53.6837317842895,-2.30907482487254,-17.52346875,-50.04784525,-20.2907325,-20.9358295,9.45370017198514,0.143433742764091,64.4797485,0.1997300875,1.469177,362.302035296698,1.07554429529407,-10.68544725,168.43088,125.494825
1,11.75,-11.7176949049567,-41.4409779101617,-1.92321425703507,-14.01523,-27.64586775,-20.462323,-20.83570925,10.3161554496566,0.102249537751955,64.45943,0.22170487,1.1916235,362.420517144451,1.11765148761858,-10.508027,187.7469975,133.317568333333
1,12.25,-0.363629108600111,-28.0979145192077,-0.859071228139568,-14.28699525,-16.0748,-20.78994375,-20.752095,10.7785185351368,0.125636191845977,64.462951,0.1723321625,1.2554455,362.395204517097,1.14154885965858,-10.38519675,209.2167925,135.193201666667
1,12.75,-1.72113699384081,-23.8723080333125,-1.27891302348475,-14.04194,-16.460148,-20.663265,-20.58592775,10.9147353349845,0.0957652650467115,64.44880725,0.17963476,1.6437757,362.760339327173,1.14437224953781,-10.15627545,218.62075,141.156566666667
1,13.25,-3.66187127298819,-45.697294806951,-1.11237839921008,-13.1281,-14.65282875,-20.502472,-20.475144,10.1301320821906,0.122812676969581,64.45203,0.1882336,1.5044391,362.75088636572,1.14634363956041,-9.703148375,204.48185,126.9639175
1,13.75,-11.9179205054206,-47.3856978416526,-1.10025055249787,-16.5755545,-22.5840165,-20.174883,-20.37328375,12.0125444849044,0.137019794904585,64.42826,0.15699212,1.5287449,362.846167840668,1.13353979190204,-9.47457245,190.4208775,118.169863416666
1,14.25,-12.9386498623349,-45.7423018769604,-1.34590386183805,-22.9402275,-20.478417,-19.8498775,-19.9324265,11.5188346527742,0.0958057224113584,64.40623,0.177689625,1.20459925,362.788016425425,1.16046492697259,-9.427504175,163.0005375,84.6114206666667
1,14.75,-23.3174897245844,-51.9225273589711,-1.25127638891946,-28.802168,-21.5515965,-20.01797,-19.861213,10.8673344907586,0.0805855755152453,64.4074605,0.21873735,0.81033665,362.850777463114,1.17295048123847,-9.290196725,138.96603,65.4592714166666
