DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
8,15.25,-0.29625,125.06,328.17,24.775,5.419,17.3975,11.15,14.7575,26.8585,14.06225,13.731,389.51,11.7,87.246,27.13275,0.665865,27.08,26.4825,26.8205,33.83475,1327.2,429.695,654.695,68.963,344.3075,470.0475,463.275,28.315,26.095,22.365,18.4625,16.4725,14.14,0.97125,1.9965,1.93595,1.153625,4.8142475
8,15.75,-0.116,111.6325,274.345,13.4375,4.5285,14.815,10,13.68,20.822,12.2405,11.9025,389.75,11.7785,87.221,26.96125,0.5923,27.1025,26.293,26.66175,34.5225,1174.25,380.4749975,575.285,63.5,343.53,464.77,390.265,27.0725,25.41,22.2975,18.5825,16.465,14.12,0.95579,1.999775,1.8609575,1.15295,4.7824
8,16.25,0.1,99.518,223.52,7.5575,3.817,13.02,8.915,12.4275,16.7865,11.003525,10.6275,389.845,12.119,87.214,26.781,0.51506,26.7805,26.09,26.483,36.082,993.7500025,350.17,478.06,56.7485,344.415,459.485,300.185,26.0975,24.8225,22.14,18.6625,16.45,14.11,0.95985,2.0233,1.83625,1.14638,4.850575
8,16.75,0.67225,85.271,170.65,4.56925,3.064,11.225,8.09,11.2925,13.74675,10.05025,9.395025,389.9675,12.29025,87.2185,26.434,0.4297,26.58,25.792,26.05475,37.299,803,284.6725,346.47,50.57,341.5125,453.98,181.855,25.325,24.2325,21.965,18.72,16.4425,14.1,0.96725,2.0004,1.76657,1.1565,4.88225
8,17.25,0.909,70.6575,116.25,3.01175,2.48275,9.5375,7.36275,10.215,10.91125,8.717225,8.3185,389.67,12.481,87.22,26.098,0.34195,26.05,25.31333,25.53,40.953,620.55,235.485,237.67,44.13175,338,447.805,82.4,24.5425,23.725,21.815,18.8125,16.44,14.09,0.9466975,1.972,1.6973,1.1261,4.8922225
8,17.75,1.3595,58.637,62.4645,1.144,1.8935,8.255,6.576,9.165,8.6371,7.6608,7.2679,389.8625,12.7535,87.2195,25.562495,0.291375,25.29,24.866,25.069,41.832,435.2,187.5925,187.5,35.7315,336.15,443.165,38.0105,23.7625,23.2025,21.71,18.8725,16.4625,14.1,0.93,1.954775,1.655125,1.12595,4.9525
8,18.25,2.04935,41.3395,21.124,-0.70425,1.3355,6.80325,5.7505,7.9475,7.058375,6.96925,6.6980975,389.9198,13.177,87.228,25.102,0.2748825,24.784,24.0345,24.3785,46.73,255.875,126.065,118.4475,24.88875,333.02,436.4825,-12.9565,23.0025,22.68,21.47,18.9225,16.48,14.1,0.91,1.8949,1.5523,1.0708,4.8245
8,18.75,3.22725,26.81825,-5.47743,-2.5625,0.779,5.4315,4.50375,6.56925,5.8459,5.87955,5.8115875,390.43,13.27625,87.235,24.47208,0.293295,23.8825,23.36825,23.48075,50.17025,104.45,72.9215,37.71225,13.328,330.1575,428.0075,-63.34925,22.35,22.1,21.335,18.95,16.485,14.1,0.848805,1.836875,1.487575,1.028975,4.773245
8,19.25,4.77325,15.542,-14.212,-4.68125,0.17075,4.2765,3.569,5.27375,3.95828,4.581025,4.739175,390.7586625,13.315,87.2635,23.6365,0.314195,22.665,22.481,22.50575,54.417,23.075,23.8635,4.4,1.3488,328.4525,420.255,-79.4175,21.55,21.5675,21.2,18.96,16.5,14.1,0.801,1.79955,1.4209,0.99776,4.63835
8,19.75,5.5795,9.75048,-14.2190775,-6.25625,-0.35375,3.0065,2.6185,3.90525,2.30105,3.3579225,3.481525,391.2925,13.39225,87.28175,22.878,0.297965,22.239,21.64575,21.7555,57.55675,0,2.503485,0,0,326.385,414.5275,-80.15,20.7125,21.08,20.9575,18.9825,16.515,14.1,0.7821925,1.719365,1.4005,0.98195,4.5708375
