DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
11,1.75,2.11734,68.584,3.71411,-9.81235,0,14.5752,17.245,79.354,3.56868,0.109505,1.320522716,0.219513,-0.0176692,18.512,430.176,6.71428,0.340032,0.137916,102.225,326.074690770694,265.437321937322,-3.26907922283204,-1.10096530920061,1.78255622188905
11,2.25,2.031396,68.9055,2.336,-11.791,0,14.46,17.185,79.522,3.41952,0.113784,1.38401,0.247239,-0.0224983,18.4017,425.7,6.76843,0.353451,0.143939,102.22,325.970504281637,266.518518518519,-3.72339271540704,-1.39458521870287,1.99609445277361
11,2.75,2.141854,76.99955,2.65426,-11.97785,0,14.33,17.115,78.8475,3.340465,0.1021585,1.3303367805,0.2203010955,-0.0176893,18.2756,428.302,6.719725,0.3562575,0.1345835,102.214,327.751665080875,268.702991452991,-3.44499178125869,-1.17957013574661,2.07152923538231
11,3.25,1.982329,68.2472,2.06307,-12.95,0,14.765,17,78.892,3.37861,0.1143465,1.3596732745,0.2115067125,-0.01925345,17.81065,429.7105,6.283565,0.3570395,0.1220685,102.224,324.577545195052,268.886752136752,-3.28370903914555,-1.10446455505279,1.74293853073463
11,3.75,2.059167,77.756,1.04601,-12.6157,0,14.56,16.88,79.0645,3.271615,0.1115915,1.31735,0.2271445,-0.01683235,17.632,428.8095,7.26235,0.3717275,0.1336545,102.217,325.101807802093,267.980056980057,-3.57993749731469,-1.40987933634992,1.8184107946027
11,4.25,1.984614,69.4051,0.172,-10.1515,0,14.915,16.805,77.2595,3.34167,0.09832525,1.3719833905,0.2338755,-0.0158685,17.3868,430.662,7.387065,0.340699,0.1248305,102.2135,326.156993339676,267.292735042735,-3.50372482310883,-1.1252790346908,1.82623688155922
11,4.75,2.1065855,65.5381,-0.334,-10.6076,0,14.6673,16.79,80.9095,3.14486,0.1144,1.4819677425,0.2435672695,-0.0231936,17.0323,428.8975,7.464695,0.3522545,0.1451325,102.23,327.418648905804,266.042735042735,-3.96313508404165,-1.47581447963801,1.85678410794603
11,5.25,2.333427,70.63755,1.272,-12.1721,0,13.94235,16.86,81.77,3.17553,0.108571,1.43523,0.221024141,-0.0176933,17.1369,430.461,7.72412,0.397369,0.132195,102.25,326.576593720266,265.577635327635,-3.76484797194166,-1.50714932126697,2.07142428785607
11,5.75,2.1844,80.099,0.5,-13.9309,0,13.9084,16.93,79.642,3.23291,0.1054,1.30552,0.209283,-0.014766,17.0735,431.2475,7.5542,0.39632,0.151394,102.257,324.077069457659,265.093304843305,-3.82103182571609,-1.20086726998492,1.97473763118441
11,6.25,2.02579,72.542,1.26319,-12.2842,1.066374672,13.74895,16.945,81.008,3.05613,0.108074,1.349968664,0.186815,-0.01864135,17.0935,431.977,7.19059,0.401124,0.143387,102.295,324.221693625119,261.910968660969,-0.667289466126704,0.598518099547511,2.49214392803598
11,6.75,1.643639,73.904,4.510705,-9.491,44.37567804,13.2092,16.925,79.964,3.71407,0.1169,1.29928,0.217423082,-0.0283129,16.6168,442.534,7.12776,0.44077,0.169105,102.301,325.508563273073,263.622507122507,18.2829508322761,30.3913273001508,11.7983133433283
11,7.25,1.267753,84.31385,16.357,-3.963,161.71,14.49,16.905,78.3915,3.91886,0.1632,1.54966344,0.259519,-0.0380543,17.2616,432.259,7.24975,0.518706,0.216939,102.337,330.081351094196,269.643162393162,72.0189752408863,101.628205128206,30.0498500749625
