DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
3,2.75,2.90870258,-2.7274,1.1746,408.16,0.12731,22.71,93.25,99.04650725,1.268,-17.08,0,0,425.9,435.6
3,3.25,3.529512387,-3.007187438,0.9615250315,411.9044113,0.135937448,22.715,93.3,99.040701715,1.243,-16.88,0,0,426.3,435.3
3,3.75,3.8513985995,-3.263157882,-0.006743,413.25,0.131530607,22.67,93.5,99.04649484,1.252,-17.67,0,0,426.4,434.9
3,4.25,3.598211292,-3.1327,1.31305,416.3379017,0.1362715085,22.58,93.55,99.04675534,1.271,-16.91,0,0,426.3,434.5
3,4.75,4.038617559,-2.560637976,0.542681167,419.31590295,0.1404764635,22.55,93.7,99.055,1.336,-16.64,0,0,426.3733333,434.4
3,5.25,4.207166816,-3.7047,0.7304,421.28983645,0.143307033,22.47,93.7,99.07530935,1.332,-16.84,0,0.717,426.5,434.2
3,5.75,4.4039,-3.187727706,1.11335,420.81413235,0.134465,22.47,93.8,99.09140391,1.317,-16.72,0,0.907,426.4,433.7
3,6.25,5.992701671,-3.3303,2.359032952,421.45,0.139830527,22.37,93.8,99.121,1.289,-9.26,9.97,2.34,426.2,433.8
3,6.75,5.9109,-2.7954,6.795055343,423.82,0.153065,22.39,93.8,99.160625655,1.276,15.63,46.56,7.297,427.3,435.1
3,7.25,6.77255,1.128545352,35.3532818,423.52920405,0.21343,22.66,93.6,99.2127055,1.2325,55.4,101.6,13.82,428.8,437.2
3,7.75,2.9703,11.13069393,77.73090892,415.8997252,0.2718139195,22.98,93.4,99.2445369,1.3175,93.85,161.8,21.29,429.6,440.1
3,8.25,-1.27369537,21.47772967,137.4217286,410.26,0.3123565475,23.445,91.55,99.278463575,1.501,136.1,234.5,29.23,429.7,444.4
3,8.75,-5.9344568635,32.1255,172.0558794,403.73,0.36257,24.17,89,99.314,1.680666667,197.7,314.1133333,38.08,429.5,448.5
3,9.25,-11.34299089,54.124812485,245.07712155,395.19,0.4073566755,25.045,84.55,99.33980887,1.872,285,409.5,47.53,429.4,453.8
3,9.75,-14.4485,60.67254229,268.48,391.1237034,0.4333750585,25.705,81.9,99.34843995,2.0195,371.4,501.7,57.17,431.5,459.3
3,10.25,-15.58170897,63.88932012,324.6198884,386.28230455,0.4454587485,26.38,78.745,99.334002615,2.067,406.5,528.4,61.56,435.2,464
3,10.75,-18.84400059,68.902065535,343.2,382.15,0.489096819,26.73,76.56,99.311,2.1,460.7,575.9,67.66,437.7,465.6
