DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
2,3.25,0.0898642,0.290574,-24.4946,0,-24.41,-1.16,70.08,0.189407,91.9,0.181976273,-8.54823,0,-0.8,1.6695,-0.9515,-1.7705,-1.829,-5.057,-1.5775,-3.5945,409.4
2,3.75,0.0888253,0.096182,-21.0167,0,-24.05,-1.196,70.3,0.163556,91.9,0.3927255,-8.21523,0,-0.7765,1.666,-0.9645,-1.7515,-1.8325,-5.0835,-1.60125,-3.6415,409.7
2,4.25,0.0616,0.155102,-19.6314,0,-24.09,-1.1885,70.285,0.160517,91.9,0.0794545,-10.0868,0,-0.7435,1.6735,-0.9485,-1.7375,-1.8285,-5.076,-1.62275,-3.6495,409.7
2,4.75,0.0614,0.298064,-15.8963,0,-24.23,-1.193,70.22,0.16828,91.9,0.258693,-11.1416,0,-0.7325,1.6035,-1.016,-1.757,-1.848,-5.048,-1.62625,-3.63825,409.8
2,5.25,0,0.68233,-19.1576,0,-24.475,-1.1885,70.085,0.170517,91.9,0.202254,-8.170485,0,-0.7325,1.6505,-0.982,-1.7375,-1.8545,-5.05,-1.60675,-3.59075,409.45
2,5.75,0.000112,0.171415,-16.5128,0,-23.99,-1.203,70.155,0.1801945,91.9,0.345364,-8.089442,0,-0.757,1.646,-0.995,-1.736,-1.8205,-5.041,-1.61925,-3.60075,409.8
2,6.25,0.0446,0.0746,-11.8032,0,-24.48,-1.202,70.335,0.1442935,91.9,0.342789,-6.793257,0,-0.7435,1.623,-1.0095,-1.7215,-1.8165,-5.092,-1.632,-3.6105,409.8
2,6.75,0.06295,0.332056,-16.5046,0,-24.04,-1.21,70.46,0.165081,91.9,0.428602,-8.214848,0,-0.737,1.466,-1.021,-1.7355,-1.81,-5.0385,-1.649,-3.54325,409.7
2,7.25,0.0529782,0.02955,-19.22805,0,-23.955,-1.2025,70.84,0.1588995,91.9,0.5770685,-6.82138,0,-0.711,1.491,-0.988,-1.736,-1.849,-5.0775,-1.633,-3.5195,410
2,7.75,0.00683,0.41367,-15.1818,0.6924595,-24.22,-1.213,70.855,0.154149,91.85,2.52325,-7.04364,0,-0.702,1.529,-1.014,-1.6855,-1.8205,-5.054,-1.63325,-3.525,410.3
2,8.25,0.101815,0.292324,-18.54105,6.06663,-24.48,-1.2045,71.365,0.157723,91.9,7.09968,-7.626136,0.173935,-0.658,1.6115,-1.022,-1.7005,-1.8095,-5.073,-1.6285,-3.50125,410.2
2,8.75,0.109738,0.0982,-19.7789,20.2516,-24.09,-1.2035,70.995,0.1653035,91.9,19.39775,-8.3751655,3.31996,-0.6225,1.5945,-0.979,-1.7355,-1.807,-5.076,-1.5845,-3.58425,410.1
2,9.25,0.03685,0.305454,-16.39185,25.0653,-24.06,-1.2,70.25,0.164411,91.9,24.07105,-9.215815,13.2029,-0.5985,1.579,-0.954,-1.6965,-1.8355,-5.064,-1.594,-3.52725,410.4
2,9.75,0.1170115,0.413049,-14.764,32.5707,-23.72,-1.2065,70.375,0.154396,91.9,36.8108,-10.7286,31.80895,-0.59,1.5145,-0.912,-1.6575,-1.818,-5.029,-1.494,-3.52875,410.4
2,10.25,0.117679,0.446048,-18.4747,47.959025,-23.655,-1.195,69.925,0.143939,91.9,51.578955,-14.2856,57.8749,-0.5775,1.591,-0.885,-1.552,-1.7785,-4.971,-1.492,-3.63075,410.4
2,10.75,0.042,0.397201,-22.0453,55.66812,-23.57,-1.201,69.125,0.175807,91.9,64.8226,-18.98845,92.43525,-0.5705,1.588,-0.876,-1.4825,-1.7625,-4.975,-1.384,-3.51775,410.5
2,11.25,0.0121211,0.822836,-18.9737,67.48575,-23.31,-1.1895,68.57,0.1707045,91.9,80.2224,-24.20434,120.908,-0.539,1.377,-0.838,-1.4415,-1.731,-4.9485,-1.3235,-3.4695,410.4
2,11.75,0.066,0.702904,-19.5197,78.81304,-22.885,-1.188,68.505,0.1751575,91.9,94.4989,-23.30573,125.413,-0.5125,1.4995,-0.824,-1.4485,-1.7395,-4.943,-1.31825,-3.46075,410.5
2,12.25,0.0569,0.476981,-17.0131,96.4264,-23.04,-1.17,68.2,0.170998,91.9,109.578,-27.1231,155.004,-0.474,1.439,-0.886,-1.473,-1.723,-4.962,-1.365,-3.459,410.5
2,12.75,0.0606,0.597641,-15.9607,108.7305,-22.69,-1.163,67.75,0.148643,91.9,120.9211,-25.960695,175.2375,-0.4305,1.558,-0.86,-1.514,-1.634,-4.9615,-1.3755,-3.4865,410.6
2,13.25,0.0208,0.4553505,-16.23095,110.457,-22.86,-1.147,68.03,0.1412105,91.9,121.5265,-26.4345,182.159,-0.44,1.554,-0.8595,-1.5465,-1.708,-4.984,-1.367,-3.48425,410.5
2,13.75,0.0367,0.585287,-15.03045,101.1786,-22.41,-1.143,68.46,0.153149,91.9,114.58555,-24.9041,173.656,-0.449,1.511,-0.854,-1.55,-1.7215,-4.993,-1.40775,-3.49275,410.8
2,14.25,0.0256,0.654845,-18.7506,90.0478,-22.93,-1.116,68.605,0.141734,91.9,101.558,-26.3516,152.6008,-0.438,1.3385,-0.872,-1.541,-1.711,-4.964,-1.431,-3.51775,410.6
2,14.75,0.0626,0.535542,-15.9059,80.6053,-22.01,-1.1185,68.61,0.1503495,91.9,90.17304,-20.6757,136.392,-0.438,1.425,-0.869,-1.554,-1.724,-4.961,-1.39,-3.548,410.4
2,15.25,0.0613,0.5629535,-17.2525,68.1317,-22.89,-1.1155,68.68,0.15188,91.9,76.9926,-15.1747,101.5407,-0.4295,1.444,-0.874,-1.561,-1.778,-4.975,-1.444,-3.5585,410.3
2,15.75,0.05345,0.550606,-15.90485,45.5965,-23.17,-1.1095,69.05,0.130882,91.9,55.03947,-14.985815,71.5021,-0.438,1.4955,-0.903,-1.5415,-1.7825,-4.965,-1.44425,-3.569,410.25
2,16.25,0.101526,0.193527,-14.265,29.579,-22.81,-1.095,69.2,0.13224,91.9,35.882155,-9.0018,38.8221,-0.443,1.576,-1.009,-1.619,-1.866,-4.975,-1.5115,-3.6215,410.2
2,16.75,0.0585,0.2350415,-13.3445,14.5323,-23.14,-1.0915,69.61,0.143353,91.9,18.700995,-6.7967575,13.1803,-0.4575,1.54,-1.028,-1.701,-1.859,-4.988,-1.535,-3.5995,410.35
2,17.25,0.0931,0.376635,-13.829,2.88129,-23.35,-1.111,69.64,0.144351,91.9,3.26849,-7.1457375,2.9038115,-0.463,1.475,-1.0395,-1.7765,-1.8955,-5.102,-1.58925,-3.677,410.2
2,17.75,0.0404388,0.379016,-18.4837,0.3251585,-23.77,-1.1365,70.05,0.159219,91.9,1.57298,-6.76588,0.18322325,-0.4755,1.473,-1.047,-1.766,-1.901,-5.0785,-1.602,-3.719,410.2
2,18.25,0.0495,0.2440055,-15.3787,0,-23.63,-1.143,69.75,0.148161,91.9,0.3783045,-6.7569865,0,-0.4845,1.584,-1.05,-1.781,-1.911,-5.059,-1.603,-3.696,410.55
2,18.75,0.117799,0.1196795,-16.3786,0,-23.55,-1.163,70.175,0.145361,91.9,0.302756,-6.90574,0,-0.493,1.5515,-1.051,-1.758,-1.9145,-5.056,-1.60425,-3.63725,410.3
2,19.25,0.112795,0.390275,-19.9041,0,-23.48,-1.181,70.385,0.143188,91.9,0.3580775,-6.61907,0,-0.495,1.3945,-1.0415,-1.7775,-1.858,-5.0875,-1.5935,-3.66625,410.5
2,19.75,0.0551,0.4533365,-19.4849,0,-23.545,-1.187,70.245,0.147992,91.9,0.339007,-7.78805,0,-0.531,1.581,-1.0245,-1.738,-1.829,-5.055,-1.59375,-3.63,410.35
2,20.25,0.0626,0.459233,-18.6797,0,-24.04,-1.18,70.255,0.147194,91.9,0.656069,-7.055654,0,-0.55,1.447,-1.0075,-1.757,-1.8465,-5.047,-1.60175,-3.5585,410.2
2,20.75,0.07185,0.312754,-17.864,0,-23.285,-1.1825,70.56,0.156902,91.9,0.6356745,-6.6461795,0,-0.567,1.618,-1.03,-1.735,-1.857,-5.044,-1.563,-3.602,410.2
2,21.25,0.0507,0.706776,-23.09865,0,-23.62,-1.1805,70.34,0.169134,91.9,0.399369,-5.28937,0,-0.581,1.573,-1.032,-1.752,-1.851,-5.076,-1.5505,-3.663,410
2,21.75,0.10506,0.650463,-28.578,0,-23.605,-1.2055,70.17,0.191732,91.9,0.3896815,-8.678955,0,-0.583,1.535,-0.989,-1.736,-1.831,-5.103,-1.577,-3.5875,410.1
2,22.25,0.085,0.7416865,-28.88285,0,-23.38,-1.2215,70.01,0.189819,91.9,0.5452955,-5.79538,0,-0.578,1.648,-0.9735,-1.7355,-1.836,-5.145,-1.5855,-3.6505,409.85
2,22.75,0.0748,0.472262,-26.76635,0,-23.85,-1.2215,70.025,0.188418,91.9,0.09995615,-5.838514,0,-0.5945,1.687,-0.948,-1.724,-1.871,-5.092,-1.58125,-3.63325,409.8
2,23.25,0.0706,0.7436715,-25.94055,0,-23.77,-1.202,70.215,0.176785,91.9,0.227258,-5.6072245,0,-0.5895,1.5915,-0.9455,-1.7545,-1.8655,-5.1605,-1.5615,-3.6445,409.5
2,23.75,0.1023975,0.519581,-24.82375,0,-23.68,-1.218,70.295,0.193412,91.9,0.471844,-6.01924,0,-0.784,1.6565,-1.1195,-1.7205,-1.637,-4.969,-1.5335,-3.275,409.6
3,0.25,0.07655,0.312163,-25.292,0,-16.97,-1.3425,70.82,0.163713,92,0.5844555,-19.1723,0,0.0115,2.877,-0.512,-0.9895,-0.39,-3.1,-0.9115,-1.88275,408.6
3,0.75,0.0894,0.1277505,-22.69255,0,-16.89,-1.3605,70.795,0.1661645,92,0.659925,-20.8835,0,0.009,2.678,-0.4675,-0.959,-0.507,-3.6965,-0.85025,-2.11025,408.7
3,1.25,0.0868,0.61086,-29.19815,0,-16.76,-1.3545,70.655,0.165994,92,0.582591,-21.14707,0,0.0185,2.68,-0.528,-0.964,-0.5955,-3.7115,-0.853,-2.18675,406.8
3,1.75,0.05765,0.528977,-28.05375,0,-16.72,-1.359,70.545,0.186667,92,0.715677,-19.9516,0,0.0105,2.971,-0.5325,-0.9695,-0.652,-3.746,-0.8655,-2.15575,408
3,2.25,0.0905,0.23668,-27.8326,0,-16.74,-1.358,70.33,0.18491,92,0.498714,-18.6186,0,0,3.0085,-0.5585,-0.9805,-0.689,-3.802,-0.8345,-2.21675,408.2
3,2.75,0.108132,0.5802535,-26.1188,0,-16.73,-1.368,70.57,0.173296,92,0.7187175,-18.61155,0,0.0045,2.711,-0.5945,-0.9885,-0.647,-3.828,-0.87,-2.243,408.35
3,3.25,0.0744,0.856606,-23.6073,0,-16.57,-1.3625,70.3,0.1562625,92,0.5313055,-17.5808,0,0.003,2.547,-0.578,-0.993,-0.6415,-3.776,-0.83625,-2.28475,407.85
3,3.75,0.0932,0.374744,-27.3912,0,-16.245,-1.36,70.59,0.165125,92,0.583098,-17.50275,0,0.0095,2.674,-0.576,-1.003,-0.644,-3.713,-0.8425,-2.16325,408.65
3,4.25,0.0863,0.879395,-22.52675,0,-17.005,-1.3595,70.37,0.157537,92,0.679697,-17.1216,0,0.009,2.6795,-0.614,-1.0015,-0.6495,-3.5825,-0.842,-2.09475,408.3
3,4.75,0.0567,0.9681805,-20.3465,0,-16.97,-1.3775,70.385,0.1613785,92,0.4271955,-17.343575,0,-5e-04,2.6815,-0.6045,-0.998,-0.6315,-3.503,-0.83825,-2.07175,408.75
3,5.25,0.1037765,0.3618005,-24.86755,0,-17.06,-1.371,70.745,0.171002,92,0.7280385,-15.04031,0,-0.0105,2.61,-0.607,-1.001,-0.6635,-3.646,-0.8345,-2.21175,409.2
3,5.75,0.0131,0.759071,-21.7987,0,-16.75,-1.382,70.855,0.155406,92,0.485138,-15.9462,0,-0.0245,2.5195,-0.585,-1.0005,-0.6285,-3.712,-0.8435,-2.22425,409
