DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,G_2_1_1,TA_1_1_3,TA_1_1_2,TS_1_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1
8,20.75,424.1518894,7.338131872,5.071745,-3.72,24.223987985,9.111088474,393.85,425.6,-32.91,99.013065,-0.017,0,89.2,1.36473157625,-0.71101183425,0.60321354525,-0.798,2.018,-0.0028770895,23.27,24.355,24.525,22.8,22.4,21.7,23.6675,24.5,24.9,22.76,21.2925,21.85,24.784184095,0.1828013665,0.422340280420617,6.51697697175,0.356333020239129,1.4218423705,0.189770200480812,4.5735,25.9,22.60806,20.39,23.0075,23.2475,22.835,22.05,21.3375,20.865,20.46,19.8725,19.03
8,21.25,436.02422485,7.9211129225,3.94225,-3.79529343625,23.9843006,8.5039588035,393.05,423.95,-33.81,99.019,-0.019,0,90.4,1.39005756725,-0.45337301525,0.665597599,-0.842,2.03,-0.003456559,22.8,23.96,24.29,22.775,22.4,21.7,23.4825,24.3825,24.77,22.7025,21.3,21.485,24.52372243,0.191902689,0.460394309261094,6.129023746,0.362,1.405535255,0.18441832880709,3.859,25.28,22.16131,20.3925,22.6475,23.12,22.775,22.0575,21.33,20.865,20.46,19.8725,19.03
8,21.75,446.6736542,7.993163012,3.094,-3.308001331,24.07453871,7.456,391.975,422.05,-31.42,99.028268945,-0.018,0,91.5,1.408728126,-0.2757678865,0.7835196365,-0.803,2.071,-0.003373738,22.44,23.7,24.23,22.7225,22.4,21.7,23.36,24.11,24.6375,22.77,21.2475,21.115,23.90913571,0.185627084,0.462,5.778594258,0.352213314626236,1.392450264,0.171879094133056,3.082,24.5075,21.83653,20.3225,22.46,22.9475,22.7375,22.08,21.315,20.8875,20.445,19.8725,19.0525
8,22.25,453.7744425,7.7420663735,2.5484025,-2.870686809,23.768653425,7.60200934425,391.75,420.375,-30.7,99.026,-0.02,0,92.3,1.165746412,-0.185889597,0.889675805,-0.741,2.031,-0.0031955185,22.02,23.3775,24,22.63,22.4,21.7,23.1,23.9,24.4,22.7775,21.3,20.83,23.557893985,0.18379398,0.417301442763214,5.514483206,0.354004456895759,1.3872071855,0.163870000692196,2.646,24.06,21.62676,20.33,22.2525,22.7825,22.6775,22.0575,21.345,20.88,20.445,19.8725,19.0525
8,22.75,465.4457971,8.001428833,2.115,-2.7801511645,23.548355635,6.988604264,391.6,418.8,-27.2,99.0345797925,-0.026,-0.001,92.7,1.459279389,-0.180129776,0.94109247225,-0.7345,2.0305,-0.0036245645,21.88,23.0725,24.0025,22.6175,22.4175,21.7,23,23.825,24.36,22.77,21.2775,20.635,23.358631455,0.187959096,0.427785643224053,4.9784627415,0.3485711107936,1.436537878,0.182693991471266,2.178,23.86,21.37178,20.33,22.035,22.6325,22.625,22.05,21.315,20.895,20.4375,19.8725,19.0525
8,23.25,469.161845475,8.031149322,1.64625,-3.36371719525,23.32588636,6.414920239,394.525,418.7,-24.77,99.0543109825,-0.026,-0.001,93.5,1.160279777,-0.0854338945,0.68575988125,-0.706,2.039,-0.004241398,21.67,22.78,23.7025,22.6,22.4,21.7,22.86,23.7,24.26,22.755,21.3,20.585,23.0365292425,0.19642791975,0.431480989711076,4.7265642385,0.356189991675505,1.42421842275,0.198513840694773,1.8495,23.43,21.08343,20.3,21.94,22.55,22.535,22.0275,21.33,20.8875,20.46,19.895,19.0525
8,23.75,467.938,8.01056107275,1.3685,-3.165,23.2117668125,6.0906893655,393.9,418.2,-22.4975,99.050840305,-0.026,-0.001,93.8,1.30107714225,0.0049092765,0.79054633425,-0.7215,2.0505,-0.004176335,21.38,22.48,23.5475,22.515,22.4,21.7,22.8,23.6,24.2,22.7475,21.2775,20.195,22.81337022,0.192333105,0.441506766652562,4.3649116375,0.33449266658628,1.423681601,0.19174392558827,1.8895,23.195,20.9367125,20.3,21.82,22.4,22.4675,22.0275,21.3375,20.9175,20.4375,19.895,19.0525
9,0.25,450.624,6.245382498,10.1661775,-5.428874558,20.51274641,10.10732365,386.3,410.85,-20.4,99.31708188,-0.023,-0.003,93.1,0.548419221,0.0938507935,0.5699633345,-0.511,2.143,-0.00648118975,20.0525,20.43,21.33,20.7,19.9,20.1,20.8,20.085,20.375,20.1,20.4675,19.29,21.53084719,0.2431426505,0.55294778101109,3.859430778,0.412685880847667,1.708337079,0.256157055841997,1.424,20.33,20.5029075,19.97,20.525,20.88,21.02,20.71,20.27,19.9675,19.66,19.2,18.675
9,0.75,451.0500917,6.158984947,0.333,-5.687421297,20.3733935975,10.53351601,383.8,409.6,-17.7975,99.30700164,-0.019,-0.002,93.6,0.53099287275,0.03143977125,0.5142754735,-0.553,2.076,-0.007301724,19.9125,20.37,21.2525,20.635,19.9,20.1,20.712755,20.0775,20.3,20.1,20.515,19.0425,21.20371451,0.246577813,0.53,3.6458099885,0.412,1.795442804,0.254845427,0.5735,20.375,20.3294175,19.96,20.3975,20.76,20.9675,20.71,20.27,19.99,19.66,19.2,18.67
9,1.25,448.285,6.52410900275,-0.480225,-5.4146468635,20.3658384025,7.9930462625,384.15,408.9,-18.1375,99.30011683,-0.021,-0.003,94.075,0.56803637825,-0.006609342,0.498,-0.59,1.979,-0.006182516,19.8275,20.33,21.23,20.5825,19.9,20.1,20.7,20.03,20.3,20.1,20.565,18.9975,21.01259134,0.24863523,0.541723819856576,3.56784127,0.42096346040957,1.778,0.264,0.12825,20.085,20.268505,19.9925,20.34,20.6725,20.93,20.6725,20.27,19.99,19.66,19.2,18.67
