DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
2,22.25,-0.645,-62.0875,-3.8825,-0.4578,-11.7325,45.1625,-64.42,0,0,0,0.548,0.0395,95.37,-33.4625,0.5
2,22.75,-1.12,-57.83,-4.51,-0.4326,-12.275,44.67,-64.5825,0,0,0,0.5805,0.03,95.3735,-32.2075,0.5
2,23.25,-1.415,-60.5525,-2.46,-0.4572,-12.385,45.7525,-63.9975,0,0,0,0.623,0.04,95.37025,-32.2375,0.5
2,23.75,-1.0075,-62.02,-3.2975,-0.4401,-13.15,46.4475,-63.0775,0,0,0,0.506,0.04925,95.37125,-31.3775,0.5
3,0.25,-1.1075,-60.91,-5.65,-0.5334,-8.71,43.5575,-64.41,0,0,0,0.41,0.04,95.05675,-42.945,1.9225
3,0.75,-1.83,-64.6875,-9.61,-0.408,-9.2975,43.4425,-63.93,0,0,0,0.4365,0.04,95.06025,-42.5225,1.9225
3,1.25,-1.0375,-65.85,-16.96,-0.4107,-9.6425,44.3675,-64.305,0,0,0,0.5495,0.03975,95.12375,-42.7725,1.9225
3,1.75,-0.7,-63.8075,-9.5125,-0.396,-10.0975,43.3125,-63.665,0,0,0,0.756,0.04,95.095,-42.0725,1.9
3,2.25,-0.2225,-55.69,-17.85,-0.396,-10.3975,45.265,-63.5925,0,0,0,0.6475,0.05,95.09375,-39.61,1.9
3,2.75,-1.675,-60.04,-11.37,-0.42,-10.6425,48.015,-62.765,0,0,0,0.696,0.04,95.06925,-40.0975,1.9
3,3.25,-1.415,-61.9,-9.9,-0.48,-10.9525,50.9125,-63.955,0,0,0,0.4905,0.05,95.02725,-40.6,1.9
3,3.75,-0.5375,-62.365,-11.3175,-0.468,-11.1875,48.76,-63.7325,0,0,0,0.5675,0.058,95.00075,-40.01,1.9
3,4.25,-0.677500000000001,-61.23,-7.8625,-0.4344,-11.3775,49.705,-67.0975,0,0,0,0.619,0.04,94.99825,-40.585,1.8
3,4.75,-0.41,-62.43,-9.02,-0.4587,-11.865,50.5675,-67.5325,0,0,0,0.458,0.04,94.987,-39.53,1.8
3,5.25,-0.845,-66.3125,-8.54,-0.4317,-11.9875,50.615,-67.825,0,0,0,0.6215,0.04025,94.967,-41.2175,1.7225
3,5.75,-1.1125,-70.53,-7.89,-0.444,-11.9875,53.27,-67.45,0,0,0,0.5365,0.05,94.99125,-41.23,1.7225
3,6.25,-5.5225,-63.8,-5.65,-0.4323,-12.11,55.3475,-65.8575,0,0,0,0.496,0.04,95.03225,-40.7425,1.645
3,6.75,-1.13,-68.85,-2.54,-0.444,-11.755,57.4025,-57.0975,0.2675,0,0,0.496,0.0695,95.018,-39.465,1.6225
3,7.25,-2.5,-50.84,-4.605,-0.4548,-11.2075,52.8325,-44.51,4.025,0.4175,5.6575,0.746,0.071,95.06475,-36.6275,1.6225
