DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
6,13.75,-11.896,-11.41925,226.9365,254.6885,0.881,0.3395,420.34525,400.3,21.0265,699.173,1648.897,57.216,81.08675,925.34575,146.816,428.013,446.03,25.33,73.14,4.396,101.4,18.01,16.9825,16.33,15.83,14.5425,12.23,18.4225,17.725,16.72,15.8325,14.3575,12.18,12.432,13.587,12.852,13.944,1.05725,1.65025
6,14.25,-10.827,-10.197,216.598,235.11,0.863,0.2335,420.174,399.675,20.657,654.637,1556.224394,53.852,107.057,878.999,139.9575,427.0125,446.3955,25.53,72.03,4.464,101.4,18.1325,17.0725,16.3625,15.8325,14.535,12.23,18.62,17.9175,16.79,15.835,14.35,12.1825,12.516,13.5765,14.007,15.687,1.0546,1.631
6,14.75,-10.22,-9.93425,209.519,220.589,0.86525,0.19175,419.628,399.675,20.504,604.665,1428.60475,51.711,246.84,823.023,133.5225,429.67175,446.7705,25.6325,72.2,4.3625,101.4,18.21,17.14,16.39,15.8525,14.545,12.24,18.6975,18.0025,16.8525,15.8525,14.35,12.19,12.348,13.755,13.2825,14.679,1.0491,1.6483
6,15.25,-8.2,-7.57,192.19,188.489,0.838,0.35375,420.292,399.475,20.354,540.366,1311.64225,50.68875,701.255,752.73825,125.297,429.2175,446.342,25.695,72.625,4.369,101.4,18.26,17.1925,16.415,15.86,14.5425,12.2325,18.8125,18.08,16.9425,15.8625,14.35,12.1825,12.5685,14.0385,12.621,13.9545,1.0353,1.5914
6,15.75,-8.2405,-8.125,185.89175,162.472,0.826,0.451,419.66725,400.15,20.282,473.2725,1169.87425,47.88,445.813,675.559,116.222,429.0745,444.88125,25.65,73.305,4.33325,101.4,18.25,17.2525,16.4225,15.87,14.53,12.215,18.825,18.115,16.995,15.8475,14.35,12.1825,12.117,13.818,12.1275,13.776,1.011575,1.57065
6,16.25,-6.6365,-6.4155,166.881,136.35825,0.8105,0.4025,419.5805,400.075,20.0145,399.459,1008.4615,44.97675,104.171,587.923,105.392,428.17275,445.1205,25.5525,74.0025,4.20925,101.4,18.32,17.3,16.46,15.8825,14.5425,12.2325,18.8625,18.17,17.0825,15.8925,14.35,12.19,11.634,13.398,11.487,13.1355,0.995,1.5091
6,16.75,-5.594,-5.3995,147.69825,99.413,0.7655,0.454,420.399,400,20.00325,316.9675,838.944,40.3135,47.609,495.97425,93.73375,430.5745,442.84975,25.4575,72.8525,4.172,101.4,18.2875,17.3575,16.51,15.89,14.55,12.2325,18.865,18.2275,17.1475,15.8925,14.35,12.19,11.13,12.9885,10.9725,12.39,0.944625,1.469175
6,17.25,-3.7915,-3.541,114.96375,71.413,0.73975,0.53,420.46525,400.5,19.964,237.2445,691.523478325,34.055,29.823,400.228,78.496,429.1165,440.34375,25.1725,73.6775,4.041,101.4,18.3125,17.41,16.5425,15.905,14.5425,12.24,18.84,18.27,17.24,15.92,14.35,12.1925,10.71,12.411,10.5525,11.6865,0.91455,1.360975
6,17.75,-1.841,-2.06525,86.719,41.603,0.674,0.73725,420.908,401.5,19.741,161.29775,538.298924625,30.64825,22.654,307.50825,64.6315,425.96425,439.085,24.6475,74.36,3.734,101.4,18.29,17.415,16.5675,15.9225,14.5325,12.2325,18.82,18.2725,17.28,15.9425,14.3475,12.1925,10.248,12.012,9.975,11.025,0.84285,1.3153
6,18.25,0.09875,-0.2435,66.429,16.392,0.63375,0.806,420.967,402.15,19.66625,90.47275,390.238593125,24.36225,15.23025,212.46925,49.031,425.3045,436.08375,24.39,75.9075,3.542,101.4,18.275,17.4225,16.5725,15.945,14.54,12.23,18.79,18.24,17.3125,15.9625,14.34,12.2,9.5865,11.424,9.492,10.3845,0.7901,1.2211
