DOY2,HR2,TA_1_3_1,RH_1_1_1,TA_1_3_2,TA_1_4_1,TA_1_5_1,TA_1_6_1,T_BOLE_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_2_1_1,CO2_1_2_1,CO2_1_1_1,H2O,NETRAD_1_1_1,SW_IN_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_1_1,TA_1_2_1,WS,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT_1_1_1,NETRAD_1_1_3,SW_OUT_1_1_2,PPFD_IN,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_3_3,PA
6,19.75,12.7375,58.055,12.43,11.9725,11.45,11.79,12.5925,13.615,15.31,15.8525,13.375,-0.647675,-11.0275,-7.82125,-3.77075,-6.34875,12.5925,348.65,384.15,10.46,-53.14,14.09,0.0415625,0.7674,-15.11,1.0795,0.29095,-29.6525,-0.8264,-4.60375,1.5335,12.75,12.4675,0.13475,-43.735,15.0375,13.2175,14.35,2.349,-67.755,0.6133,29.8325,1.421,13.06,13.23,12.485,10.855,9.22,12.91,99.18
6,20.25,11.9475,64.3475,11.62,11.255,10.63,10.62,11.6875,12.785,14.655,15.4175,13.04,-1.7525,-13.58,-10.675,-6.13625,-9.9795,11.6875,367.125,389.45,10.68,-61.13,2.95,0.0399725,-0.57325,-13.3325,1.2735,0.45545,-31.875,-1.22175,-3.823,1.63275,12.255,11.9,0.20825,-49.69,2.935,2.7855,2.6435,1.025,-75.07,0,7.4835,0.42295,12.955,13.09,12.3875,10.705,9.11775,12.365,99.19
6,20.75,11.25,69.2825,10.995,10.3,9.867,9.535,10.5725,11.94,14.175,14.9225,12.91,-2.8265,-15.7325,-13.4425,-7.847,-13.4725,10.5725,375.65,393.975,10.6,-65.54,0,0.03781,-0.6322,-15.2,1.337,0.28095,-31.865,-1.21,-3.17625,3.534125,11.715,11.28,0.1736,-52.96,0,0,0,0.52255,-76.49,0,0,0.12695,12.905,13.0475,12.3425,10.6275,9.05475,11.5325,99.21
6,21.25,10.545,71.5,10.315,9.56325,9.267,8.656,9.7155,11.385,13.76,14.4375,12.6675,-4.17075,-16.82,-14.145,-9.547,-16.2225,9.7155,381.675,396.65,10.4,-65.36,0,0.03978,-0.4603,-17.375,1.553,0.0077425,-30.1125,-0.9756,-2.03375,5.4355,11.305,10.87,0.18595,-54.195,0,0,0,0.52905,-76.81,0,0,0,12.7625,12.985,12.33,10.61,9.0185,10.8125,99.22
6,21.75,10.125,71.5825,10.035,9.20425,8.724,8.547,9.45775,11.105,13.41,14.105,12.5675,-5.151,-17.005,-13.615,-10.265,-17.96,9.45775,383.75,398,10.16,-64.1775,0,0.040655,-0.524875,-22.295,1.71325,-0.086565,-27.465,-1.02,-1.588,4.798,10.915,10.2775,0.2133,-54.55,0,0,0,0.5949,-77.455,0,0,0,12.76,12.93,12.385,10.6525,9.00925,10.345,99.23
6,22.25,9.77325,72.0325,9.6745,8.987,8.361,8.225,9.011,10.805,13.005,13.8625,12.4,-5.713,-16.965,-13.275,-10.96,-18.825,9.011,382.65,398.875,9.91,-63.93,0,0.0413,-0.65985,-24.355,1.758,-0.059865,-25.7525,-0.951775,-1.689,4.826,10.575,10.0975,0.22385,-54.47,0,0,0,0.6213,-78.0125,0,0,0,12.745,12.8975,12.4475,10.7225,9.04125,9.9825,99.23
6,22.75,9.51875,72.665,9.2525,8.817,8.104,7.817,8.61775,10.4675,12.645,13.5675,12.3175,-5.97625,-16.935,-12.8425,-11.51,-19.1075,8.61775,384.925,400.6,9.8825,-64.015,0,0.0390725,-0.82455,-21.6875,1.53875,-0.30195,-25.16,-0.764825,-1.694,4.93275,10.235,9.8085,0.19675,-50.9225,0,0,0,0.602,-77.01,0,0,0,12.67,12.8525,12.49,10.8025,9.14525,9.5715,99.235
6,23.25,9.23725,74.1175,9.156,8.375,8,7.664,8.175,10.2475,12.4775,13.3025,12.28,-6.2115,-17.1775,-12.89,-11.8575,-19.835,8.175,391.225,395.3,9.60425,-63.16,0,0.042255,-1.0599,-21.795,1.71325,-0.22905,-23.915,-0.838125,-1.875,4.90475,10.05,9.551,0.23375,-52.2575,0,0,0,0.6694,-78.13,0,0,0.0421625,12.64,12.8075,12.525,10.8775,9.25325,9.403,99.2375
6,23.75,9.141,75.375,9.045,8.039,7.717,7.232,7.87,9.8725,12.2775,13.065,12.19,-6.39075,-17.09,-12.89,-12.005,-20.24,7.87,391.85,405.4,9.5615,-62.66,0,0.0394575,-1.016475,-18.94,1.73575,-0.19385,-24.93,-0.819375,-1.4,5.246,9.8285,9.4385,0.2336,-52.855,0,0,0,0.6114,-76.565,0,0,0.0405475,12.62,12.7825,12.6425,10.945,9.33425,9.1415,99.2375
7,0.25,11.425,75.37,10.98,9.77525,9.321,8.41,9.42675,12.005,14.6575,15.5775,14.0825,-6.55975,-16.455,-13.0175,-10.1875,-20.0075,9.42675,409.4,401,11.18,-66.42,0,0.035255,-1.158,-20.285,0.945,-0.3341,-22.2075,-0.5688,-1.4495,2.9025,12.2375,12.2775,0.172,-46.6075,0,0,0,0.7977,-71.9325,0,0,0.0480925,14.465,14.7275,14.48,12.5125,10.8475,11.585,99.4225
