DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1,G_1_1_1,G_1_1_2,G_1_1_3,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NEE_1_1_1,PA_1_1_1
1,10.25,399.7076525,3.526105,-3.0611515,-0.287487,-12.59577,-13.5667475,-12.01919,50.12990575,42.905727,0.85384275,-0.649493,1.87479,0.311367,-0.40661,0.835938,0.73698,0.392321,51.732466,1.9737285,1.5650435,1.76715,5.933035,6.6948315,117.66625,405.71445,196.839975,21.79473,227.237,331.1233,-3.094408,101.25436725
1,10.75,398.988697,3.569822,-2.99426775,-0.187725,-11.85547,-12.39188,-10.29,53.524667,38.075613,0.8149105,-0.711111,1.88953,0.319497,-0.431428,0.839608,0.838511,0.405844,48.06322,2.32122,1.6656218075,2.028,6.130698,6.677225,144.30107,435.3246,206.1993,25.657335,231.3008,336.52855,-3.34840375,101.23918825
1,11.25,398.374591,3.63248425,-3.7146675,-0.1670115,-10.3747275,-11.21,-8.819858,56.108838,43.54070825,0.664276,-0.6372145,2.02044225,0.33145,-0.43397375,0.935902,0.8780285,0.4396385,45.2862175,2.6110155,2.208392985,2.521307,6.16441575,6.75067725,149.3595,466.53225,226.5976,25.94419,236.04685,340.139025,-3.8365215,101.2176255
1,11.75,397.618524,3.7181835,-3.439517,-0.190626,-8.371039,-10.333535,-8.5013515,58.94738375,46.331745,0.622107,-0.5288095,1.9779325,0.3503515,-0.44615825,0.939605,0.9251725,0.438981,44.355291,3.170948,2.48228285575,3.198123,6.3244905,6.822737,159.7139,477.1927,231.7804,25.1653775,238.6109,343.599,-3.546526,101.170163
1,12.25,397.62230175,3.817269,-3.367149,-0.14762425,-6.969211,-10.0138675,-7.81373175,63.7107455,51.11638675,0.3564055,-0.7199515,1.911555,0.347308,-0.402341,1.003908,0.963201,0.451553,43.00113,3.553143,2.64625,3.821296,6.4537395,6.82688675,168.4233,510.9129,234.94795,29.44875,239.31395,349.6353,-3.43104,101.16252275
1,12.75,397.831627,3.8804325,-3.555259,-0.1414615,-6.25066,-8.97,-6.82781,62.0791125,45.85405825,0.081809,-0.371565,1.961506,0.35460575,-0.44299275,0.977629,1.00635575,0.4632845,41.4568075,4.14789625,2.723101944,3.82635,6.613579,6.848,148.2565075,464.79255,222.7812,25.15694,239.989425,350.953975,-3.618543,101.162
1,13.25,397.435796,3.801786,-3.75050075,-0.0966965,-5.536654,-8.73,-6.2496365,56.107853,43.14665625,0.313713,-0.2993635,1.89673,0.352341,-0.423047,0.966397,0.946313,0.461778,39.0778025,4.4525865,2.87386137825,4.105216,6.7191185,6.94,142.723875,409.826225,194.5005,22.06489,241.1321,347.48345,-3.909393,101.11559175
1,13.75,397.3619185,3.71494675,-3.369547,-0.0812095,-3.8070095,-7.438055,-5.21573225,39.3319705,43.623075,-0.0112035,-0.5070175,1.95576925,0.32105675,-0.437181,0.93023525,0.93247425,0.43623175,38.056128,4.707755,2.7437849055,4.48649025,6.855063,6.95843775,114.749325,378.63835,172.4385,19.4539225,241.51465,347.6511,-3.44857,101.085
1,14.25,397.59811625,3.82729275,-2.86756775,-0.08983975,-3.427652,-7.509885,-4.77750475,39.655542,38.22094175,-0.030569,-0.486622,1.77077475,0.30427925,-0.432671,0.91001475,0.86883075,0.4255175,37.1541705,4.88867475,2.7579804435,4.60422575,7.068,7.05968775,99.86247,342.64155,151.84005,17.50134,241.25805,345.34765,-3.22258925,101.090507
1,14.75,397.603809,3.7141925,-2.53739175,-0.11943075,-4.712914,-7.82625,-4.279011,18.7580545,31.81624625,-0.587379,-0.487448,1.8746565,0.2842795,-0.400638,0.838084,0.8343135,0.392882,37.0150775,5.09153825,2.76763229675,4.586315,7.137012,7.04987075,79.75263,266.5904,123.6067,14.50015,240.50875,342.839825,-2.72532075,101.1793275
1,15.25,397.061257,3.783409,-2.05617875,-0.10242,-5.6912755,-7.3830425,-4.35846,10.487285,28.8097155,-0.7786035,-0.2527915,1.687841,0.2817795,-0.3699915,0.750417,0.672695,0.357456,37.5754145,5.050521,2.8200250035,4.4552685,7.282062,7.17356425,56.1013,229.48345,110.46155,12.78176,240.6665,340.2571,-2.16444575,101.1854505
1,15.75,397.39066675,3.995262,-1.42946325,-0.0507815,-6.24885675,-8.9155355,-5.52407075,-3.625229,23.828748,-1.140238,-0.357589,1.51152,0.237789,-0.339385,0.658525,0.616427,0.31503,38.68924,4.8805745,2.767789114,4.29,7.45518925,7.252559,24.766075,158.4492,74.10137,9.661175,238.44825,337.18695,-1.5922825,101.072967
1,16.25,397.0837195,3.80028125,-0.473987,-0.064335,-8.213524,-9.4576645,-7.29857875,-19.951587,13.3099145,-1.77245375,-0.2610295,1.3983275,0.19432925,-0.26566375,0.56318475,0.5088265,0.26496725,38.397715,4.5177915,2.58333518475,4.039696,7.50745975,7.2231935,-18.425505,100.061035,45.39978,5.7916285,234.40335,331.29395,-0.772714,101.0013465
1,16.75,398.32193375,3.84359625,0.016738,-0.00661425,-9.463834,-9.586722,-8.83232625,-31.99952525,4.54691525,-3.3269465,-0.2070975,1.1487795,0.14612875,-0.200586,0.42086475,0.376423,0.18021425,40.6007,4.158101,2.45611167525,3.49141825,7.485583,7.187723,-69.42467,36.40254,17.155615,2.0439845,232.37,326.3833,0.0435295,100.964917
1,17.25,399.399132,3.649556,0.06609825,-0.043727,-11.9879,-10.3780025,-9.8825,-30.550038,1.5805215,-4.780538,-0.256249,0.8293185,0.073427,-0.1298715,0.3481595,0.2943495,0.093887,46.6383575,3.612167,2.108142,2.8208685,7.4312495,7.172386,-97.060755,4.72648075,0.652306,0.726828,230.99765,320.403725,0.208924,100.985506
1,17.75,399.80401,3.750612,0.15673275,-0.03465,-14.69543,-11.0200425,-11.0931075,-22.979448,0.35816775,-6.280998,-0.312363,0.5846515,0.045727,-0.1095575,0.251998,0.282598,0.059199,54.443815,2.5849515,1.642632166,1.941733,7.414125,7.18,-95.40725,0.022174,-2.83987,0.375774,229.94425,313.7927,0.1793665,101.0265765
1,18.25,401.417776,3.803394,0.195901,-0.021596,-16.81631,-12.17361,-12.5,-25.3033345,0.3156385,-4.41406,-0.664647,0.565436,0.042566,-0.1058245,0.236408,0.238153,0.045776,59.32930675,1.6443475,1.31443277,1.4979095,7.383474,7.139059,-89.6283945,0,-2.63247675,0.4652865,228.9728,307.640875,0.2992895,101.046262
1,18.75,400.0330215,4.0457345,0,-0.05665,-17.72079,-13.04358,-12.70195,-27.988898,-0.23523,-3.4307735,-0.473626,0.587256,0.0463135,-0.1079715,0.2454715,0.2396805,0.045188,63.9357875,0.83413425,0.9463950125,0.5101145,7.318,7.09993025,-86.73518,0,-2.3389345,0.68700925,228.570075,305.130975,0.147854,101.0420925
1,19.25,401.37974975,3.8999555,0,-0.0977835,-19.088765,-13.78329,-13.2225275,-27.08799625,-1.1291495,-2.4742545,-0.268772,0.550787,0.040026,-0.1038915,0.247467,0.2254095,0.048023,64.94024275,0.2380015,0.8142626845,0.484167,7.10123925,7.0682235,-86.59025,0,-2.23936,0.682121,227.96175,304.094075,0.2606235,101.075232
1,19.75,402.0910725,3.852112,0,-0.11501375,-19.39688,-14.87115,-13.65704,-23.172255,-0.843297,-1.97093325,-0.31754,0.549107,0.045322,-0.103187,0.25045,0.213864,0.053009,68.064441,-0.2252725,0.658500192,-0.304,6.944551,7.072748,-87.307628,0,-2.081671,0.62498075,226.85635,303.7428,0.2269455,101.07573275
1,20.25,401.309625,3.9146515,0.0311185,-0.21758675,-19.55191,-15.44336,-13.95489,-26.039314,-0.654322,-2.10084975,-0.242502,0.4467935,0.04425475,-0.0913995,0.24557275,0.2429115,0.054651,70.674905,-0.3925985,0.5661961395,-0.352543,6.819,6.973804,-86.719958,0,-2.138465,0.638851,221.6098,301.4814,0.326714,101.116205
1,20.75,402.3173355,3.9520075,0,-0.161269,-19.893315,-15.773755,-14.525465,-24.4471895,-0.34445125,-2.51447475,-0.525098,0.47675375,0.03916525,-0.11140625,0.22147125,0.24968325,0.03699775,71.377881,-0.75127025,0.469043,-0.6683975,6.768796,6.932415,-87.3544965,0,-2.240841,0.5969295,220.4896,299.89955,0.2086785,101.100135
1,21.25,403.53044,3.874308,0.03279475,-0.136634,-19.59363,-16.1302575,-14.795435,-22.11855475,-2.046151,-1.91145,-0.446278,0.485073,0.043664,-0.09539,0.238067,0.242045,0.044714,75.09133,-0.761435,0.38741492325,-1.043501,6.67210275,6.920377,-84.69177375,0,-2.11967925,0.670065,220.149175,298.99175,0.212208,101.1372795
1,21.75,404.08431825,3.89094,0,-0.1312345,-19.69527,-16.3635025,-14.986655,-32.1250005,-0.4327525,-1.9020745,-0.40919075,0.432357,0.044679,-0.122899,0.225809,0.227923,0.046019,75.78535,-1.1165,0.302812553,-1.310762,6.57259175,6.80062425,-83.82673,0,-2.1033025,0.608428,219.3392,298.6216,0.095728,101.17743475
1,22.25,403.640982,3.836583,0,-0.339258,-19.685,-16.5756675,-15.285135,-30.588222,-0.5906535,-1.79572425,-0.4030865,0.464816,0.036543,-0.126705,0.225936,0.222791,0.039912,75.798571,-1.451459,0.283522285,-1.630717,6.461719,6.70259475,-81.83076,0,-1.991103,0.645813,219.1547,297.902,0.0871255,101.2125995
1,22.75,403.25529925,3.816066,0,-0.251899,-19.6902075,-16.985715,-15.4379725,-30.446346,-0.26171275,-1.4250795,-0.820754,0.441918,0.043068,-0.131828,0.222847,0.24603,0.039987,74.77547,-1.740326,0.243977655,-1.812,6.412753,6.6589625,-81.247462,0,-1.97357025,0.5895,219.726,297.5936,0.02636125,101.23632875
1,23.25,404.542879,3.777625,0.13673725,-0.147379,-19.6575,-16.9200675,-15.5572825,-26.756856,-0.3995015,-1.43691175,-0.5312625,0.443234,0.040403,-0.113556,0.234784,0.24005,0.043347,75.93737,-1.974858,0.279941,-1.893891,6.37947975,6.71896125,-82.306795,0,-2.02437375,0.5164645,219.1612,297.1293,0.4124075,101.22625
1,23.75,404.6015275,3.749291,0,-0.165205,-19.48184,-17.0473075,-15.7856275,-27.133228,-0.243977,-1.394653,-0.305733,0.503401,0.04376,-0.119307,0.222901,0.21631,0.045307,75.76435075,-1.96688525,0.220738,-1.959544,6.3221005,6.62537925,-80.905911,0,-2.056575,0.5200445,217.979575,295.8312,-0.127121,101.2156115
2,0.25,402.883379,5.06634275,0.0653235,-0.132114,-18.815685,-15.520995,-14.717055,-32.5788225,-1.939755,-1.60524125,-0.6280755,0.6744505,0.05151625,-0.109095,0.29165275,0.2615005,0.06243525,74.21398,-0.342969,0.286132,1.2099525,6.2115,7.26176425,-80.522205,0,-1.735383,0.37285825,238.8822,303.8411,0.73202525,101.36705125
