DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
1,16.25,381.9193185,0.378518518,-5.8506,-3.50361,-2.162003445,4.042391158,10.79411673,267.5,304.8,-9.23,99.154293385,64.925,13.77,76.74,-0.037841858,-0.865372742,-0.165238622,40.315,17.28,-0.1330623945,-2.267,-0.217,-0.0335,0.816,1.7415,3.125,-0.342,-0.5,0.6,1.8,6.5415,-1.2105,-1.3798829655,0.3255806865,0.863108280829409,1.277413218,0.706003719868942,3.728447386,0.368576902243096,-3.6855,-0.49061975,3.95
1,16.75,381.2324559,0.426381756,-5.988,-3.526,-9.8755985525,3.9930906305,8.459332799,267.1,302.8,-30.87,99.170562965,11.795,2.557,78.505,-0.0333689385,-1.058154009,-0.172725474,6.566,3.574,-0.1303472035,-2.633,-0.2165,-0.0405,0.8085,1.775,3.1245,-0.3585,-0.5,0.6,1.8,6.5415,-1.895,-1.518964447,0.3171974895,0.815461817110122,1.1441285985,0.655006244881144,3.5978988,0.36445113511224,-3.9895,-0.72794285,3.95
1,17.25,380.9485797,0.436759491,-6.0645,-3.945,-12.96504525,3.9704494765,5.073307537,265.2,299.3,-35.49,99.18971558,0.462,0.1345,79.61,-0.026218738,-0.7979312275,-0.186274691,-0.439,0.859,-0.116360365,-2.7885,-0.217,-0.033,0.842,1.7755,3.1165,-0.383,-0.5,0.591,1.8,6.542,-2.3345,-1.765899946,0.303544727,0.812213543964886,1.0245263425,0.594554697231466,3.503360798,0.354320988652944,-4.2875,-1.007565,3.95
1,17.75,380.58752575,0.43136956,-6.2605,-4.0785,-14.94168743,3.8968543385,4.293492847,264,297.2,-37.44,99.18974346,0.0225,-0.001,80.6,-0.0007360965,-0.5609472685,-0.087537756,-0.953,0.598,-0.115946479,-2.9575,-0.2085,-0.042,0.858,1.75,3.1085,-0.3915,-0.5,0.584,1.8,6.541,-2.4525,-1.745978336,0.29887496,0.779365719030546,0.926570799,0.579258192000769,3.36551312,0.350723850058704,-4.6475,-1.356622,3.95
1,18.25,382.7769558,0.480376662,-6.501,-3.78,-14.383963855,3.884770855,4.217955876,264.8,296.6,-29.02,99.20675082,0.0145,0,82,0.005216251,-0.405856819,-0.042116205,-0.73,0.612,-0.1128984415,-3.173,-0.217,-0.032,0.8745,1.776,3.1005,-0.3995,-0.5,0.5995,1.8,6.5415,-2.598,-2.261212367,0.2984368455,0.776645380455557,0.87422498,0.561252765664026,3.348198416,0.338834594508532,-4.746,-1.620106,3.95
1,18.75,380.8780595,0.4431390425,-6.54,-3.789,-14.18327264,3.847847083,3.6723581435,264.5,296.3,-27.97,99.224308815,0.0165,-0.002,83.25,0.0042043505,-0.299776182,-0.034935577,-0.805,0.546,-0.112736473,-3.434,-0.2005,-0.042,0.8585,1.774,3.1245,-0.375,-0.5,0.6,1.8,6.533,-2.917,-2.3988567135,0.2929884395,0.795552793956447,0.811719747,0.573355302412385,3.2431524325,0.337198161707657,-4.9335,-1.8008705,3.95
1,19.25,380.2639105,0.49599763,-6.544,-3.8715,-12.122503275,3.791623933,3.905136,263.9,294.8,-25.28,99.222971815,0.012,-0.001,83.4,-0.005870145,-0.161840817,-0.020826254,-0.623,0.53,-0.116148758,-3.684,-0.2,-0.0415,0.8755,1.7745,3.109,-0.3915,-0.5,0.5835,1.8,6.509,-2.892,-2.690607594,0.296558721,0.770042171410226,0.7719646775,0.565499250334098,3.2488961585,0.339958254360952,-5.0545,-1.8207075,3.95
1,19.75,382.808696,0.4128375935,-6.787,-3.99324,-11.56618111,3.842537166,4.417215627,265.1,293.8,-24.48,99.214637355,0.0125,0.001,83.8,0.004047445,-0.181788618,-0.035478317,-0.608,0.572,-0.1109958645,-4.007,-0.2005,-0.033,0.8915,1.767,3.116,-0.392,-0.5,0.5755,1.8,6.533,-3.0685,-2.5927617405,0.294114271,0.760524292126726,0.738945036,0.545493910799201,3.25340357,0.340937856843183,-5.0595,-1.780341,3.95
1,20.25,383.13027775,0.4770239275,-6.7905,-4.0645,-13.62835175,3.7825682135,4.5919271915,262.8,294.8,-24.76,99.21159261,0.0115,0.001,83.6,0.0074180555,-0.1641456565,-0.025249717,-0.656,0.596,-0.107898092,-4.153,-0.2245,-0.0325,0.858,1.7755,3.1,-0.4415,-0.5,0.575,1.8,6.5255,-3.225,-3.037086458,0.293005155,0.746110423462908,0.685209446,0.583075100651709,3.274908429,0.335130983348302,-5.257,-1.6305095,3.95
1,20.75,381.4396038,0.5246760055,-6.848,-4.1815,-14.52238278,3.700497735,4.0484818385,265.2,294.5,-23.98,99.20164547,0.013,0,83.2,-0.001802571,-0.126750145,-0.034374397,-0.609,0.577,-0.108275196,-4.041,-0.217,-0.0255,0.8095,1.776,3.1,-0.4495,-0.5,0.6,1.8,6.5335,-3.2165,-3.232360648,0.295010943,0.741015076094947,0.710305649,0.550660091163324,3.359980181,0.341740032773452,-5.5355,-1.765685,3.95
