DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
1,19.75,2.501081468175,26.17,29.33911598125,0.4658,-1.5686,-0.5045,89.34,0.4195123472,93.02,0.936275,3.79235,1.973125,1.95577875,-0.369200000000001,8.7,-0.643550000000001,-0.3829,0.3088,-0.758000000000001,-0.2468,-0.516000000000001,445.5025,-6.398,-5.135025
1,20.25,2.5151516354,27.869735,28.56539,0.76675,-1.561625,-0.5021,88.075,0.452314247149999,93.03,1.0268,4.0794,1.97246,1.948933,-0.378700000000001,8.32,-0.643762499999999,-0.3820875,0.31,-0.762200000000001,-0.246,-0.514000000000001,445.655,-6.34035,-5.2331
1,20.75,1.9894176558,16.7784893775,33.63924,0.549574999999998,-1.6835,-0.5513,89.3375,0.38002030835,93.03,0.7746,4.57602499999999,1.9890875,1.94171575,-0.415000000000001,8.09375,-0.648625,-0.3835625,0.325375,-0.750625,-0.245125,-0.500625,441.28,-6.243775,-5.097375
1,21.25,1.6187245,19.090745638,19.589253282,0.2987,-1.74785000000001,-0.6686,89.5,0.4438185,93.02,0.821,5.74439999999998,0.534316875,0.4980436,-0.504850000000003,8.23275,-0.651400000000003,-0.384300000000001,0.3185,-0.76,-0.245,-0.518125,447.29,-6.23075,-5.160775
1,21.75,2.161960266225,17.595,21.9974,0.3528,-1.79975000000001,-0.6487,89.635,0.39692,93.025,0.791375,5.31275,0.4599428,0.5120198,-0.493225000000003,7.7746,-0.650050000000003,-0.379375,0.3277,-0.731850000000002,-0.242400000000001,-0.515450000000001,431.92,-6.27305,-5.3702
1,22.25,1.60236,31.2719925,22.03754,0.21625,-1.8125,-0.717775000000001,90.075,0.47714,93.0125,0.7082,4.785,0.4751621,0.498664325,-0.6345,7.895875,-0.645100000000001,-0.364375,0.32805,-0.705950000000004,-0.23165,-0.513500000000001,426.0275,-6.23295,-5.333325
1,22.75,2.541714564825,24.70375,35.2406060742499,0.344075,-1.902125,-0.792350000000003,89.9375,0.4129902072,93.015,0.771399999999999,4.86,0.4896802,0.486689575,-0.72175,8.15075,-0.641875,-0.350125,0.311375,-0.68225,-0.229125,-0.51325,429.725,-6.211975,-5.256125
1,23.25,1.74644052,22.616348765,14.48319,0.3044,-1.7278,-0.79575,90.1,0.399608952725,93.0175,0.709975,6.18639999999999,0.53830025,0.48908425,-0.736,8.135,-0.6405625,-0.341375,0.31525,-0.687375,-0.228125,-0.513375,424.625,-6.368825,-5.208825
1,23.75,2.7589492622,20.10918672075,16.01326,0.4347,-1.348875,-0.87775,90.3375,0.4051973037,93.015,0.7408,7.14425,0.4459232,0.49590385,-0.8325,8.06049999999999,-0.63805,-0.3365,0.326,-0.686200000000001,-0.2284,-0.5126,426.74,-6.387775,-5.206025
2,0.25,1.7623217017,13.96147,15.416845,0.457649999999999,-1.8778,-2.7632,91.91,0.480634063775,92.225,0.8951,7.71099999999999,0.8530656,1.101342,-3.1516,9.72,-0.596375,-0.4644375,0.35115,-0.4707,-0.35265,-0.472449999999999,458.645,-11.95325,-11.36475
2,0.75,2.360156117625,14.3787775,29.653175,0.316199999999999,-2.66565,-2.8222,91.43,0.469294325,92.23,0.83795,3.56215,0.492960550000001,0.477273,-3.0762,9.08,-0.449725000000001,-0.470375000000001,0.35515,-0.445749999999999,-0.349149999999999,-0.40915,479.0325,-11.98625,-11.4095
2,1.25,2.7957169624,17.0808686825,22.095525,0.35025,-2.48095,-2.7964,91.345,0.4047336,92.16,0.84665,4.80925,0.463984899999999,0.491173525,-3.1588,9.4,-0.520412500000002,-0.495325,0.35405,-0.52415,-0.407875,-0.40385,453.61,-11.9835,-11.3415
