DOY2,HR2,H,LE,FC,USTAR,CO2,H2O,T_SONIC,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,NETRAD,PPFD_IN,PPFD_OUT,G_1_1_1,G_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1
9,23.75,-62.00872,-27.755775,-0.56774375,0.06377,393.51765,7.09760125,18.03905,0.13774795,0.29072242406342,0.290865417002579,0.0733501183688858,10.382,21.28425,99.1920975,-120.875,0,0,-4.9259,-3.985175,14.6225,21.5955,23.5235,24.3515,24.4145,21.228,22.5085,23.79475,24.7565,25.23775,20.6945,23.12675,24.385,24.80175,24.48025,17.24825,21.5875,23.419,24.30675,24.74425
10,0.25,-77.2139,-11.6966275,-1.01724075,0.036585,399.10545,3.1503085,12.857375,0.26442085,0.267070573624609,0.286614863274616,0.0910439859630617,3.581125,14.8035,99.431499,-122.7075,0,0,-6.594875,-5.67305,13.8875,15.93575,16.50125,16.819,17.97125,14.55225,15.38175,16.17275,16.8495,18.0415,14.64375,15.784,16.40675,17.02,17.95025,10.88925,14.5045,15.78075,16.57975,17.918
10,0.75,-77.32324,-15.746975,-0.75753645,0.0538875,398.771325,3.20428825,12.669625,0.25813235,0.275546414735505,0.272668345090735,0.0788336417993306,3.067775,14.31175,99.41728375,-123.41,0,0,-6.970825,-6.149,13.82025,15.862,16.46125,16.76275,17.9665,14.359,15.288,16.08125,16.788,18.03625,14.5375,15.668,16.32525,16.9895,17.95025,10.68825,14.34775,15.71425,16.528,17.91075
10,1.25,-80.03188,-11.423785,-1.981738,0.0544125,399.001475,3.14017,12.612175,0.135670775,0.238946842510319,0.225908595407113,0.0890208737476115,2.91325,14.779,99.3923275,-125.3025,0,0,-7.31615,-6.583425,13.6175,15.783,16.4275,16.71175,17.9665,14.17125,15.18475,15.9955,16.727,18.0315,14.39,15.562,16.249,16.95375,17.95025,10.586,14.2285,15.636,16.46175,17.91075
10,1.75,-77.240945,-24.93765,-1.39746375,0.0396525,399.72645,3.09384125,12.52585,0.148286325,0.279547939900638,0.294955783652692,0.0746682965976538,1.245,14.58575,99.403323,-125.575,0,0,-7.6086,-6.979075,13.59225,15.70925,16.39,16.666,17.977,13.9825,15.08625,15.905,16.67125,18.04725,14.26825,15.468,16.17325,16.918,17.95025,10.315,14.12175,15.5705,16.40725,17.9035
10,2.25,-83.60766,-10.33635,-0.9831558,0.048435,399.456475,2.98210725,12.1719,0.202688925,0.295584698587041,0.296598350297684,0.075859222149766,2.746825,13.7865,99.40444275,-128.33,0,0,-7.84705,-7.352025,13.566,15.63075,16.3525,16.615,17.9775,13.798,14.96975,15.825,16.62025,18.07875,14.2235,15.362,16.118,16.89275,17.95025,10.0985,14.024,15.505,16.36625,17.89625
10,2.75,-77.8129625,-12.85919,-1.7128965,0.045405,399.60675,3.00359525,12.018875,0.2029486,0.233862489318232,0.28670508985189,0.0748185276035609,2.734175,14.0325,99.36493725,-119.075,0,0,-8.0373,-7.689775,13.493,15.557,16.32125,16.59025,17.978,13.653,14.84475,15.75025,16.55925,18.10025,14.1175,15.27,16.0475,16.857,17.95075,10.02725,13.93175,15.358,16.32525,17.88175
10,3.25,-70.9323125,-13.98335,-1.30564285,0.05949,399.1375,3.0072865,12.01775,0.1906652,0.279826507956205,0.30789900463355,0.075961760548488,3.234625,14.17825,99.35792325,-120.1075,0,0,-8.20075,-7.98935,13.39475,15.488,16.2775,16.56075,17.9785,13.5215,14.72975,15.68075,16.504,18.1165,14.0405,15.176,15.9875,16.8265,17.95075,9.71225,13.84675,15.218,16.27975,17.8745
10,3.75,-73.20522,-13.8371375,-0.7679585,0.0405175,399.46655,3.0481885,11.598425,0.165570225,0.253707246545352,0.346283742412105,0.0781656685711525,4.031275,14.32975,99.3597495,-120.645,0,0,-8.27875,-8.263225,13.1355,15.41475,16.2325,16.53175,17.97375,13.46025,14.62375,15.6065,16.44875,18.12275,13.9445,15.098,15.928,16.78125,17.946,9.52675,13.79375,15.146,16.23425,17.86
10,4.25,-68.7457125,-17.5592,-1.55139,0.0522475,399.5327,3.126852,11.564025,0.1848919,0.292257695157298,0.269310109643417,0.0741838488978476,3.9595,14.51775,99.371866,-121.7275,0,0,-8.38775,-8.480025,12.7175,15.3385,16.1875,16.4975,17.969,13.4085,14.5165,15.54275,16.394,18.1285,13.87275,14.988,15.869,16.74125,17.936,9.396125,13.71975,15.07025,16.1915,17.8355
10,4.75,-68.39524,-31.07713,-3.845273,0.04283,398.9995,3.1144785,11.393975,0.240391125,0.246686554478626,0.313786467457319,0.0687645131487408,3.0925,14.59525,99.3897515,-122.815,0,0,-8.56075,-8.69725,12.17325,15.2775,16.15,16.46275,17.96425,13.37,14.4225,15.4885,16.354,18.129,13.77225,14.94,15.82475,16.71125,17.94125,9.18795,13.6585,15.0045,16.156,17.81825
10,5.25,-65.3037275,-17.893925,-2.507834,0.0370625,398.554275,3.292239,11.59145,0.155725125,0.279624589261021,0.321703311826166,0.0701925513611216,3.2838,14.81775,99.417247,-123.965,0,0,-8.7175,-8.9035,11.7595,15.22125,16.1125,16.43325,17.9495,13.28525,14.401,15.42425,16.325,18.12,13.646,14.904,15.76475,16.67075,17.93175,9.030325,13.57275,14.91875,16.11325,17.80375
10,5.75,-74.376,-16.68379,-1.017386775,0.04572,398.495625,3.3126255,11.371625,0.239205225,0.249293864331739,0.247254411453,0.0716397176923984,2.9166,14.77475,99.44080425,-118.96,0,0,-8.8595,-9.08925,11.5375,15.1175,16.07125,16.399,17.94,13.2115,14.3795,15.37525,16.29125,18.10425,13.46275,14.876,15.7105,16.6255,17.927,8.8838,13.49525,14.8485,16.066,17.77925
10,6.25,-77.04563,-14.39615,-1.616627,0.043125,398.39715,3.25629,11.474425,0.233597975,0.292029160770198,0.291053898026026,0.071165276368799,6.2302,14.46225,99.45417325,-119.1825,0,0,-9.048,-9.1915,11.24725,15.00425,16.03375,16.36475,17.9395,13.153,14.32575,15.34775,16.27275,18.10375,13.31425,14.866,15.6615,16.59075,17.917,8.771225,13.32975,14.77,16.00875,17.762
10,6.75,-81.24135,-22.125065,-1.4067665,0.04876,398.6702,3.103542,10.966,0.2577838,0.268216289173061,0.317231650338258,0.0762861446404821,3.5094,14.4785,99.4672895,-119.8225,1.54404284913534,0.259502999854678,-9.22175,-9.2765,10.94725,14.899,15.99625,16.34425,17.93375,13.0835,14.2615,15.3065,16.2595,18.0975,13.1595,14.834,15.612,16.556,17.907,8.766825,13.18625,14.71075,15.9615,17.73475
10,7.25,-74.77427,-21.7151175,-3.20964,0.0508625,398.6826,2.99790875,10.31875,0.1882443,0.326737636468332,0.231161375310517,0.0756620818446771,5.0774,14.10025,99.48308425,-111.76,16.2319126409101,1.66730677406631,-9.40925,-9.37675,11.40775,14.80325,15.955,16.31325,17.92325,12.99825,14.192,15.26,16.2385,18.09125,13.02475,14.766,15.5525,16.506,17.89225,8.86815,13.109,14.647,15.87075,17.71025
10,7.75,-48.81134,-9.546875,-3.99459325,0.054105,398.8497,2.96949,11.2885,0.1898698,0.269890773454748,0.203490807767393,0.0801952859745067,4.3492,13.8805,99.47768875,-82.35,41.6437439016795,3.86659469783471,-9.52925,-9.468,13.099,14.66075,15.88625,16.2575,17.8885,12.94775,14.11775,15.13125,16.1775,18.056,12.94475,14.67,15.47825,16.45125,17.86225,10.0055,13.125,14.554,15.76175,17.673
