DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE,G_2_1_1,G_3_1_1
2,5.25,0.349,0.221175,-6.5585,-5.323425,-5.05,-2.00255,414.0075,4.8,89.812,-1.21,0.291775,-1.68614,-2.002,-1.719,85.1045,0,0,0,270.06667,304.098335,-34.287,-0.267,0.35,1.294,2.3905,3.27,4.1955,0.1483,0.58855,0.655,0.18,1.24,0.705,-23.588135,-3.00519
2,5.75,0.39,0.339,-4.99,-5.32494,-5.12991,-2.0033,413.3,4.9,89.831405,-1.4,0.31,-1.666045,-2.11,-1.8453,85.03333,0,0,0,272.416685,303.74,-31,-0.29,0.3335,1.265,2.365,3.2775,4.19,0.15,0.658655,0.63671,0.1757036095,1.248285,0.728,-23.052345,-3.005185
2,6.25,0.43,0.3483030125,-5.2319,-5.32041,-5.1251,-2.00346,414.181,4.7,89.84957,-1.53,0.316690798,-1.83587,-2.1407,-1.8313,85.57,0,0,0,270.666665,303.4,-34.55667,-0.31,0.316,1.23,2.32,3.24,4.189,0.151135,0.6273840735,0.62744,0.1868,1.26,0.77,-23.5622,-3.00519
2,6.75,0.30397,0.46,-3.23,-5.32494,-5.12624,-2.00375,413.95,4.73365,89.8238,-1.48,0.2982404615,-1.9795,-2.15,-1.85,85.13,0,0,0,270.966665,302.7,-34.57,-0.304,0.27,1.205,2.301,3.2685,4.188,0.13428,0.62,0.64,0.18,1.22,0.741,-22.1214,-3.00519
2,7.25,0.21,0.78363,-5.04435,-5.32494,-5.1256,-2.00348,413.78034,4.9,89.831,-1.4968,0.29245,-1.64911,-2.42833,-1.79,85.83333,12.492,1.82,0.24,267.68335,303.07,-31,-0.302,0.26,1.145,2.2305,3.2395,4.144,0.14361,0.6,0.62933,0.1687,1.28407,0.4835,-16.172745,-3.00519
2,7.75,0.17322,1.421750685,-2.316,-5.02298,-5.1,-2.0027,413.378,4.902495,89.86,-1.145,0.31001,-1.219,-2.13,-1.59,83.6,68.86,34.003,13.65,269.365,305.03333,-6.398,-0.299,0.27,1.01,2.065,3.0945,4.065,0.154,0.554,0.59376,0.19,1.102,0.3285,-3.91688,-3.005005
2,8.25,0.06,3.4408,-0.163765,-4.25965,-4.10236,-2.00263,411.30293,5,89.8985,-0.4,0.34422,-0.28118,-1.516,-0.855,79.68333,172.47,87.07,25.775,272.78,308.27,26.07,-0.2,0.275,0.9295,1.934,2.991,4.061,0.157,0.57917,0.61,0.196455,0.99067,-0.155,4.479965,-3.004235
2,8.75,-0.14,10.3645,10.69,-3.37023,-2.1,-2.0026,409.9,5.157805,89.86372,0.73,0.36,1.020185,-0.586665,-0.01,73.98,286.285,152.331665,34.429,269.44,313.833335,67.73,-0.0965,0.284,0.91,1.874,2.961,4.047,0.197,0.64,0.64,0.29,1.094,-0.1705,16.720905,-3.00332
2,9.25,-0.82205,14.6689769,32.939,-2.48205,-2.05083,-2.002,407.447,5.3,89.8665,1.86691,0.37,1.82215,0.403835,0.98,68.526665,453.085,235.068335,39.71,269.89,320.083335,125.845,0.125,0.36,0.9445,1.915,2.985,4.1,0.24,0.69,0.6726251315,0.35539,1.31235,-0.279,26.69301,-3.001745
2,9.75,-1.1212545,20.88255653,54.49424434,-2.1,-2.04982,-2.0013,406.4,5.1359601025,89.86583,2.81,0.38,2.92221,1.318,1.8365,64.603335,574.413335,302.483335,46.25,270.87,326.351665,176.915,0.402,0.5175,1.051,1.952,3.01,4.118,0.27474,0.77,0.74813,0.400515,1.463825,-0.289,35.542455,-3.000335
2,10.25,-1.052,24.4978,77.87,-2.1,-1.025415,-2,405.15,5.1,89.8975,3.76947,0.39866,3.13829,1.8243,2.5,62.3,643.1,334.7,51.637,272.63333,329.815,201.185,0.869,0.698,1.122,1.9565,3.046,4.186,0.31,0.84,0.83,0.4299,1.5691,-0.521,38.70378,-2.99925
2,10.75,-1.15,27.957,94.73,-1.1,-1,-1.9019,404.65,5.004018211,89.90261,4.1848,0.44007,3.62179,2.313,2.93,59.445,782.16667,404.7,58.91,273.57,335.135,254.156665,1.695,0.9605,1.222,1.99,3.08,4.198,0.33796,0.9677584205,0.92946,0.47,1.719,-0.4725,45.078125,-2.9987
2,11.25,-1.24,32.928985,106.32,-1.06284,-1,-1.1841,404.2,5.003285,89.875,4.79931,0.440971915,4.1875,2.6385,3.4,57.537,877.11,458.725,62.303335,278.17,338.5,284.22665,2.55,1.44,1.29,1.9925,3.097,4.2215,0.36447,1.01,1.025,0.508622688,1.89,-0.506,56.28857,-2.80051
2,11.75,-1.26,32.082,107.9979,0,0,-1.0003,403.55095575,5.0509,89.8415,5.024755,0.45,4.669,3.27533,3.84,56.09,911.67,483.26667,64.83165,278.05,342.27,299.8590446,3.829,2.13,1.59,2.094,3.2155,4.317,0.39734,1.10759,1.12,0.54,2.0179,-0.4405,72.012845,-2.285235
2,12.25,-1.568545,37.9144,125.925,1.06373,1.02492,-1,403.8,5.00558,89.815,5.19599,0.43,4.95195,3.38,4.0847,54.49,950.53,491.72,66.518,277.735,345.46,318.83333,4.65,3.02,1.738,2.0735,3.222,4.303,0.409325,1.15,1.175117311,0.55819,2.14,-0.3275,76.12179,-2.00139
