DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
6,23.25,-31.32525,-2.35109,-1.95842,-0.571181,0.08185,-0.0352,-0.19978825,378.0680379,0.4325543865,7.36219,0.046211041,0.46172225,0.4169725,0.1576285,2.512845,0.11254915,25.0489,0.2799655,23.315,11.22,85,20.7257844,22.015,20.07,26.22,-35.2458825,-35.7705,-0.0017264,-0.05597267,-83.487,-0.00041184175,-0.1714326
6,23.75,-32.445444795,-2.37925,-1.2794624905,-0.549762,0.089025,-0.0352,-0.17924825,378.1373977,0.430975865,7.41639983,0.0434320225,0.46178225,0.4134205,0.1497175,2.5826625,0.1121625,24.8229125,0.2472245,23.02,11.425,85,20.055784395,21.33,19.6525,25.795,-34.87368,-34.7186375,-0.0017203,-0.056356,-82.4555,-0.0003917775,-0.17496
7,0.25,-29.73105,-2.17535,-1.68403,-1.38673,0.075597997,-0.06135,-0.1696495,379.033990975,0.46218597,15.07325,0.098868345,0.5274145,0.4597075,0.1400205,1.7159625,0.1602285,24.153425,0.234506,22.24,28.55,85.3,10.993887805,21.9,20.38,24.925,-37.1860575,-34.9622,-0.001610285,-0.055266065,-65.471,-0.00027487575,-0.175810075
7,0.75,-27.857636925,-2.15121,-0.63331032075,-0.7065155,0.152766,-0.053,-0.15448025,379.7712118,0.492956939,14.9388701775,0.1009546515,0.53103375,0.49374325,0.14851175,1.89238760675,0.13564645,23.672295,0.228088,21.865,29.2375,85.3,10.649348455,21.435,20.055,24.69,-36.760345,-34.0522,-0.001589075,-0.0558837125,-65.3385,-0.00027675975,-0.17377685
7,1.25,-27.49122942,-2.252145,-1.0215046045,-1.594845,0.114741,-0.08435,-0.14641425,380.259247775,0.46887063975,15.308275,0.104797874,0.52101925,0.443798,0.14725975,1.85862117775,0.142682,23.508775,0.2203975,21.68,29.8125,85.3,10.285957845,21,19.635,24.28,-35.4834525,-34.0466325,-0.001570275,-0.0551721675,-63.311027745,-0.00030052725,-0.176131575
7,1.75,-27.834,-2.026825,-1.481274663,-0.7801005,0.061812445,-0.06795,-0.1448435,379.79475,0.471768312,15.42605,0.0953427095,0.4751755,0.4609825,0.147828,1.9781575,0.136337925,23.281765,0.2230215,21.5,31.175,85.3,9.880225577,20.79,19.555,24.055,-34.42421,-32.8476125,-0.0016064735,-0.05445675,-64.2745,-0.000319653,-0.1788025
7,2.25,-23.370275,-2.114375,-1.4199325,-1.0221825,0.065700671,-0.052575,-0.115856,379.6715,0.472468073,15.74365,0.09145330425,0.4487885,0.404526,0.1437285,1.83734,0.12072125,23.15665,0.2219685,21.1825,32.8225,85.3,9.7358597745,20.465,19.015,23.755,-35.5708775,-32.156,-0.00159182575,-0.05427875,-63.4175,-0.00029156675,-0.17732165
7,2.75,-24.810575,-1.937555,-1.13654,-1.3474675,0.0763,-0.06055,-0.093,379.7715,0.4749694125,15.9139359625,0.08968290525,0.47659025,0.389608,0.137115,1.78746699575,0.116435175,22.9969,0.23830975,20.855,33.725,85.3,8.96932870275,20.215,18.7275,23.54,-34.6503,-31.444465,-0.001602912,-0.0551761,-62.5155,-0.0003386775,-0.179678625
7,3.25,-26.5868533525,-1.93318,-1.281507113,-1.40749,0.030075,-0.04995,-0.08235,379.1502712,0.50793372,16.1879,0.10248295525,0.45574225,0.3863305,0.131106,1.666340082,0.11973405,22.79601,0.23699675,20.74,34.8775,85.3,8.679204849,19.885,18.4525,23.32,-34.42626,-31.2405225,-0.0016107955,-0.0547485,-61.677,-0.00032138525,-0.179682525
7,3.75,-22.966275,-1.7274575,-1.87488,-1.2405125,-0.00493900725,-0.0502,-0.079425,379.041462025,0.5129975895,16.040225,0.0991082075,0.43467525,0.3904055,0.1231835,1.705800189,0.116764,22.621475,0.24437375,20.635,35.3575,85.3,8.245025,19.535,18.27,23.09,-34.3967,-31.0403675,-0.00161749125,-0.0545217925,-60.37,-0.0003530095,-0.1749525
