DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
2,3.25,-0.284475,-0.432225,-3.6785,-86.591,0.0145,-0.453675,389.01035,0.75075,-78.746,0,0,-18.759,62.021,0.018,96.3,-3.2058,-2.248225,-1.73735,-1.2577,-0.310575,1.2875,-10.4515,-2.1286,-2.38215,-1.528,-0.27595,1.40565,-20.87,-18.558,0.037995,0.152715
2,3.75,-0.47705,-0.49925,-3.31535,-80.07945,0.01665,-0.522775,389.07175,0.71145,-77.99,0,0,-18.989,62.4005,0.014,96.37,-3.2301,-2.33355,-1.7821,-1.29825,-0.330825,1.34285,-10.4425,-2.10025,-2.431325,-1.7371,-0.23705,1.3588,-20.29,-19.84,0.0355,0.1531025
2,4.25,-0.37795,-0.4932,-3.6272,-79.182475,0.018,-0.4455,389.2636,0.725175,-77.004,0,0,-19.329,62.846,0.00880000000000001,96.3,-3.235625,-2.32425,-1.79235,-1.2737,-0.34305,1.3064,-10.453,-2.344,-2.43085,-1.5341,-0.13035,1.374,-20.75,-20.84375,0.0373,0.148
2,4.75,-0.35635,-0.4078,-4.5451,-82.4445,0.015,-0.3414,390.0296,0.725625,-78.039,0,0,-19.418,62.1235,0,96.394,-3.313375,-2.3832,-1.78915,-1.291475,-0.3463,1.3308,-10.4625,-2.1806,-2.5174,-1.5739,-0.15215,1.41495,-20.63,-21.6125,0.03721,0.15155
2,5.25,-0.30835,-0.430425,-3.7612,-75.653425,0.015,-0.322025,388.55945,0.7218,-77.956,0,0,-19.201,63.126,0.0138,96.3,-3.2405,-2.33445,-1.80415,-1.28745,-0.34615,1.28495,-10.4625,-2.29675,-2.453725,-1.555,-0.29645,1.3308,-21.99,-21.93,0.03457,0.1590975
2,5.75,-0.3456,-0.5744,-4.01045,-77.9015,0.0159,-0.315475,389.43725,0.66855,-78.039,0,0,-19.355,62.925,0.0113,96.3,-3.34475,-2.3385,-1.81415,-1.3016,-0.40965,1.39065,-10.4525,-2.3906,-2.586725,-1.525025,-0.24525,1.2989,-22.45,-22.3675,0.0347,0.1699
2,6.25,-0.3495,-0.42035,-5.31105,-87.22265,0.014,-0.27375,390.99525,0.6429,-76.759,0,0,-19.445,63.709,0.0135,96.27,-3.4575,-2.364,-1.85945,-1.36425,-0.3458,1.29265,-10.4715,-2.3111,-2.651075,-1.5058,-0.21135,1.32685,-22.4,-22.35625,0.03019,0.1402975
2,6.75,-0.3235,-0.8606,-3.40085,-85.004375,0.015,-0.34575,391.1455,0.64,-75.911,0,0,-19.649,64.692,0.003,96.3,-3.452375,-2.440525,-1.8703,-1.219375,-0.37005,1.34375,-10.491,-2.6226,-2.8445,-1.6895,-0.1636,1.3801,-22.25,-22.77,0.03525,0.169375
2,7.25,-0.424875,-0.52505,-4.1296,-81.6402,0.013925,-0.37925,391.897625,0.58065,-74.775,0,0,-19.549,64.9258,0,96.37,-3.414875,-2.3821,-1.8461,-1.31975,-0.358075,1.2918,-10.511,-2.46035,-2.90705,-1.64015,-0.28155,1.3467,-22.65,-23.53175,0.0361,0.147905
2,7.75,-0.2877,-0.3327,-3.35545,-74.43025,0.01985,-0.30755,391.666825,0.578025,-61.632,0,0,-19.187,64.261,0.001,96.3,-3.4307,-2.525,-1.87415,-1.2824,-0.2216,1.30125,-10.52,-2.4261,-3.071125,-1.507,-0.24355,1.3673,-19.08,-24.0125,0.03746,0.149915
2,8.25,-0.274825,-0.44855,-2.4346,-61.451,0.0275,-0.3541,391.66925,0.66285,-37.164,18.8343,1.17905,-18.386,61.861,0.0366,96.3,-3.4365,-2.5142,-1.8771,-1.2506,-0.0709999999999999,1.3895,-10.5205,-2.56335,-3.11935,-1.60335,-0.20345,1.4313,-16.64,-22.78875,0.05864,0.16783
2,8.75,-0.0426,-0.133625,-2.489,-44.07725,0.03995,-0.5055,391.660925,0.72425,-27.71,36.4094,2.8008,-17.277,59.156,0.0526,96.5,-3.2937,-2.40615,-1.89665,-1.2732,-0.056375,1.472475,-10.521,-2.596,-3.108,-1.7443,-0.2343,1.47365,-13.17,-20.855,0.08604,0.19075
