DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
5,23.75,0.198896677,0.004558444,0,2,375.412996725,412.91372015,-30.8358509725,20.98767,88.5,416.7243065,19.93334325,3.166005,0.37115425,17.908643,6.97065725,7,7.987988,98.67426,4.30330775,2.503177,7,4.186546,-3.5858625,0.252108,6.2324985
6,0.25,0.200218385,0.019127,0,2,394.02944475,431.58040445,-33.195488,24.130885,89.40484,416.07372725,24.8756405,3.020886,0.3097225,22.0657835,6.849029,7.46316475,8.5944115,98.55886,4.95432475,3.31845,6.072129,2.816003,-3.002574,0.076152,7.013021
6,0.75,0.2008295225,0.0188771495,0,2,393.8414025,428.641405,-32.471553725,23.68274,89.9,417.86574225,24.583543,3.09,0.314815,22.011,6,6.6437535,7.9203985,98.554135,5.356881,3.20909975,6.394828,2.32538825,-3.04000575,0.213082,6.53513525
6,1.25,0.2002748355,0.0178475,0,1.963221193,393.9825905,427.5448205,-30.726242,23.32,90.6,419.770156,24.7224075,3.0212,0.309232,21.939915,5.123209,5.971197,7.217775,98.548085,4.9073355,3.2478845,5.888864,3.95516,-2.567267,0.214005,7.3980475
6,1.75,0.200796533,0.0172753905,0,1.960541,392.1012561,427,-30,23.153275,91.575,420.7576465,24.55886725,2.9814825,0.31216425,21.903895,4.590291,5.465523,7,98.54716,5.057352,3.315429,6.2262395,2.67316425,-2.437152,0.26745075,7.628895
6,2.25,0.2001053455,0.0154720005,0,1.920442,391.8322622,425.3216733,-30.0401319,22.8385725,91.8542725,421.7773215,24.3362375,3.01627775,0.304512,21.87268225,4.381077,5,6.4904525,98.543725,4.977592,3.115474,5.41012275,2.4099215,-2.616809,0.281748,7.381325
6,2.75,0.2007090165,0.018383981,0,1.8259924725,392.01420295,424.84008095,-29.321605015,22.683835,92.5169275,425.032285,24.442108,2.93204725,0.2865195,21.75275675,4.01616,5,6.05240725,98.54792,5.374472,3.75186625,5.04008875,2.752923,-3.000242,0.342731,7.949951
6,3.25,0.19948598725,0.01452586825,0,1.77133811,390.5178595,423.415580125,-30,22.46,92.8998075,426.6414755,24.3134805,2.893461,0.29176525,21.73,3.967143,4.695471,6,98.55484,5.200148,3.987217,6.05807625,2.07081625,-3,0.593244,8.19917275
6,3.75,0.20001307625,0.0205453215,0,1.976994644,389.6428337,422,-28.7169781525,22.29,93.4,428.013392,24.45390225,2.9561365,0.298141,21.62852275,3.386145,4.358249,5.847596,98.5689,4.818879,2.943303,4.7187025,1.868884,-2.552154,0.8994155,7.64894775
6,4.25,0.382934,0.029231987,0,1.985931673,390,421.883099,-25.92610586,22.1209075,93.875,429.177773,24.3206675,2.930773,0.2906,21.6,3.14505775,4.05662375,5.5282475,98.58193,4.941522,3.5267175,4.937156,2.74627,-2.1684995,1.1562615,6.53380675
6,4.75,12.057027,1,6,3.072200347,389.659074,420.6143503,-22.08140278,21.94875,94.5084,430.634148,24.11669675,2.83896575,0.29032,21.51470225,3,3.929717,5.3374285,98.6,4.8942145,2.3650455,5.31261875,4.433592,-2.934336,1.520574,6.091407
6,5.25,81.711340125,6,42.0645368625,13.005822235,390.55615245,420,-6.87730086775,21.9,93.9,431.378431,24.09028125,2.78984,0.300706,21.475777,2.84092725,3.9159015,5.27056475,98.62611,4.57300575,1.665533,6,8.075781,-2.559421,1.6133665,4.431333
