DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
7,19.25,5.3495,87.1041476675,12.5505,0.773,388.56,389.68,397.28,400.49,24.145,24.074,23.869,11.979,14.50275,17.2975,100.5115,566.809,152.2525,350.50475,33.29275,406.75,444.03775,188.365,646.144,5.68725,16.15925,4.5303,25.64875,27.87,27.03275,27.12275,26.9295,27.006,26.605,96.4525,96.505,99.035,99.61,100,20.95725,19.408,18.84225,16.1375,12.6705,11.907725
7,19.75,6.716,87.0731992765,6.42649999999997,0.7685,390.7725,391.39,398.845,399.015,23.703,23.619,23.444,12.0045,14.35075,17.14575,100.52475,412.5115,101.77,255.14075,24.1425,408.332,439.9535,86.213,462.4105,9.60624999999998,11.63775,4.7155,25.16125,26.5435,26.19025,26.133,26.06075,26.101,25.708,96.305,96.7575,98.925,99.61,100,20.918,19.411,18.86325,16.33175,12.73025,11.98025
7,20.25,7.3985,67.4754999999999,-0.0885000000000004,0.8455,392.51,392.91,402.01,408.51,23.433,23.427,23.352,11.856,14.07875,17.03375,100.52475,262.633,74.244,162.508,15.25075,410.7095,436.513,9.035,289.7935,5.00199999999999,7.38875,5.063,24.55625,26.03475,25.243,24.8515,24.319,24.32125,24.2245,96.5525,96.81,98.9775,99.61,100,20.5705,19.45675,18.90375,16.137175,12.6105,12.04
7,20.75,9.5215,39.5811277675,3.29099999999999,0.8055,395.32,395.47,405.22,409.28,23.303,23.353,23.315,11.777,13.64025,16.706,100.538,121.7915,41.7145,75.45975,6.892,414.5955,434.291,8.07849999999999,133.53175,1.9245,3.6005,4.231325,23.8515,25.56425,24.7415,24.27925,23.77475,23.94425,23.798,96.7525,97.1,99.0775,99.61,100,20.77525,19.28725,18.79425,16.21775,12.66,12.01
7,21.25,8.103,28.5044804785,12.5395,0.793499999999999,397.72,397.52,404.08,412.15,23.224,23.274,23.231,11.5395,13.19675,16.125,100.541,32.624,23.932,20.3495,1.59875,418.064,432.30275,5.333,52.9075,2.1485,2.20775,4.697625,23.60125,24.95675,23.96575,22.92775,22.97475,23.19475,22.99375,96.6825,97.2525,99.1775,99.6625,100,20.45025,19.159,18.73275,16.343,12.6705,12.01675
7,21.75,9.025,83.2404964809999,0.0394999999999975,0.71,399.93,400.78,404.57,415.94,23.115,23.155,23.1,11.19625,12.7245,15.47775,100.5375,8.52549999999998,8.04399999999998,4.68824999999999,0.267749999999999,416.541,427.938,5.1795,3.63825,2.3925,2.1715,4.357825,22.8935,24.86625,22.851,22.33225,22.1545,22.35975,22.2955,96.92,97.3525,99.32,99.6625,100,20.4405,19.2385,18.6735,16.34725,12.7035,11.9605
7,22.25,8.98249999999999,23.3754304255,2.98,0.6955,402.35,402.07,410.99,414.76,23.008,23.041,23.002,11.05425,12.16125,14.85375,100.54425,1.563,2.0105,0,0,412.273,426.17475,5.93625,2.80475,2.3515,2.401,4.29525,22.4135,25.00075,22.52775,22.3595,21.871,21.8715,21.78725,97.12,97.4525,99.515,99.71,100,20.47625,19.24675,18.681,16.1765,12.6175,11.92675
7,22.75,10.202,25.2655442395,1.8565,0.651,407.97,409.21,422.41,428.86,22.877,22.894,22.867,10.6765,11.627,14.26,100.544,1.01,1.793,0,0,413.936,425.40525,5.91975,2.973,2.28925,2.541,4.50275,22.22575,24.97475,22.3665,22.32475,22.06625,22.071,21.72225,97.025,97.4525,99.5625,99.81,100,20.37875,19.16875,18.73275,16.33775,12.7005,11.95675
7,23.25,9.1855,16.827,5.0815,0.722,416.89,416.93,421.86,429.21,22.751,22.762,22.751,10.3495,11.19125,13.72075,100.544,1.2275,2.0435,0,0,413.63575,424.77675,6.191,2.6055,2.04875,2.2335,4.633,22.02675,24.732,22.16775,22.11175,21.964,22.00825,21.5925,97.1575,97.4525,99.61,99.81,100,20.3245,18.97,18.5715,16.39175,12.6705,11.99375
7,23.75,9.303,32.8880884599999,7.72599999999996,0.7295,411.47,413.12,428.86,432.77,22.636,22.641,22.604,10.28825,10.81925,13.27075,100.54075,2.175,3.23,0,0,412.957,424.6895,7.23775,2.862,2.0615,2.471,4.259075,21.917,24.4625,21.93575,21.893,21.7505,21.78525,21.39475,97.1525,97.505,99.5575,99.81,100,20.24075,19.042,18.56175,16.20575,12.707,11.95675
8,0.25,10.244175,33.3626325,0.959999999999973,0.8107125,413.8725,414.6025,422.415,426.7375,20.3425,20.4655,20.0675,7.86275000000001,9.61650000000001,11.31575,100.65075,0.985999999999998,1.2405,0,3.49074999999999,412.6895,418.58625,0.661999999999986,1.20025,0.592999999999999,1.17925,4.24745,20.3223,22.869,21.079,20.55,20.334,20.412,20.428,97.39,97.6,99.95,99.76,100,20.23,19.415,19.0375,17.915,15.0075,14.4075
8,0.75,10.5506125,36.2201775,1.84978999999994,0.82125,416.9525,416.8775,423.41,425.2525,20.16425,20.30675,19.9465,7.82925,9.42750000000001,11.11425,100.66,1.584,2.04499999999999,0,2.79774999999999,414.143,417.2835,0.0104999999999811,1.172,1.05825,1.154,4.2115,20.3577,22.37,20.552,20.251,20.337,20.401,20.38,97.5,97.5,99.97,99.77,100,20.2225,19.3225,19.1375,17.83,15.0075,14.4075
8,1.25,11.6679375,40.0598949999999,5.85845499999997,0.75125,421.94,424.36,430.08,434.07,20.03775,20.1815,19.82275,7.76625,9.25175,11.0075,100.65075,0.763999999999999,2.164,0,2.77324999999999,405.98475,416.232,0.43074999999999,1.23325,1.18175,1.1705,4.1315,20.319,22.083,20.029,19.978,20.09,20.215,20.194,97.58,97.5,100,99.79,100,20.13,19.2225,18.9375,17.8225,15.0075,14.4075
