DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
2,6.25,395.9194189,0.802746513,8.019846217,0.002854759,1.31329012,-0.196296954,-13.34,-28.73869125,4.737587172,99.1,66.1,12.66889441,0.192051921,7.533045752,3.234784885,11.6,12.31,-0.113138434,0.6579674655,0.3009769655,0.374642358,2.0245
2,6.75,396.8665966,0.819639417,7.731649803,0.002399806,0.956197225,-0.100576627,-13.61,-29.44576975,6.155788116,99.1,66.2,12.519491165,0.184042465,7.333980606,3.139636535,11.47,12.21,-0.11319854,0.666893252,0.3027483535,0.368927353,2.095
2,7.25,396.9650157,0.7160906355,7.7179299965,0.003035014,0.8929196245,-0.203658949,-13.59,-27.35446318,6.837316697,99.15,66.9,12.197942515,0.1904694615,7.309711448,3.130873735,11.34,12.16,-0.1156383245,0.658541825,0.305678233,0.367912789,2.0375
2,7.75,397.03985325,0.655458192,7.5815708705,0.003409829,0.5894949145,-0.011672874,-13.64,-17.94794741,9.209941501,99.2,67.1,12.03194587,0.1663094855,7.1413204235,3.10641797,11.38,12.22,-0.112468008,0.665251635,0.301763313,0.37860625,2.0555
2,8.25,397.04056825,0.89230736,7.726568288,0.0050973675,0.419951501,0.0702433595,-12.9,-3.393442246,15.65833291,99.2,65.65140162,11.977902565,0.200343225,7.382178912,3.13581397,11.81,12.51,-0.162125436,0.7147346075,0.36315,0.423848485,1.8925
2,8.75,397.19106495,1.687759089,7.895456673,0.0141534045,0.339372631,0.449683888,-11.89,19.37044124,31.21729755,99.2,64.77717891,12.43262007,0.287316295,7.908207841,3.420575655,12.29,12.82,-0.2354507835,0.898594959,0.4347554265,0.5171762635,2.034
2,9.25,396.0045774,2.511810932,8.1720096715,0.017549828,-1.16625342,0.727418703,-10.5,49.27574176,44.881336085,99.2,62.79052628,13.619818755,0.3264206535,9.066492412,3.876217665,12.62,13.18,-0.3213831225,1.006280236,0.511533241,0.6185273,2.2455
2,9.75,394.21513795,1.951927862,7.9530142655,0.018567338,-2.925796569,0.840306172,-8.86,84.88858371,57.97040326,99.2,59.12176368,15.329759805,0.381068192,10.0412719615,4.482012265,12.795,13.235,-0.383350032,1.091651838,0.553208851,0.670298723,2.336
2,10.25,392.6038854,1.937039462,7.951117377,0.0167273865,-3.889700995,0.6298262,-6.765,124.88258,63.66055409,99.2,57.231295245,16.351441835,0.412418673,11.24116655,5.082974945,13.1,13.27,-0.393607042,1.0928011,0.568682461,0.689540627,2.298
2,10.75,391.0512435,2.161215913,8.232698267,0.01835088,-4.554960256,0.454207109,-4.0465,152.9010846,71.70226558,99.2,55.321478835,16.8034786,0.4648928395,11.78636241,5.75551475,13.98,13.735,-0.451029743,1.145593156,0.606376525,0.733884829,2.395
2,11.25,390.0757271,2.385673778,7.81181348,0.019854854,-5.048397182,0.408454552,-0.9295,183.2338586,88.52098055,99.2,53.86486183,17.89868802,0.4745983565,12.573857075,6.583483855,14.555,14.135,-0.5206864195,1.220850671,0.658694074,0.787091995,2.547
2,11.75,389.10465915,2.358007041,7.9238414225,0.0198254815,-5.741314219,0.384589221,2.8085,220.7297763,96.37346351,99.2,51.9264825,18.02660146,0.507589359,13.447400415,7.18806787,15.64,14.895,-0.55192531,1.246887854,0.672074145,0.820012921,2.652
2,12.25,388.72271885,2.400382162,8.0240475505,0.023294767,-5.962623764,0.211505109,6.372,234.5456219,103.8844638,99.2,49.627823035,19.00603993,0.501868662,14.15399284,7.81410109,16.22,15.2,-0.527327089,1.29099029,0.657187074,0.81356378,2.5705
2,12.75,388.2780686,2.3795042605,7.812235651,0.022447198,-5.4815607115,0.135628674,11.05,247.7051459,104.67648375,99.15,47.915958345,19.60830888,0.512323685,14.776056915,8.553969775,16.785,15.655,-0.535805097,1.314005331,0.65962,0.809117345,2.638
2,13.25,387.77047735,2.290050383,7.8049021015,0.025789034,-5.6134224,0.204269385,14.06,239.6460758,108.835146,99.1,46.731895745,20.057023925,0.4908653175,15.14281413,9.023621145,17.205,15.775,-0.537163447,1.317744832,0.663328037,0.789684559,2.636
2,13.75,387.58599555,2.142124422,8.108984768,0.025594168,-5.227964981,0.18204321,16.87,216.4695311,106.3453676,99.1,45.50710705,20.43004613,0.477776013,15.4237402,9.479122275,17.3,15.77,-0.523413582,1.315403658,0.658142701,0.792745347,2.595
2,14.25,387.02908075,1.978642882,7.8591026095,0.022896754,-5.3405006205,0.125898003,18.685,196.1810073,101.8488507,99,44.0352989,20.62562708,0.454421349,15.860970065,9.874034775,17.26,15.68,-0.516974553,1.310465142,0.65638,0.787798133,2.691
