DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
2,7.25,0.381,-7.7289,2.7859,0.56791,0.399,-13.5495,-0.085744,0.406,0.367,83.5545,98.303,410.04,-22.462,0.245,-0.39441,0.60408,259.35,287.825,2.873,0.083303,0.55,0.78333,1.4167,1.833,3.6833,5.05
2,7.75,0.378,-7.7865,2.7401,0.55651,0.404,-12.536,-0.21689,0.41,0.375,83.557,98.302,410.105,-17.919,9.250289634,4.01575,2.1089,257.96,287.44,2.8665,0.08046,0.55,0.8,1.425,1.8667,3.7,5.05
2,8.25,0.404,-7.7043,2.702,0.54,0.4965,-8.59165,-0.137,0.406,0.3835,83.0045,98.329,410.01,-0.894,53.818,28.214,7.6778,257.435,287.68,2.8927,-0.026202,0.55,0.79167,1.425,1.8667,3.7,5.05
2,8.75,0.447735,-7.5257,2.71115,0.543,0.59193,-1.8901,0.285,0.402,0.379,82.4955,98.3215,409.92,22.419,127.724,64.95,14.882,258.71,288.74,2.947,-0.1539,0.53333,0.8,1.425,1.8333,3.7,5.05
2,9.25,0.49265,-7.2842,2.662,0.52449,0.6869,12.2505,0.721,0.392,0.375,81.571,98.324,410.11,55.78,225.295,112.025,24.1455,259.69,290.727,3.0517,-0.301965,0.55,0.79167,1.425,1.8333,3.7,5.05
2,9.75,0.53184,-6.847,2.72515,0.52482,0.85646,35.566,2.374,0.375,0.38333,79.1985,98.352,410.11,97.4315,338.3,168.61,35.351,259.721,292.524,3.0333,-0.46324,0.54167,0.80833,1.425,1.8,3.7,5.05
2,10.25,0.581,-6.49505,2.897,0.571,0.794,62.527,3.565,0.359,0.379,76.338,98.3535,410.05,136.47,453.4143121,229.32,45.226,259.5205,294.804,3.1015,-0.459785,0.54167,0.79167,1.425,1.833,3.7,5.05
2,10.75,0.64564,-5.9356,3.01245,0.555,0.746515,87.379,5.524,0.363,0.362665,73.7225,98.367,409.725,172.987,554.28,276.883,55.7465,260.145,295.255,3.091,-0.538055,0.54167,0.8,1.4333,1.8,3.7,5.0333
2,11.25,0.65257,-5.6818,3.051,0.62195,0.8125,101.95,6.88925,0.359,0.375,72.015,98.352,409.475,197.265,602.555,294.348,61.2125,258.5,297.662,3.1087,-0.464215,0.53333,0.8,1.425,1.8333,3.6833,5.0333
2,11.75,0.69237,-5.30765,3.1906,0.59951,0.7943,126.526,7.7818,0.322,0.371,69.955,98.3555,408.87,223.03,653.855,326.45,67.947,260.9455,299.115,3.136,-0.444025,0.55,0.79167,1.425,1.8,3.667,5.0333
