DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
4,5.25,0.3125,2.6325,18.89,19.5325,49.3375,3.56,2.785,-64.6275,-6.565,3.885,0.42,23.2375
4,5.75,0.31,2.64,18.965,19.66,50.02,27.28,8.26,-49.95,-6.65,3.3425,0.2875,23.0225
4,6.25,0.27,2.4,19.465,19.92,50.34,144.9425,50.73,8.4625,-0.18,5.15,0.305,22.795
4,6.75,0.29,1.9,20.32,20.745,49.035,280.2,84.44,86.08,29.18,9.985,0.2375,22.6625
4,7.25,0.295,1.73,21.73,21.89,44.71,393.25,104.9,157.66,62.285,15.0125,0.17,22.655
4,7.75,0.295,1.81,22.95,22.945,42.13,502.88,127.95,229.9,98.07,17.6025,0.2475,22.7825
4,8.25,0.32,2.2875,23.735,23.6125,39.0725,606.15,155.1325,296.935,132.29,22.14,0.18,23.03
4,8.75,0.36,2.465,24.455,24.5525,36.8575,701.65,177.2425,356.8,166.2525,24.1,0.36,23.59
4,9.25,0.38,2.4425,25.3375,25.2,34.13,785.755,195.8,410.01,207.7975,24.505,0.27,24.2875
4,9.75,0.4025,2.7025,25.9575,25.715,32.555,855.75,211.245,453.63,243.2725,26.225,0.33,25.1775
4,10.25,0.41,2.8,26.71,26.43,30.12,909.52,223.97,488.885,260.33,28.8325,0.3525,26.215
4,10.75,0.41,2.73,27.495,27.08,28.33,951.8325,232.975,513.03,287.25,27.895,0.25,27.2575
4,11.25,0.4325,2.7325,27.8825,27.535,26.57,976.12,237.655,524.0025,300.4125,26.475,0.29,28.305
4,11.75,0.44,2.8,28.4875,27.88,25.33,985.4,239.61,527.81,312.9,24.995,0.355,29.37
4,12.25,0.46,2.95,28.7975,28.3,24.18,975.605,235.95,517.395,319.62,28.675,0.3,30.305
4,12.75,0.46,3.1725,29.265,28.69,22.9175,956.2375,230.6775,502.9575,317.01,27.01,0.3,31.2725
4,13.25,0.4875,3.29,29.505,29.18,21.93,920.7,221.53,479.27,311.515,21.87,0.2925,32.2225
4,13.75,0.48,3.4825,30.075,29.4875,21.79,861.2775,207.795,436.965,314.445,22.1925,0.33,33.065
4,14.25,0.5,3.54,29.9975,29.64,22.4975,791.4075,192.7175,390.895,286.34,18.725,0.295,33.7325
4,14.75,0.49,3.585,30,29.6725,22.45,704.31,173.76,335.86,262.485,19.18,0.2325,34.27
4,15.25,0.4775,3.64,30.13,29.59,22.3,607.9275,152.445,267.73,235.0175,17.9425,0.28,34.74
4,15.75,0.5,3.79,30.2075,29.62,23.04,504.1225,129.015,195.1175,195.85,15.62,0.32,35.05
4,16.25,0.51,3.81,30.055,29.51,23.555,394.67,104.6125,123.515,162.84,13.42,0.39,35.14
4,16.75,0.5075,4.0075,29.735,29.38,24.55,282.6525,79,49.725,122.31,10.86,0.4175,35.14
4,17.25,0.4825,4.0825,29.135,29.1075,26.7175,170.11,52.94,-14.95,78.125,7.97,0.34,34.93
4,17.75,0.49,3.85,28.31,28.47,28.5325,61.075,22.0925,-69.8125,31.46,5.76,0.46,34.48
4,18.25,0.5275,4.3125,27.625,27.9075,30.72,3.54,2.51,-93.335,4.82,3.7375,0.8,33.95
4,18.75,0.57,4.8175,27.035,27.4425,31.61,-5.325,0.645,-92.83,-4.1975,4.2225,0.915,33.37
4,19.25,0.56,4.98,26.665,26.92,32.895,-5.5075,0.6775,-91.015,-7.54,4.645,0.8075,32.72
4,19.75,0.54,4.95,25.835,26.22,35.205,-5.375,0.5375,-88.8,-9.51,4.995,0.905,31.99
