DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN
4,1.75,-0.1019595,3.79245,2.70604,1.33395,1.954625,0.3887105,7.274995,415.355,4.372015,0.8942575,0.7116925,0.49589,0.1758,-0.175
4,2.25,-0.0842,0.3861265,3.45989,1.16723,2.15812,0.361087,6.956295,413.8195,4.239175,0.913866,0.677111,0.48352,0.1438,-0.173
4,2.75,-0.09305,-0.371496,4.2656,1.114465,1.97448,0.357637,6.80897,416.9225,4.25764,0.846069,0.682396,0.4580925,0.135429,-0.1685
4,3.25,-0.0724,-2.036795,3.69819,1.15729,1.828,0.3417175,6.46475,416.9405,4.40947,0.8014555,0.653351,0.469082,0.14965,-0.1685
4,3.75,-0.0868,-0.220709,4.20808,1.282995,1.89058,0.32616,6.13473,417.5615,4.33693,0.826571,0.662308,0.458659,0.1302295,-0.1675
4,4.25,-0.0962195,-2.00951,2.103135,1.22611,1.7307,0.3766825,5.95235,418.016,4.2729,0.7862795,0.673205,0.4661965,0.1283,-0.1675
4,4.75,-0.0774,1.366315,2.58767,1.3287,1.658605,0.346624,6.38073,416.4915,4.41045,0.8050605,0.69035,0.4493055,0.1383,-0.1595
4,5.25,-0.06895,-2.015295,2.01477,1.42204,1.74733,0.3257595,6.21631,418.1765,4.17327,0.751473,0.6504175,0.4626635,0.1309,-0.118
4,5.75,-0.0779,2.72037,2.132085,1.56584,1.79612,0.31069,6.286475,417.241,3.90311,0.778093,0.661308,0.421221,0.129332,0.871
4,6.25,-0.1157285,-0.0477,3.98999,1.82059,1.88485,0.3440205,5.979885,419.898,4.10234,0.790475,0.693133,0.4545285,0.1475245,13.505
4,6.75,-0.119051,11.14605,5.99286,2.28647,2.04638,0.380587,6.45706,419.5175,4.1361,0.855444,0.75042,0.483464,0.1556,60.44
4,7.25,-0.144376,19.1729,9.75284,1.66957,2.07355,0.421031,6.749105,416.2625,4.15633,0.939352,0.780469,0.527883,0.1760365,151.8
4,7.75,-0.159831,25.0436,9.62839,1.275775,2.232585,0.435916,6.73894,417.7645,4.09285,0.931372,0.839194,0.520143,0.2218235,230.25
4,8.25,-0.2236435,25.5166,13.2688,1.09762,2.10025,0.459849,7.30645,416.702,4.13165,0.9492515,0.9215565,0.5535705,0.2276,400.35
4,8.75,-0.200198,19.3268,11.28895,1.823705,2.30162,0.511655,7.410445,413.912,4.51372,1.05078,0.959952,0.62183,0.2432645,564.45
4,9.25,-0.217016,33.26445,15.4251,1.40722,2.433395,0.477853,7.64536,415.312,4.71823,1.08072,0.959759,0.617546,0.2935,612.65
4,9.75,-0.2533135,61.7267,21.7414,1.13211,2.56107,0.5254765,8.27819,412.653,5.020035,1.103715,1.01921,0.656319,0.278,735.95
4,10.25,-0.2509985,57.1998,21.22075,1.48871,2.59769,0.556299,8.67915,413.658,4.81584,1.19543,1.052915,0.673728,0.3104,852.5
4,10.75,-0.214348,55.6098,15.99685,1.53121,2.63099,0.543057,8.64284,413.7225,4.800755,1.19242,1.03866,0.682195,0.3529,1102
4,11.25,-0.218986,65.6331,12.0208,1.229755,2.54937,0.5610385,8.793505,413.893,4.570035,1.19703,1.05544,0.676947,0.3588,1031
4,11.75,-0.2706795,71.59715,11.3609,1.396665,2.54014,0.5091155,9.38199,413.382,4.48255,1.17157,1.0945,0.678615,0.3564,1134
4,12.25,-0.262081,96.67945,15.8759,1.788435,2.634155,0.56771,9.5188,412.689,4.56926,1.31129,1.15374,0.702639,0.3767,1207
4,12.75,-0.203233,69.4536,13.1394,2.39679,2.46062,0.541831,9.88639,413.3065,4.48052,1.252865,1.04572,0.672246,0.33745,1366
4,13.25,-0.259811,85.71645,18.4975,1.845045,2.7825,0.555707,10.30735,413.232,4.22302,1.3261,1.14592,0.723763,0.3482,1413.5
4,13.75,-0.240714,48.0393,19.0636,1.000138,2.674035,0.54889,10.55555,412.178,4.21179,1.30091,1.07293,0.706181,0.3807375,1310.5
4,14.25,-0.23783,38.6316,12.421,1.90217,2.83625,0.608061,10.3542,413.9215,4.40042,1.2479,1.1233,0.711666,0.3008,932
4,14.75,-0.2434235,47.3609,11.6901,1.31069,2.64037,0.564355,10.42435,413.21,4.444025,1.353245,1.109345,0.6826555,0.3182,881
4,15.25,-0.25231,42.59925,17.1124,0.515019,2.848645,0.565782,10.8592,411.6005,4.42078,1.31557,1.11804,0.679645,0.2922,918.5
4,15.75,-0.259573,40.1117,18.4319,1.21935,2.832045,0.572762,10.7018,411.59,4.511375,1.25814,1.1267,0.669983,0.265295,749.9
4,16.25,-0.267901,37.4541,18.323,1.546795,2.61837,0.5654905,10.8892,410.509,4.44269,1.1928,1.125285,0.644778,0.303174,536.9
