DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,NETRAD,RH,SW_IN,SW_OUT,T_CANOPY,G,TS_1_4_1,VPD,WS,LW_IN,LW_OUT,PPFD_IN,PA
1,7.25,0.5318667,0.711378474999999,0.5786673,0.17257325,8.817261625,1.567663025,10.337559875,0.506856575,445.4516577,5.90357725,1.1450478,0.32597958,0.3474867,0.498074100000001,3.9603185,99.84323675,0.553207969999999,1.993496225,0.185862478900003,0.207045249999999,0.6733649775,1.463442321725,4.074687625,317.38537,317.9463125,1.21044175,100.6599375
1,7.75,0.50669615,0.588822687499999,0.53739295,0.219618375,9.475333625,1.7577758,9.974624275,0.829181625,441.2051713,5.90922489999999,1.2172214,0.32687228,0.3470168275,0.4999565375,4.731612125,99.84128075,15.279612,12.16822825,0.323110895300002,0.202351109999999,0.685920635,1.514990778325,4.3046198,317.389935,318.2502625,27.086986,100.6836
1,8.25,0.59590815,0.695322625,0.581002025,0.2228373,11.836576075,2.830266,12.78033265,0.991363500000001,439.910345125,5.9613703,1.1148832,0.33249582,0.357965225,0.5261646275,15.3007825,99.82375275,86.972417,57.504287,0.432620379350002,0.198236169999999,0.6870824225,1.49947007455,4.180623,317.19055,318.5595625,112.22886,100.6962125
1,8.75,0.5796734,0.6077324,0.6105334,0.1181119625,32.8318002875,3.4529875,16.313796425,1.048913625,432.2681725,5.9612406,1.2658917,0.33032248,0.3748483875,0.5509823525,59.49834,99.80416225,170.32492,100.82894125,0.605804357550001,0.196292559999999,0.7060767925,1.500763882125,4.506633375,317.927695,318.978525,229.371565,100.7178875
1,9.25,0.5702586,0.7429822,0.612898374999998,0.1092206,57.7782315,3.9288795,16.0703481,1.12823385,434.809574175,6.0920228,1.5823159,0.33801188,0.40515606,0.57214368,96.2357525,98.62618675,240.55194,146.351905,1.62979775,0.193675119999999,0.74335989,1.769168515125,4.4178652,318.563105,320.125725,372.760805,100.7407375
1,9.75,0.567005,0.739565325,0.717016525,0.1326277,88.9440284999999,3.22867275,19.826325125,1.16180345,429.3080895,6.2823012,2.0039512,0.36170776,0.432996795,0.584105455,115.46865,98.5761055,321.68476,199.768065,2.52403825,0.191177869999999,0.7651761775,1.9890544057,4.413305925,319.158485,322.5189875,511.518335,100.763375
1,10.25,0.611600875,0.6519343,0.6325365,0.11966845,135.9116107875,3.365858125,24.2907459,0.776892299999999,430.813632375,6.223543125,2.683326,0.36675804,0.4370277525,0.574285690000001,145.6032375,98.490341,393.45342,253.575585,2.73386335,0.188604209999999,0.7732076375,2.138218875525,4.59251745,319.898175,323.941325,638.60815,100.7808375
1,10.75,0.628358675,0.652854674999998,0.623860112499999,0.092837725,155.8995486,2.75155005,29.282057475,0.6547836,429.3855666,6.3096136625,3.3593263,0.37824906,0.445014435,0.5678485525,188.570125,97.1288245,453.07507,296.7203375,3.1245225,0.185688969999999,0.78237842,2.4492202053,4.500989,320.22627,326.0903625,738.52861,100.7838875
1,11.25,0.6078325,0.5581601625,0.5515071,0.1135916,162.79690825,2.386664,30.21938285,0.6724377,428.1348361,6.6801023,3.4825789,0.40034968,0.4591859725,0.57943265,219.3364375,95.65322525,491.38997,307.2319425,3.807182175,0.182588409999999,0.7883183375,2.512414896025,4.74756335,321.058885,327.484525,823.784255,100.76615
1,11.75,0.64843715,0.577499,0.5123394,0.0937082,207.41665755,2.1926041,35.322078,0.695197425,428.0253366,6.8499566,3.97203345,0.4103618,0.4638938425,0.576231452500001,252.5709625,94.8774925,522.557565,323.39651,4.105753075,0.179299719999999,0.7832474325,2.6234561311,5.02475975,321.04756,328.5098375,875.513245,100.7376125
