DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
3,23.25,0.235139,2.634,2.51914,0.9278633333,0.912885,0.0075472222,-29.9767,7.366855,-0.021527494,-14.715125115,2.071,2.7895,1.9245,62.8904047145,83.50735,400.00585892,-74.428,0,0,1.6225,246.4694,313.9,5.2981340377,-0.0579493,0.8175585606,0.6861566876,0.2701212691,2.676,0.3796748609,2.95,3.325,2.925,2.95,3.4
3,23.75,0.238375,2.4675,2.65235,0.9884038889,0.962886,0.0049927778,-32.4199,9.80959,-0.016691201,-14.877816925,2.006,2.6385,1.7855,63.5821534845,83.5053,399.94622366,-76.552,0,0,1.6146533,244.85,314.55,5.2103997884,-0.0616024,0.7933750689,0.7087961625,0.2761476055,2.542328,0.3815180205,2.9,3.25,2.95,2.95,3.4
4,0.25,0.256296,4.4155,2.74002,1.44744222225,1.430455,0.0049927778,-30.8175,8.843825,-0.017786368,-27.61434092,5.6345,6.4315,5.5635,56.283375029,83.4961,396.58452501,-80.77,0,0,1.7295,249,321.85,5.81341201225,-0.0700132,0.79517896555,0.71497926415,0.2675939001,4.4025,0.4382168413,6.35,6.9,6.2,5.7,5.4
4,0.75,0.253132,4.2415,2.76816,1.3060847222,1.303195,0.0061538889,-33.658,7.54866,-0.0180236635,-27.24266772,5.5145,6.3305,5.32,55.7787896535,83.5094,397.4199892,-82.208,0,0,1.71633655,248.55,321.3,5.899737125,-0.0659013,0.8218132391,0.7305860661,0.2865730273,4.416,0.4414702708,6.35,6.9,6.2,5.7,5.4
4,1.25,0.26012,4.073,2.72717,1.3163727778,1.31802,0.0027866667,-34.1922,7.00663,-0.0517189975,-27.821318965,5.3545,6.177,5.0835,55.9091697475,83.4961,396.9321771,-80.8978491,0,0,1.715,250.88195,320.45,5.88363977995,-0.0742936,0.83690747585,0.7340325352,0.270561126,3.9215,0.43753170995,6.175,6.75,6.2,5.7,5.425
4,1.75,0.229202,4.014,2.66578,1.33005805555,1.316945,0.0106822222,-31.5111,7.983665,-0.039365717,-26.19200453,5.1995,6.019,4.954,56.3541122595,83.4913,396.29374848,-79.46048665,0,0,1.6595,250.6,319.95,5.8800990677,-0.0612251,0.7303642927,0.6933758,0.2681596539,3.923,0.43868985035,6,6.6,6.2,5.7,5.45
4,2.25,0.245837,3.8685,2.82356,1.2477311111,1.2475,0.00969527775,-34.3504,7.87721,-0.022761877,-25.71956596,5.078,5.877,4.743,57.2053741245,83.4799,398.4425748,-79.2685,0,0,1.642,250.95,320,5.85736459555,-0.0631168,0.7712891805,0.6913255384,0.2735015539,3.929,0.4224587115,5.85,6.55,6.2,5.7,5.45
4,2.75,0.251993,3.805,2.774175,1.2990966667,1.32887,0.0074311111,-31.4905,7.92594,-0.0068386195,-24.663772995,4.948,5.703,4.5295,57.9997761045,83.4771,398.41102214,-77.4355,0,0,1.6045,249.3,318.4,5.8410286556,-0.0720155,0.8333516665,0.7392902001,0.2829134143,3.892,0.429936001,5.7,6.5,6.2,5.7,5.45
4,3.25,0.254849,3.8735,2.75804,1.2422861111,1.21994,0.0103338889,-33.3155,6.99848,-0.009115965,-25.349321905,4.811,5.492,4.391,57.8193966125,83.4666,398.67689556,-78.8425,0,0,1.6841915,249.71935,317.85,5.9798908585,-0.0730664,0.8161617487,0.7140280107,0.2867612247,3.857431,0.4060357127,5.575,6.4,6.2,5.7,5.45
4,3.75,0.2544125,3.5355,2.83397,1.2661738889,1.285255,0.0092888889,-33.235,7.98922,0.0207516451,-24.202278415,4.689,5.3925,4.2275,59.1914725255,83.46585,398.69662744,-77.7519241,0,0,1.584,250.6555,318.25,5.8918254888,-0.0697753,0.8241152832,0.7600460512,0.3001547934,3.54354,0.3922556452,5.45,6.3,6.2,5.7,5.45
4,4.25,0.267155,3.2825,2.79627,1.30586083335,1.31515,0.00818583335,-33.8325,7.1136,0.0047245447,-23.02739203,4.6015,5.335,4.1095,60.488391278,83.47275,398.24244174,-77.9675,0,0,1.59227925,248.9141,318.05,5.90880938065,-0.0839176,0.8614957922,0.762401469,0.3016743277,3.333,0.39139856245,5.375,6.3,6.2,5.7,5.425
4,4.75,0.2512655,3.145,2.81973,1.1753722222,1.20044,0.0081277778,-33.24095,7.409205,-0.007817883,-23.58372637,4.543,5.237,3.904,60.6673651695,83.4885,398.40913125,-77.54664265,0,0,1.4935,250.87775,317.336735,5.8166037539,-0.071088,0.8327592689,0.7471459028,0.3047792644,3.104,0.3948145528,5.3,6.3,6.2,5.7,5.4
4,5.25,0.2611915,3.1865,2.77546,1.2485827778,1.24499,0.0046444444,-31.5093,6.9727,-0.0453553915,-22.31156397,4.4855,5.173,3.7925,60.924484219,83.4974,398.27406233,-75.3503045,0.009,0,1.584951,250.8,316.3,5.7898875866,-0.08119495,0.84581406885,0.75526584665,0.30004920455,3.10014,0.3998480838,5.15,6.2,6.2,5.7,5.4
4,5.75,0.242607,3.0315,2.65696,1.1974188889,1.16713,0.01195944445,-30.0583,5.9886,0.01135773165,-23.53197669,4.4,5.0205,3.7135,61.134971892,83.50315,398.739016885,-73.7185,0.8555,0,1.8225,251.8,316.85,5.7808744962,-0.0669303,0.78707335995,0.7639708247,0.26611191315,3.0695,0.405685839,5,6.1,6.2,5.7,5.4
