DOY2,HR2,CO2,FC,CH4,FCH4,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,RH_1_1_1,RH_1_2_1,RH_1_3_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TAU,T_SONIC,USTAR,WS,VPD,U_SIGMA,V_SIGMA,W_SIGMA,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,TS_1_1_1,TS_1_3_1,PPFD_IN,NEE,SC,SH,SLE
1,12.75,380.274325,-8.640936,1918.674,-8.048,-13.67043,1.28583581085,-8.474657,229.425624833333,324.530221916666,70.1046105716667,100.70865,26.7564038166667,16.26860279,27.5134803916667,-0.272406087303333,3.14917026000001,-0.111656997516667,-0.486586612825,3.14917026000001,0.1475726,1.0872,0.9912024,0.464793872467865,0.428762629645725,0.207627668969209,58.981474225,77.9037843666667,98.4398131583336,0,6.47541406666666,6.23442016333333,150.4575,-6.5959549448,-0.7946936401,-2.10715175,-5.604586
1,13.25,381.2645,-6.382798,1918.936,-6.388,-13.09358,1.32028098865,16.1627275,231.4421485,326.879027333333,69.5842616166667,100.75815,28.0173249416667,16.32307276875,26.0638340666667,-0.188666691529166,3.44697559000001,-0.0419718213399998,-0.4944196,3.44697559000001,0.16963885,1.0674175,0.545886303875,0.484219525113,0.458314672016331,0.20178235124467,56.4289883166666,73.220150025,112.558233116666,0,6.60701223333333,6.308985625,164.95625,-6.2545765,-0.6257453,-2.59263908885,-3.327442652
1,13.75,381.3306210525,-6.804816,1918.79425,-2.79725,-5.855991,1.359309749,19.9906227895,232.435931416667,327.836213083333,65.1027216941668,100.755575,26.2216365333333,16.036900902,26.7852888,0.13396266655,3.84130468250003,0.242127388958333,-0.528642794675,3.84130468250003,0.159004475375,1.05607725,1.895235428875,0.462024799458691,0.423861754428779,0.200173596901237,50.1661105666666,74.5164075416667,81.9795206666667,0,6.73335056666667,6.39988238833333,143.02875,-6.61417,-2.0010231342,-2.030262,-4.342035325
1,14.25,384.1009,-6.64045675,1940.7585,-2.908,-29.62319,1.3112885828,14.9889675,232.820814083333,327.64570175,47.4050164674999,100.7255,25.9118844583334,15.475735539,25.6018709235632,0.210056458391667,4.49980000000003,0.565008094,-0.5081383,4.49980000000003,0.1372974,0.96746475,1.4101640474,0.515828136695581,0.418529815037345,0.199572240741203,55.4151608166667,67.4482030083334,68.8805574333333,0,6.88636013333333,6.4536659625,121.16,-5.965088,-0.4809064396,-2.638146,-4.5558765
1,14.75,382.61864052,-6.65796425,1941.81625,-4.84625,-16.87228,1.3387880956,7.498634563,230.836277583333,328.527679,35.9951450000002,100.692,25.4369377666667,14.58168578625,25.4832965083333,0.592411095916667,4.61962838000002,0.806933052333333,-0.5245773,4.61962838000002,0.1359337,1.073806,2.32371493035,0.469077559845633,0.43004309712594,0.190354528127525,44.9960959583334,46.620861425,45.9432697416667,0,6.95450473333333,6.49816489583333,102.3375,-7.662105,-1.625796,-2.44826,-11.7052030535
1,15.25,381.149028015,-5.945958,1940.585,-4.81875,-24.0237175,1.1319005245,-11.003639825,229.49170175,328.186474166667,39.7161404633334,100.700225,25.4283234166666,13.7869,25.1731042333334,0.8100062735,4.49047924250001,0.999655327,-0.491505425,4.49047924250001,0.154501425,0.878192925,2.014358,0.443501639130484,0.363118651018561,0.143721288173876,46.5566674666667,46.913571025,52.4056263,0,7.1202108,6.545735645,86.925,-6.58572,-1.165516307125,-2.307116,-5.9654255
1,15.75,381.344329805,-7.793170650525,1920.90575,-4.32325,-19.5358075,1.129587592125,-7.196897710275,232.244834416667,325.729835666666,24.9570494750001,100.784125,26.4640644,13.808336318,23.5585237833333,0.864251745083334,4.39208443000003,1.00738624716667,-0.40384565,4.39208443000003,0.130349175,0.71887205,1.0619382,0.409071761732002,0.365998022109729,0.146192484275922,43.6672088166667,30.830926125,57.3013380333333,0,7.22919896666667,6.60318743333333,73.3175,-9.5618406504,-1.3085645,-2.7656755,-7.3315157189
1,16.25,384.1402,-4.43338325,1922.09,-6.108,-31.861741398,1.13052958855,-8.00703325,230.981034666667,322.270068833333,6.70893033333332,100.766,26.9216442,14.5939864695,24.6030656,0.752615340166666,4.11999814000002,0.7020111375,-0.3829642,4.11999814000002,0.1189268,0.8354404,1.28468640075,0.346246088478472,0.318579047913791,0.1359380553328,23.5068991083334,17.919492,24.5119456166666,0,7.34111094916667,6.4223622,47.6925,-4.0556075,-3.4714305408,-2.637569959325,-6.592553857025
1,16.75,383.604,-3.043033627375,1921.69875,-8.0855,-31.67196,1.1279842345,-5.25199413825,228.6439485,321.07522,-34.8928934099999,100.7996,27.61131985,15.501247659,27.3412133833333,0.203269058943333,3.89366998000001,0.14163928585,-0.3541314,3.89366998000001,0.0919,0.5999166,1.9299179933,0.254981407548913,0.246171503692887,0.102263985081215,14.0746050683333,8.63748447,15.2157513233333,0,7.43943490166666,6.48630413333333,24.78375,-1.8391935,-0.8701626,-3.864686,-5.883250357
1,17.25,383.0424,-1.9482917835,1918.931,-10.862,-58.6662325,1.39550257715,-10.04012532375,222.599883166667,316.6354155,-88.6905271228166,100.8960224225,31.6422308666667,18.4509175,28.8441190166667,-0.62805393368,3.20759081250004,-0.887210886,-0.31356,3.20759081250004,0.0623075,0.4503399488,0.585578763725001,0.22068503496908,0.206091142603395,0.0684624059241079,5.73750183666666,2.39036610666667,6.90970375416667,0,7.44896423333333,6.55076768333334,7.70125,-1.663885886175,-0.58433943625,-6.08261375,-4.001447332825
1,17.75,382.4819,-1.68922476525,1923.518,-6.861,-55.91578,1.3385433695,-10.6597,220.2690375,310.487378,-103.266285666667,100.863,33.4956327333333,20.93405267375,34.3118064666667,-1.03892471966667,2.77118704000003,-1.103288288,-0.2924004,2.77118704000003,0.047455,0.35435595,0.504346671855,0.162342158782016,0.166384805307111,0.0491576742815544,1.31534227741666,0,2.15991518308333,0,7.47998665749999,6.61281786666667,0.895,-0.5281683182,-1.0027178,-6.996387,-5.2797819725
1,18.25,382.3568,-2.77376280255,1930.74925,-27.03,-56.0025024425,1.5149038943,-11.6929775,220.8524925,308.134639833333,-99.9356143333333,100.8694,35.6302719666667,23.2988075,36.5131010333333,-1.00861059966667,2.09743205000002,-1.08819468316667,-0.3331425,2.09743205000002,0.04408,0.3062672,1.01468823285,0.164680401631076,0.146633928684657,0.0416783385352318,0.90002542875,0,1.49776496483334,0,7.38213329916667,6.6765195,0,-1.49820125,-0.40261645,-5.34246275,-3.85761525
