DOY2,HR2,CO2,H2O,FC,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
2,14.25,389.38,7.3755,-3.004,193.0275,103.86,2.49325,0.72225,1.323,1.4215,0.802,100.28,55.78075,15.26475,10.7775,14.686,0.557,8.1225,8.2445,1082.75,588.66,66.201,313.6275,392.37
2,14.75,388.925,7.648,-2.5635,175.0425,100.2925,2.461,0.768,1.32,1.418,0.81225,100.26,57.2535,15.413,11.0925,15.239,0.496,8.145,8.24925,982.5,534.635,63.896,314.2225,390.0575
2,15.25,389.5175,7.7195,-2.977,126.29,99.26,2.461,0.749,1.2875,1.424,0.804,100.26,57.65575,15.0435,10.9825,15.31,0.3905,8.1725,8.25525,828.5,452.5125,56.42825,312.0575,388.2975
2,15.75,389.2175,7.53475,-1.688,78.60275,81.12575,2.279,0.6705,1.213,1.38575,0.767,100.26,58.67725,15.0105,10.87,15.318,0.333,8.1825,8.2775,674.75,363.425,48.9035,313.2075,386.64
2,16.25,389.81,7.4445,0.1205,43.861,69.782,2.254,0.66425,1.17475,1.3105,0.738,100.26,59.34025,14.81675,10.6375,15.362,0.2715,8.1975,8.2775,470,270.565,42.409,313.8875,383.6675
2,16.75,390.26,7.439,0.807,7.148,58.03275,2.1775,0.618,1.109,1.1865,0.684,100.28,60.5275,14.53525,10.05,15.122,0.2635,8.2175,8.27025,284.875,172.2225,33.09025,312.6775,379.485
2,17.25,390.405,7.12475,1.373,-10.713,43.3965,2.04375,0.563,0.9805,1.0795,0.597,100.2625,64.31275,13.7205,9.3925,14.784,0.2995,8.25,8.26225,157.85,67.42825,19.9495,313.26,374.7925
2,17.75,391.4925,7.1925,3.19975,-9.808,27.8915,1.6475,0.481,0.84425,0.8625,0.5305,100.29,71.02125,12.9255,8.27,14.38,0.39575,8.2425,8.25675,34.82,19.2575,5.504,313.0375,368.0425
2,18.25,391.96,7.081,1.924,-8.204,16.63475,1.52575,0.4055,0.7545,0.79725,0.4555,100.28,75.8275,11.66975,7.225,13.83,0.40325,8.27,8.25925,1,-0.4725,3.203,311.6075,362.5225
2,18.75,389.87,7.228,1.412,-6.187,12.655,1.431,0.406,0.731,0.75825,0.47675,100.34,79.38575,10.725,6.52,13.0875,0.42825,8.2725,8.24675,0.83075,-1.155,3.363,314.1075,358.16
2,19.25,388.7675,7.1255,0.85525,-4.1205,9.51775,1.43175,0.41425,0.73075,0.676,0.45625,100.35,83.5925,9.9625,6.1,12.2285,0.40375,8.285,8.2375,0.83425,-1.1425,3.126,312.6775,354.88
2,19.75,389,7.38525,0.723,-4.2585,8.4145,1.5425,0.452,0.7145,0.808,0.4995,100.37,82.02075,9.5565,5.5625,11.91,0.383,8.2875,8.22,0.835,-1.033,3.146,312.3825,353.415
2,20.25,388.3,7.513,0.736,-6.064,7.85625,1.613,0.449,0.761,0.80775,0.502,100.38,84.33,9.2575,5.165,11.484,0.447,8.2825,8.2175,0.843,-0.974,3.2835,313.66,350.9525
2,20.75,388.905,7.36375,0.932,-7.1985,7.9705,1.6765,0.438,0.7525,0.7785,0.4925,100.37,85.65,9.09325,5.2,10.7395,0.39625,8.28875,8.2175,0.84875,-0.94475,3.21475,313.88,350.03
2,21.25,388.5375,7.746,0.959,-7.176,7.899,1.6665,0.458,0.788,0.84725,0.49575,100.39,88.75675,8.69525,5.005,10.39,0.4495,8.285,8.22,0.853,-0.773,3.0815,313.665,346.9275
2,21.75,389.35,7.239,0.73875,-7.05275,7.817,1.6775,0.485,0.847,0.8985,0.5415,100.38,88.7865,8.448,4.905,10.155,0.44825,8.27075,8.215,0,-0.79475,3.14675,312.5,346.61
2,22.25,391.525,7.0705,0.91125,-8.124,7.7555,1.64975,0.4525,0.782,0.8775,0.533,100.39,89.4545,8.26175,4.6275,9.6565,0.4285,8.25475,8.2075,0,-0.56475,3.192,312.595,346.2575
2,22.75,391.2975,6.98525,0.83025,-5.108,9.32225,1.7285,0.4605,0.81,0.895,0.546,100.4,91.044,7.90625,4.53,9.377,0.411,8.2625,8.2075,0,-0.89975,3.1165,312.285,344.5225
2,23.25,391.4375,7.1415,0.8055,-8.478,8.816,1.708,0.47,0.903,0.894,0.552,100.38,90.3165,7.60725,4.31,8.883,0.434,8.27325,8.215,0,-0.7975,3.118,309.9625,343.4075
2,23.75,391.32,6.847,0.94425,-7.84225,8.6615,1.665,0.4705,0.8395,0.88475,0.53,100.38,91.994,7.313,4.11,8.748,0.40875,8.2725,8.305,0,-0.746,3.13,310.93,342.735
