DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
2,17.25,0.618745,7.2211,2.858775,28.737,19.8775,67.0055,99.8413525,407.76,6.0795,2189.2,136.51,3.044175,0.52202,3.3695,4.6306,11.364
2,17.75,0.605635,6.9245,2.73825,5.841875,13.093,69.484,99.860345,407.84,5.9083,2193.2,38.28475,2.880425,0.65121,3.1031,4.661275,7.956025
2,18.25,0.556515,6.2725,2.5153,-2.362975,13.3655,69.98675,99.8887775,409.195,5.8377,2202.2,3.1722,2.6901,0.9695625,3.2212,4.7168,10.292
2,18.75,0.5281275,5.6683,2.3345,-5.15255,11.549,70.44275,99.906805,410.55,5.8831,2201.3,1.0629,2.72955,1.084425,3.34805,4.7312,7.430625
2,19.25,0.494595,5.284,2.324925,-4.86465,11.5115,71.113,99.93086,413.625,5.898425,2206.25,1.059975,2.483625,1.1235,3.2693,4.7302,8.3894
2,19.75,0.49842,4.746675,2.278375,-4.4152,11.53925,72.081,99.9608325,415.02,6.0001,2215.675,1.0609,2.416075,0.9389825,2.9422,4.714975,12.172
2,20.25,0.4969775,4.216625,2.2979,-4.2576,8.956575,74.061,99.9583125,418.15,6.331475,2207.85,1.0642,2.704925,0.9860975,3.285275,4.696325,11.132
2,20.75,0.52906,4.08585,2.3335,-3.6127,9.8104,75.04275,99.932945,418.6,6.3639,2256.775,1.0618,2.66155,0.7181375,2.93485,4.6855,10.5195
2,21.25,0.501115,3.572525,2.16395,-3.01335,9.6735,75.51175,99.9696225,419.85,6.21175,2276.125,1.063,2.6129,0.87282,3.3701,4.6702,10.774
2,21.75,0.485935,3.172525,2.3061,-2.787,8.6476,76.755,99.954295,421.51,6.07265,2258.325,1.0628,2.31345,0.5529975,2.60715,4.6509,7.9085
2,22.25,0.48395,2.964825,2.24185,-4.0812,10.27875,76.93525,99.93926,421.6,5.8367,2257.75,1.0642,2.5268,0.623485,2.9719,4.6306,7.8671
2,22.75,0.504565,2.521175,2.2818,-4.14355,10.76125,77.87575,99.92215,417.3175,5.8419,2241.2,1.0639,2.5979,0.38902,2.53505,4.6108,6.83515
2,23.25,0.49361,2.3147,2.33305,-3.241275,9.3501,78.38,99.9300025,418.4875,5.929825,2253.6,1.0652,2.49405,0.395635,2.499575,4.594625,6.6199
2,23.75,0.50033,2.1099,2.32285,-2.6631,10.36425,78.97575,99.9484825,417.9025,5.9557,2263.65,1.0654,2.1514,0.4934275,2.22635,4.57205,7.736675
3,0.25,0.47473,10.31,2.1421,-4.433625,16.7325,77.70875,99.6726125,420.53,7.9274,2247.325,1.678775,2.31745,0.6876175,2.531,10.25325,11.294
3,0.75,0.44113,9.846075,2.1664,-3.724,16.9565,78.926,99.67697,420.095,7.8808,2259.1,1.721825,1.8783,0.7639025,2.2928,10.21025,10.6005
3,1.25,0.4644,9.431175,2.1075,-2.6909,17.4575,80.541,99.6409675,422.39,7.7667,2249.475,1.7163,2.5061,0.5899325,2.85795,10.1665,13.7075
3,1.75,0.418165,8.920225,2.0241,-1.299875,18.5265,80.739,99.6467325,419.715,7.698275,2243.35,1.7254,2.161775,0.720195,2.514925,10.1185,12.756
3,2.25,0.437655,8.505675,2.0656,-3.774,14.0965,82.6735,99.646705,419.94,7.4491,2214.075,1.7257,2.007725,0.446155,2.0795,10.072,14.24225
3,2.75,0.4354375,8.25885,2.060175,-3.98,16.09825,84.35225,99.6420075,421.38,7.3033,2213.2,1.7208,1.8068,0.57537,2.3409,10.022225,10.136
3,3.25,0.430275,8.0605,2.03885,-2.21295,14.33875,83.12725,99.639985,420.68,7.1718,2233.65,1.7191,1.984375,0.83897,2.409025,9.972225,7.917825
