DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
6,7.25,0.433354,27.3526666675,1.729,-2.94425,0.528,-1.323,62.4127,144.416918,-1.998,27.75525,27.748,93.56,101.6,417.861855125,12.495,191.28,276.12,42.229,421.7933333,461.31,34.251,-0.102933293,51.85,16.84554626,9.396175,-4.27,34.796,2135.04
6,7.75,0.48,28.1396666675,1.93275,-5.39675,-3.05676,-0.882105018,87.986025,210.61,0.083,27.66175,27.645,90.056666665,101.6,411.3471553,14.4765,289.165,384.325,52.3040833325,422.8933333,466.646666675,33.50690511,-0.11968156,30.11452275,13.95716257,0.68427970375,-2.77124175,35.099,2065.103048
6,8.25,0.534,28.75,2.13025,-7.9955,-6.015,-0.40620729,109.25,245.377,3.8735,27.4405,27.6125000025,85.4258333325,101.6125,409.427,15.82,378.67,490.33,61.535,426.12,471.48,33.530225,-0.13406225,15.9,11.8992,-0.369166,1.520013,35.29075,2035.47
6,8.75,0.574623,29.263,2.1725,-9.8515,-8.651,-0.087193041,130.753,273.426,7.71725,27.3085,27.539333335,81.3785,101.62,407.54161605,17.33,462.4025,577.74,68.097,430.387500025,475.82833335,33.4568,-0.14346,5.963272,10.5962913975,1.032424,1.010987,35.4585,2010.363154
6,9.25,0.573144012,29.733,2.389071575,-9.319,-9.11175,0.115289,145.7807298,309.7275,11.38725,27.2179999975,27.482,77.976,101.62,406.735499975,18.89,544.8825,661.28,75.009,435.145,478.71,33.3105,-0.142821149,3.07,9.2089297475,3.02857,0.316,35.465,1993.71
6,9.75,0.604,30.24766667,2.4002,-9.971,-10.022,0.25020433025,164.6825,338.70225,18.60975,27.1130833325,27.478416665,76.3165,101.63,406.6526618,20.230675,615.32,738.2066667,81.77875,437.705000025,482.7833333,33.526975,-0.167765,1.605,8.58050011025,3.7611,2.17,35.689,1981.5085455
6,10.25,0.630205,30.614,2.538435,-10.168,-10.3550601525,0.225,186.408927675,348.1935,21.313,27.0105833325,27.4857500025,74.50825,101.62,406.0433588,21.065487425,671.3825,807.5208333,86.67525,440.38,485.28,33.22145,-0.1922750235,3.515,7.477868107,9.80243,0.0469,35.564,1983.1375
6,10.75,0.6465,31.02966667,2.66075,-10.12775,-10.7405,0.392353859,199.52047055,376.62,18.033,27.00025,27.4705,72.90325,101.61,406.0725,21.892040025,734.78,877.1975,91.922,440.9925,488.336666675,32.22425,-0.23659,6.4052955,6.78501,7.78302,1.0882515,35.761,1972.22363225
6,11.25,0.658414891,31.302,2.7355,-9.678,-10.691,0.2790205,219.12675,379.29325,19.902,27.104,27.50925,72.3655,101.6,405.58159335,22.69493658,780.7525,924.657499975,95.43575,442.72833335,489.93333335,31.636175,-0.229829,3.516578,4.95742,11.720875,0.527706,35.612,1966.63
6,11.75,0.67365,31.6030833325,2.788393386,-10.1105,-10.822,0.274,219.3995,395.63475,23.68925,27.247,27.577666665,72.168,101.6,405.739,22.98,805.72,961.0275,96.7026666675,444.22166665,491.2625,31.8485,-0.262303023,2.5475,4.893087774,13.1522172075,3.461217,35.67025,1971.70901025
