DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
7,23.75,0.02776215,-7.165428875,-4.4069385,-1.179731075,-50.214114,-1.89201375,-11.9218309,-2.3107583,381.951398125,11.31414675,12.8992005,-19.48544025,18.14675675,19.08908975,19.69658625,20.06256625,-73.8354575,66.2270005,0.008032916125,0.2422312975,-2.200148275,0.602780715,320.209215,376.0371925,0,97.518055,13.2950215
8,0.25,0.0236196,-5.7926253,-1.404743,-0.96374975,-40.3247004,-1.88816525,-8.591060225,-2.7215876,382.812674175,9.98398045,11.5238305,-18.03850375,16.62836175,17.312638,17.88023225,18.327341,-69.37823275,75.067148,0.00806642445,0.2884704325,-1.9152274514,0.424849985,311.81218,366.6287925,0,97.389297,10.888224946
8,0.75,0.0246593,-5.458563375,0.0948228,-1.819710475,-45.00610445,-2.126607525,-9.9711833,-3.0465496,386.10295375,9.6532385,11.49398375,-18.730133375,16.537874,17.12918,17.72506,18.18635175,-69.183962,75.2380405,0.00801256215,0.296302575,-2.3303204,0.3186123725,310.7282,367.217075,0,97.390547,10.910623284
8,1.25,0.026966325,-2.470518725,-0.9357412,-1.19443085,-52.67546945,-1.84071355,-12.93187175,-3.049891675,388.487274325,8.41137645,11.2247155,-19.491839,16.369762,17.093763,17.587254,18.04607775,-69.9764225,76.2150595,0.008032653225,0.325454645,-2.0282194,0.40265379,309.39456,364.72912,0,97.3880132,10.574558124
8,1.75,0.029021225,-6.203445425,-3.0388524,-1.0065196,-44.571733625,-1.680846125,-16.593271,-3.002528,392.5741133,9.3656535,10.88143575,-20.054143625,16.0910735,16.92896275,17.4802855,17.95112975,-69.12692925,77.84912375,0.007996045475,0.305424885,-1.9063544,0.371023355,308.62282,364.8046175,0,97.3708466,10.275143134
8,2.25,0.02543825,-3.2633327,-1.177960725,-1.23114575,-48.4848367,-1.756660025,-18.9510136,-4.2605993,395.6625092,10.0262102,10.86284525,-20.482381375,15.8706275,16.75915175,17.37183525,17.82830025,-71.12726175,77.742355,0.0080852138,0.25145126,-1.9139584,0.44544199,307.79528,362.7968175,0,97.3488672,10.155192518
8,2.75,0.0289634,-3.528089625,-1.344885,-1.5168975,-46.3057925,-1.5618395,-11.9052919,-1.925391375,395.5576001,8.84881675,10.74119325,-20.943276125,15.68540625,16.58638925,17.2729585,17.7043265,-72.5009935,77.7390535,0.0080368936,0.25594584,-1.8986274,0.53136111,306.7656,361.2729375,0,97.3498632,9.8630349648
8,3.25,0.029075,-5.59873065,-4.22055825,-1.37931145,-49.38652745,-2.7374475,-11.4098782,-3.4017974,395.81782625,8.562848025,10.52107575,-21.43555275,15.51212975,16.41503825,17.18499625,17.6437625,-72.42787125,77.6806365,0.008011485475,0.27248687,-1.939282616,0.2313647775,308.7224332,361.08083,0,97.3352554,9.916266805975
8,3.75,0.0243231,-5.9328089,-2.78868675,-1.180727175,-47.36615025,-1.96283925,-12.011510675,-3.751112725,396.6619361,8.3655012,10.27768725,-21.883716375,15.41874275,16.23854425,17.0579145,17.5491815,-70.91713225,78.39282125,0.008012210525,0.302651425,-2.0214712,0.1941222525,304.79120208,360.304015,0,97.338787,9.902001465525
8,4.25,0.02737005,-6.158415275,-2.76353515,-1.24031625,-46.5860023,-1.6691028,-19.56876075,-3.2628418,398.741689425,8.2609727,10.33561625,-22.24372575,15.32861225,16.1470345,16.9553935,17.46000375,-73.209523,77.572882,0.00799541645,0.242769775,-2.1116916,0.252455435,305.16696,359.7756775,0,97.3611152,9.8875208325
8,4.75,0.02050315,-4.21270985,-3.9135619,-1.1982134,-46.817184025,-1.615301675,-18.529183425,-3.7013229,399.980439175,8.23720065,10.21133425,-22.00955325,15.14934725,15.98689175,16.80968775,17.3319665,-70.75241875,78.27962525,0.00796799745,0.28249232,-1.4790538,0.35577987,307.8578316,358.9399275,0,97.4187024,9.737202193075
8,5.25,0.024383625,-5.0248519,-4.464095,-1.31342935,-48.600355,-1.788233275,-25.58383115,-2.81288445,400.9341118,8.4369575,9.8906922,-22.4094462105,15.06067975,15.922352,16.69619325,17.231152,-67.416297,79.75977425,0.007994746525,0.272210735,0,0.310885785,308.33288,359.0648,0.3611922,97.4270458,9.682934075
8,5.75,0.02765535,-3.89586975,-1.72606785,-1.852071,-39.4702817,-1.30636545,-12.042216,-1.39743635,397.055178475,9.50431595,9.9278702,-22.58976118875,15.119915,15.826856,16.56270125,17.12461675,-52.9350075,79.2728655,0.007455996575,0.2559197125,1.527361,1.10462855,306.43044,361.47127,4.2542,97.463114,10.3888095
8,6.25,0.02882025,-6.66839105,-5.15801515,-2.10719255,-36.349277525,-0.50257755,-9.9016846,-0.65964765,395.131979575,10.27182275,11.387825,-22.15572748675,14.82114525,15.6219465,16.280345,16.97570325,-14.07678965,79.0486035,0.007208319725,0.2463270225,2.440227,1.7492868,304.25656008,368.2287575,7.1486858,97.5043936,12.189618976
8,6.75,0.0498442,-11.55149145,-8.9208785,-1.976632625,-25.480426,-0.208227,-1.9515475,-1.215182275,391.891010575,11.258443375,12.6522665,-21.05393004425,14.910833,15.4290585,16.0847835,16.803191,0.653503565000001,75.7014775,0.00724870535,0.2417939125,9.4860068,2.472312025,304.42488,378.1059725,21.33673,97.5135412,13.04828553575
