DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_OUT_1_1_1,LW_IN_1_1_1,NETRAD_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,PA_1_1_1,PA_2_1_1,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_OUT_10_1_1,PPFD_OUT_11_1_1,PPFD_OUT_12_1_1,PPFD_OUT_1_1_1,PPFD_OUT_2_1_1,PPFD_OUT_3_1_1,PPFD_OUT_4_1_1,PPFD_OUT_5_1_1,PPFD_OUT_6_1_1,PPFD_OUT_7_1_1,PPFD_OUT_8_1_1,PPFD_OUT_9_1_1,TS_1,TS_2
7,15.25,0.030048325,346.556,177.5749,0.929640375,6.8169105,0.69241355,37.707025,401.7403,21.7148025,2.3505615,2.654798,0.79914095,1.2188765,644.1452375,432.274695,519.2089,158.83615,847.1630625,37.7108166666667,68.0976141333333,7.87199978666666,48.06482325,29.67439675,89.0861289999999,38.56841775,86.4389558666667,86.4931666666667,1925.96423833333,1724.33333333333,166.935,175.897916666667,178.85625,202.825,165.3325,162.408333333333,244.875833333333,297.588333333333,235.485,295.333333333333,244.1,278.794166666667,42.0379444444444,32.8105416666667
7,15.75,0.0099360914999999,324.6356,150.205,0.901367,6.980837,0.7136575,37.51569,403.1864,22.0534625,2.7905995,2.591602,0.79972535,1.3637305,630.958705,437.7565625,467.9808875,142.1064625,776.206975,37.722169,66.5484788666666,7.86699984666667,46.6454215,28.77428175,84.3539103243577,36.81166475,86.4061028,86.4776666666667,1736.99550083333,1561.61666666667,150.348333333333,155.71625,159.35625,183.9,146.875833333333,149.441666666667,221.049166666667,267.908333333333,213.975,274.166666666667,223.766666666666,252.283333333333,42.0993888888889,33.0705416666666
7,16.25,0.00184195249999976,277.0738,160.48535,0.973162,6.8389425,0.7257529,37.62984,404.7148,21.7379,3.2643595,2.5907035,0.7967902,1.3165125,616.480545,438.560855,385.8228375,117.6609375,652.3927125,37.5529559583333,67.0932721666667,7.86887482916667,42.92325325,28.192217,77.678548992889,35.19894,86.3623957666667,86.46025,1447.94845833333,1318.51666666667,125.366666666667,133.95375,134.689583333333,151.7,125.429166666667,130,180.630416666667,227.433333333333,190.158333333334,247.833333333333,194.483333333333,212.641666666667,42.077375,33.31375
7,16.75,0.00443546349999986,227.0757,125.68035,1.0990585,7.33713,0.7740847,37.463185,406.157275,22.383435,2.8360295,2.4752545,0.85144745,1.7031935,598.4462625,441.7557925,325.863005,97.088762,545.205545,37.499952825,68.29160335,8.36187497166667,39.38113825,27.98031625,69.7626824970382,33.13433725,86.3970662083333,86.4259166666667,1226.1763695,1143.98333333333,107.470833333333,114.63375,111.166666666667,125.825,106.216666666667,116.283333333333,154.2,198.833333333334,165,219.5,173.333333333333,176.891666666667,42.1302222222222,33.6208333333334
7,17.25,-0.01828567,179.53775,129.1314,1.06315125,6.965211,0.72339865,37.234255,405.062525,22.7658,2.6524745,2.399695,0.79914485,1.657018,579.47635,435.2953275,216.647275,77.9536535,413.119155,37.12472505,72.343559175,8.46987493750001,33.59914675,26.86231025,63.649850085025,29.54396325,86.3856967916666,86.392,875.516044666667,838.233333333333,84.95,98.7375,88.0416666666667,101.515,80.7908333333333,99.5,116.825,144.066666666666,138.483333333333,185.666666666667,148.133333333334,134.89,41.9060833333333,33.956375
7,17.75,-0.0075123485,124.283675,108.2383,1.158562,7.038484,0.7006397,37.022575,404.6917,22.1159,2.451023,2.462071,0.8125805,1.120245,558.6657,432.48477,129.457625,57.106063,299.447965,36.821791475,75.10426715,8.1968748375,27.78947525,23.78111725,54.9683782516965,26.3050105,86.3969557666667,86.3996666666667,632.023131,605.633333333333,61.7625,78.8791666666667,66.1666666666667,70.6483333333333,56.6791666666667,81.9666666666667,76.6166666666667,101.7,111.491666666667,150,121.491666666667,95.4525,41.5401388888889,34.0586666666667
7,18.25,-0.00243011270000003,77.69692,77.559675,1.4051975,7.0652825,0.6827609,36.67988,401.7809,21.53215,2.3576345,2.175728,0.80956295,1.0797355,535.481575,430.68727,44.7861795,39.7468985,177.837575,36.348501675,76.6575468083334,8.20749968166667,22.57856225,20.5634885,46.2679972097816,22.52586675,86.4093169166667,86.4255,362.338289,372.426666666667,38.2833333333333,60.2125,43.6270833333333,43.1583333333333,32.9916666666667,62.9333333333333,42.2520833333333,56.2416666666667,80.95,110.833333333333,91.5,53.0541666666667,41.13125,34.0672916666667
7,18.75,-0.00295807350000003,46.5766375,85.273475,1.384982,6.6527175,0.66293785,36.02968,405.244025,22.2476,2.1766425,2.3841075,0.7559283,1.0351846,515.052055,430.729385,-11.48930465,21.6731185,74.787009,35.5878393666667,76.8490828333334,7.76399987083334,17.243583,17.40178525,35.7058121132847,20.71828925,86.4254143333333,86.4246666666667,134.379802708333,153.71,15.5541666666667,45,20,17.7416666666667,12.9291666666667,43.3166666666666,17.0541666666667,21.33,52.5,73,62.45,16.1816666666667,40.6197777777778,34.697125
7,19.25,0.00781192899999999,16.4709,52.750125,1.918235,6.4582825,0.64998175,35.04372,403.3646,22.455445,2.3035185,2.07152899999999,0.75450185,0.95356735,496.9875725,427.674745,-17.4371355,6.7424568,9.211529,34.3806356083333,79.838910825,7.99362498583334,13.205962,14.844999,27.8294817368089,18.41343175,86.46905645,86.4460833333333,20.4715704275,17.1666666666667,1.61666666666667,26.1166666666666,2.02083333333333,1.61666666666667,1.61666666666667,23.6666666666667,1.61666666666667,2.06333333333333,26.6416666666667,26.3333333333333,30.475,2.22083333333333,39.8823055555555,34.801
7,19.75,0.00839845849999995,11.09114,57.23739,1.638665,6.939432,0.6558872,33.914285,402.97965,22.769115,2.498358,2.005955,0.82192065,1.133592,485.4558025,428.0309375,-15.002147,4.9215093,0.10858313,33.3183000916667,79.8480226333333,7.94649984250001,9.1120269,12.53360375,20.027477872229,15.91607575,86.5106174,86.486,0.3514663122,1.2,1.2,4.90416666666666,1.2,1.2,1.2,5.30833333333332,1.2,1.2,6.15,7.16666666666667,5.33333333333333,1.2,39.10625,34.75
