DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
2,0.75,2.18435,412.083909,2.4639995,0.4577,8.55195,0.0804785,-17.15,12.779,0.412662,1.3422,0.124,0.148375,0.382897,0.3655,7.4226,1.5779,83.894,99.8275,9.5833,10,10.609,11.257,11.693,-13.661,-50.34,0,0,0,0,0,294.39,345.14,0
2,1.25,2.1132,412.545243,2.6305995,0.52987,8.48292,0.0794785,-16.977,12.5765,0.4107915,1.3413,0.12225,0.147209,0.3650475,0.3596805,7.07,1.5192,84.3,99.817,9.4533,9.8967,10.505,11.223,11.68,-13.9752,-51.5305,0,0,0,0,0,293.32,345.07,0
2,1.75,2.03465,412.269824,2.725374,0.73294,8.3581515,0.080129,-16.871,12.439,0.4081055,1.352,0.12333,0.145948,0.3675185,0.357197,6.99945,1.52,83.9,99.8195,9.32,9.7818,10.417,11.177,11.683,-14.004,-50.66,0,0,0,0,0,294.08,343.8,0
2,2.25,1.99645,412.524002,2.550524,0.67241,8.283559,0.075453,-15.7035,12.239,0.4043515,1.3351,0.12408,0.143014,0.365199,0.356539,6.87445,1.4923,83.975,99.8095,9.26,9.6817,10.348,11.133,11.677,-13.902,-50.7275,0,0,0,0,0,295.34,343.76,0
2,2.75,2.0374,412.097986,2.5539695,0.77482,8.196619,0.077886,-16.247,12.2365,0.409914,1.3177,0.119135,0.1427685,0.3716175,0.3588035,6.6887,1.49,84.1,99.801,9.1467,9.6,10.29,11.107,11.673,-14.084,-51.6,0,0,0,0,0,295.51,343.19,0
2,3.25,1.8842,411.380738,2.831805,0.94732,8.023663,0.079837,-15.736,12.137,0.413654,1.3381,0.12071,0.137782,0.370648,0.359625,6.533,1.4973,83.6775,99.8,9.0662,9.51315,10.233,11.063,11.643,-14.038,-51.162,0,0,0,0,0,294.51,342.52,0
2,3.75,1.8957,412.550544,2.712837,1.276,8.009839,0.077928,-15.3895,12.079,0.405586,1.3411,0.11973,0.137182,0.37542,0.356455,6.4905,1.4871,83.943,99.801,8.9767,9.4148,10.173,11.01,11.64,-14.089,-47.16,0,0,0,0,0,293.99,341.715,0
2,4.25,1.925,412.8193625,2.635611,1.2881,7.949086,0.076217,-15.837,12.0715,0.40529,1.3515,0.1191,0.139381,0.36977,0.36296,6.4611,1.5466,83.8,99.8075,8.8867,9.332,10.107,10.977,11.643,-14.32,-49.99,0,0,0,0,0,294.18,341.37,0
2,4.75,1.9074,413.809186,2.584564,1.682,7.842704,0.077233,-15.778,12.0095,0.4063065,1.35,0.1183,0.135982,0.362698,0.349771,6.371,1.48615,83.5,99.8035,8.805,9.26555,10.0345,10.935,11.647,-14.413,-50.674,0,0,0,0,0,295,341.28,0
2,5.25,1.9205,412.27707,2.662873,0.82859,7.679944,0.079816,-16.366,11.9145,0.415837,1.37845,0.12139,0.1422725,0.3743255,0.3525835,6.287,1.50255,82.75,99.8165,8.7021,9.1936,9.9874,10.887,11.637,-14.424,-51.54,0,0,0,0,0,292.97,340.06,0
2,5.75,1.85435,412.757499,2.452619,1.2612,7.666321,0.078289,-16.714,11.814,0.408252,1.3498,0.12005,0.1389295,0.3617455,0.3614895,6.2235,1.5373,82.811,99.828,8.62,9.1188,9.9073,10.86,11.617,-14.5545,-51.6225,0,0,0,0,0,292.02,340.25,0
2,6.25,1.83365,412.946355,2.562812,1.069,7.56488,0.076371,-15.327,11.771,0.418856,1.3308,0.11794,0.136927,0.369446,0.350371,6.1937,1.4831,83.351,99.8475,8.57565,9.06085,9.88335,10.8125,11.623,-14.704,-48.4505,0.145638,0.2907,0.046184,0.136427,1.87345,293.48,339.94,0.676
2,6.75,1.7515,412.456975,2.507929,1.5357,7.446763,0.079571,-15.672,11.715,0.403243,1.3476,0.11856,0.134194,0.363387,0.348984,6.055,1.5601,83.175,99.8665,8.5133,8.9959,9.8259,10.77,11.61,-14.777,-49.56,1.073475,3.4658,0.32931,1.1747,2.3323,292.75,339.6,3.047
2,7.25,1.1574,411.744327,2.307445,3.1333,7.643801,0.098764,-14.487,11.499,0.376138,1.35445,0.121085,0.1403175,0.3804925,0.352179,6.103,1.4761,83.633,99.8805,8.51,8.9367,9.7533,10.724,11.609,-14.508,-27.848,16.6995,39.719,2.9528,17.884,6.8394,294.2,341.65,36.96
2,7.75,0.068511,409.668578,2.142017,11.2125,7.813508,0.173355,-7.1856,11.523,0.3046115,1.3221,0.13562,0.163242,0.401348,0.369676,6.78,1.8427,80.2445,99.9,8.62505,9.0133,9.76,10.7075,11.599,-12.4626,2.7569,79.024,152.47,14.056,78.8995,24.893,294.87,348.64,95.3
2,8.25,-1.6023,407.644157,2.0714785,27.183,8.1996505,0.267279,5.8982,12.2415,0.355528,1.2914,0.15313,0.18315,0.426497,0.386199,8.08,2.3921,76.5,99.914,8.86655,9.11295,9.79975,10.713,11.6145,-9.3717,44.172,157.48,329.24,31.337,157.855,40.137,293.78,357.91,133.5
2,8.75,-3.2145,404.0176225,2.129763,44.266,8.451761,0.328418,20.382,13.06,0.403286,1.2011,0.15724,0.187787,0.446094,0.432805,9.328,3.1135,72.6525,99.948,9.231,9.33415,9.90865,10.7615,11.6325,-5.2865,98.371,243.425,519.66,47.77,243.375,54.0325,294.09,369.3,160.5
2,9.25,-4.6965,401.101774,2.181917,57.9325,8.723016,0.382844,36.61,13.8555,0.449444,1.1038,0.16463,0.2008445,0.5231535,0.538205,10.615,3.90225,68.494,99.978,9.7483,9.6673,10.0365,10.7575,11.648,-1.0004,156.315,331.7,699.69,62.071,330.105,65.26,297.11,378.98,187.05
2,9.75,-5.6102,398.394274,1.982039,74.1195,8.772633,0.41586,55.5305,14.4045,0.511185,1.1865,0.18305,0.22532,0.611891,0.656186,11.453,4.5342,64.941,99.998,10.2265,10.0755,10.1605,10.793,11.6565,3.35495,208.99,408.12,860.04,68.674,406.985,76.667,298.37,387.98,208.85
2,10.25,-6.0876,397.96636,1.891221,86.179,8.935324,0.4383065,69.1795,14.9915,0.530245,1.4984,0.20518,0.251871,0.677931,0.768212,12.0295,4.96815,63.813,99.9925,10.7925,10.478,10.283,10.763,11.636,7.8789,260,481.54,1006.45,78.8,480.455,87.157,298.52,396.17,237.1
