DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
4,16.75,0.54,2.48,1.69,1.79,73.385,205.23,55.995,111.66,93.05,11.25,0.18
4,17.25,0.5,2.29,1.705,1.74,73.88,148.425,37.245,47.555,53.98,12,0.33
4,17.75,0.4,2.08,1.315,1.25,78.005,51.61,20.04,-2.34,22.82,4.41,0.41
4,18.25,0.28,1.89,0.915,0.51,81.645,9.97,5.535,-48.61,-0.66,3.05,0.42
4,18.75,0.2,1.81,0.46,0.49,83.19,-3.82,0.65,-76.62,-2.79,0.41,0.33
4,19.25,0.205,1.52,0.24,0.2,81.495,-5.045,0.555,-75.315,-4.195,0.575,0.23
4,19.75,0.155,1.695,0.055,0.07,77.335,-4.8,0.775,-72.715,-2.35,0.23,0.195
4,20.25,0.14,1.905,0.14,0.02,77.62,-4.835,0.87,-74.01,-5.07,0.12,0.21
4,20.75,0.145,1.795,0.095,0.06,74.82,-4.95,0.915,-74.735,-5.8,0.675,0.175
4,21.25,0.15,1.87,0.095,0.285,74.635,-5.045,0.95,-72.93,-4.335,0.49,0.15
4,21.75,0.155,1.86,0.22,0.4,67.36,-5.1,0.705,-73.29,-6.495,0.77,0.115
4,22.25,0.13,1.56,0.16,0.45,67.905,-5.255,0.81,-72.29,-4.66,0.46,0.07
4,22.75,0.14,1.555,0.15,0.38,68.73,-5.07,0.705,-71.24,-3.865,0.27,0.1
4,23.25,0.13,1.575,0.37,0.46,66.655,-5.115,0.715,-70.375,-2.57,0.16,0.065
4,23.75,0.135,1.71,0.085,0.255,65.04,-4.92,0.66,-70.215,-4.255,-0.15,0.09
5,0.25,0.13,1.995,1.805,1.745,73.58,-5.015,1.005,-72.255,-3.13,0.55,0.12
5,0.75,0.13,1.81,1.55,1.65,72.425,-4.96,0.96,-71.28,-4.39,0.935,0.105
5,1.25,0.14,1.98,1.64,1.9,70.845,-5.04,1.01,-71.235,-3.045,-0.015,0.105
5,1.75,0.13,1.91,1.55,1.6,66.305,-4.995,0.955,-72.375,-2.42,0.475,0.075
5,2.25,0.14,2.03,1.585,1.56,65.21,-5.045,0.89,-73.74,-3.03,0.66,0.1
5,2.75,0.13,2.11,1.48,1.495,63.065,-5.02,1.005,-72.19,-4.05,0.315,0.08
