DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
1,18.25,0.1956335,407.6353,-16.519,-0.062062,2.79871,2.689065,0.27692535,63.9162,73.175,1.06739,2.210635,-5.5446,-0.09849625,0.2729001,2.51837,100.5,-5.294,-6.185,-27.403,0,2,2.4
1,18.75,0.220712,408.2448,-20.5222,-0.07938175,2.75972,2.66087,0.367502,64.3399,73.895,1.0162,2.01152,-5.6839,-0.1054512,0.2746925,2.472758,100.5,-5.517,-6.545,-25.516,0,2,2.4
1,19.25,0.24109635,406.04465,-19.3932,-0.06824305,2.7844015,2.69399,0.37542715,65.8045,74.84,0.977676,1.98107,-5.0788,-0.06394383,0.2140262,2.273951,100.5,-5.75,-6.8035,-22.521,0,2,2.4
1,19.75,0.200359,407.0842,-20.3136,-0.05532885,2.861645,2.677645,0.345069,65.96095,75.37,0.9271006,1.91065,-5.4335,-0.099158565,0.26993655,2.363154,100.5,-5.926,-6.989,-23.19,0,2,2.4
1,20.25,0.2944185,407.3576,-22.234985,-0.0813948,2.7367405,2.68693,0.3807788,67.08375,76.27,0.908746,1.433605,-5.571,-0.08529351,0.2444805,2.510488,100.5,-6.221,-7.105,-19.8485,0,2.1,2.4
1,20.75,0.260848,405.3969,-21.3183,-0.0723396,2.707484,2.684,0.35497905,68.0867,76.895,0.8859251,1.77226,-6.091,-0.1257749,0.29037395,2.4487535,100.5,-6.4225,-7.25,-20.9065,0,2,2.4
1,21.25,0.318529,404.037,-19.9969,-0.068368,2.710155,2.68907,0.33389025,67.704,77.285,0.84336585,1.95153,-5.834,-0.09568328,0.2649282,2.431122,100.5,-6.5305,-7.52,-18.393,0,2,2.4
1,21.75,0.2257925,403.2154,-17.793685,-0.087598,2.558361,2.86192,0.3970282,67.80965,76.72,0.8494121,1.34021,-6.635,-0.1148498,0.294733,2.3458955,100.5,-6.8305,-7.76,-18.562,0,2,2.4
1,22.25,0.221982,403.559,-20.96005,-0.08463475,2.56202,2.937745,0.2626876,68.31462,77.54,0.79465555,1.92977,-6.463,-0.07823085,0.2452333,2.1068245,100.535,-7.285,-7.96,-17.8365,0,2,2.4
1,22.75,0.174538,403.6633,-18.46515,-0.127224,2.485169,2.79206,0.2400242,69.9804,77.19,0.7339911,1.63625,-7.352,-0.07361494,0.2279061,2.231814,100.545,-7.481,-8.13,-18.971,0,2,2.4
1,23.25,0.172489,404.72025,-16.0194,-0.0462923,2.44259,2.84442,0.16423091,71.0598,78.22,0.7260227,1.5717,-6.9925,-0.06836911,0.2478184,2.190166,100.54,-7.58,-8.26,-18.4875,0,2,2.4
1,23.75,0.209732,404.0431,-15.212245,-0.12465855,2.43928,2.87977,0.285488845,71.25345,78.72,0.710712,1.470785,-7.623,-0.07815512,0.2295184,2.2889975,100.505,-7.823,-8.47,-17.425,0,2,2.4
2,0.25,0.203726,400.724,-18.01697,0.00520576,3.079185,2.90838,0.31673835,69.75,71.3,0.823093,1.691675,-5.937,-0.1466058,0.3212727,2.572538,100.56,-6.979,-7.44,-30.437,0,1.3,1.6
2,0.75,0.2269565,401.215,-17.4264,-0.05426085,3.03552,2.92537,0.3663472,70.5671,71.91,0.789352,1.63933,-5.6407,-0.09409719,0.2699058,2.430425,100.54,-7.025,-7.56,-32.3495,0,1.3,1.6
2,1.25,0.192485,401.356,-17.1281,0.00543248,3.041203,2.78511,0.3222253,70.4025,73.34,0.764378,1.67096,-6.0206,-0.1425378,0.3073154,2.484134,100.5631,-7.161,-7.695,-30.6995,0,1.3,1.6
2,1.75,0.307171,399.92,-20.537095,0.01299265,2.98398,2.55441,0.3125666,71.59082,74.385,0.7197267,1.52837,-6.247,-0.1422926,0.3196719,2.3208975,100.58,-7.37,-8.07,-27.2535,0,1.3,1.6
2,2.25,0.302935,400.52705,-17.4382,0.0160182,2.8959505,2.80982,0.3914724,71.74,75.47,0.6788578,1.644935,-6.513,-0.1445981,0.3241605,2.491484,100.5999985,-7.6,-8.15,-31.73,0,1.3,1.6
2,2.75,0.279219,400.2959,-17.86922,-0.0688658,2.90662,2.864815,0.4314239,71.32115,76.06,0.692159,1.62227,-6.686,-0.1271418,0.3086853,2.475433,100.58,-7.757,-8.515,-30.419,0,1.3,1.6
2,3.25,0.25283975,400.315,-20.40335,-0.03619906,2.68194,2.89704,0.3871621,72.937,77.2,0.65454155,1.37353,-7.0328,-0.083433865,0.238944,2.4509515,100.5,-8.15,-8.61,-28.401,0,1.3,1.6
2,3.75,0.3223192,401.051,-18.33081,-0.06214498,2.5480315,2.90062,0.4142209,73.030105,78.13,0.654663,1.43836,-7.1371,-0.12209,0.2875122,2.380447,100.54,-8.29,-8.74,-28.493,0,1.3,1.6
2,4.25,0.298061,400.264,-19.417305,-0.03881425,2.7493255,2.84438,0.441739,73.57835,77.735,0.624315,1.39704,-7.0035,-0.1071844,0.2746347,2.408426,100.53,-8.41,-8.82,-27.0525,0,1.3,1.6
2,4.75,0.266366,400.427,-15.93295,0.009832255,2.78246,2.793455,0.42682595,73.4304,78.365,0.599424,1.50566,-7.3595,-0.10710815,0.2821181,2.440151,100.555,-8.58,-8.925,-29.942,0,1.3,1.6
2,5.25,0.354182,400.11,-17.24343,-0.043699985,2.78759,2.70643,0.504311,73.914075,78.66,0.58819065,1.38645,-7.5685,-0.08585256,0.2695663,2.334616,100.565,-8.59,-9.08,-25.909,0,1.3,1.6
2,5.75,0.2410245,399.972,-15.53388,-0.0738606,2.77234,2.54671,0.3737565,74.01215,78.87,0.584798,1.457645,-7.553,-0.1494144,0.3312484,2.49749,100.59499925,-9,-9.16,-23.693,0,1.3,1.6
2,6.25,0.248335,400.9689,-18.1741,-0.0954789,2.696853,2.47682,0.38682615,73.3557,79.625,0.558475,1.405085,-7.55765,-0.0928818,0.26038165,2.4913245,100.6,-9.1,-9.18,-22.361,0,1.3,1.6
2,6.75,0.270166,400.779,-15.331,-0.0257757,2.62348,2.27428,0.4255457,73.66195,79.16,0.57501,1.427405,-7.6943,-0.14816755,0.3136789,2.479701,100.6,-9.08,-9.25,-11.861,14.705,1.3,1.6
