DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
6,10.75,-0.125642,139.614,183.781,-9.17364,2.424565,0.33574,23.0922,390.9755,17.1684,1.012725,1.036435,0.4635445,0.6224685,22.4105,98.0973,499.181,41.677,29.2606,20.9677,20.9357,1349.33
6,11.25,-0.136906,149.367,185.506,-9.08625,2.7444,0.349059,23.4934,391.2275,17.5251,1.08951,1.10274,0.476527,0.650773,22.8205,98.09025,532.15,49.1008,35.114,21.6548,21.3046,1340.58
6,11.75,-0.1312385,147.824,199.769,-9.13446,2.77389,0.342338,23.9484,390.1555,16.5075,1.07968,1.11162,0.484809,0.647156,23.1194,98.08205,536.069,55.4107,40.2658,22.2562,21.7652,1426.71
6,12.25,-0.1480805,139.2835,227.388,-9.88383,2.773255,0.3641945,24.2496,388.813,16.9554,1.122575,1.19148,0.4851645,0.6566945,23.5683,98.0641,539.027,61.9351,45.2964,22.9015,22.3375,1379.08
6,12.75,-0.156227,151.051,201.891,-9.1953,2.82593,0.3690495,24.4184,388.8735,16.7038,1.15558,1.190835,0.5031565,0.648926,23.4781,98.0367,535.6,65.8979,48.8265,23.4328,22.9136,1413.9
6,13.25,-0.164176,149.001,212.495,-9.04045,3.02204,0.380256,24.3824,389.142,16.11975,1.09666,1.19896,0.504855,0.619424,23.4144,98.0367,525.4445,66.66465,52.3298,23.95485,23.34495,1304.715
6,13.75,-0.1567355,142.502,202.8265,-9.077045,2.91843,0.3736475,24.3162,388.152,16.3834,1.14393,1.1947,0.523248,0.607073,23.50195,98.0278,504.822,69.2108,54.8781,24.2754,23.6028,1328.565
6,14.25,-0.161221,135.9665,209.9325,-8.895,3.03812,0.377012,24.1567,388.3595,15.81925,1.10803,1.23078,0.5292315,0.6045995,23.3413,98.0135,490.2695,67.46685,53.2386,24.6304,23.77525,1313.075
6,14.75,-0.150483,125.768,187.942,-9.06831,3.01368,0.363098,24.2294,386.97,16.0238,1.12768,1.244,0.534287,0.537951,23.4566,97.9964,468.799,66.2553,52.7194,24.90875,23.99705,1224.935
6,15.25,-0.160596,119.788,169.9315,-9.04843,2.97972,0.378477,24.33405,387.989,15.56965,1.10638,1.156205,0.519493,0.507671,23.43145,97.9875,411.127,62.25145,51.10585,25.03075,24.22935,1108.675
6,15.75,-0.139062,97.0665,156.74,-7.64972,2.90568,0.350057,24.1392,387.451,15.6662,1.05194,1.13164,0.484761,0.469986,23.3595,97.96875,357.447,55.9167,48.0293,25.0593,24.19885,1031.79
