DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
2,5.75,413.36625,0.0251447308414038,1.9796075,0.520379310219824,-4.817918,-14.01911,-82.705845,-16.233855,-15.089905,-10.163601,97.6474,-12.1093,-1.078212,0.09860943,0.25969030772513,0.235228564740482,0.141216075666949,0.44492915
2,6.25,413.2521,0.0267931671346094,1.946844,0.430166977723142,-1.60254315,-3.5520625,-76.1640125,-10.886265,-16.55651,-15.5048525,97.631315,-12.24565,-1.0965015,0.0981,0.366079108867958,0.295529898716696,0.156921134678959,0.6877248
2,6.75,413.7066,0.0327209028679868,1.942126,0.469168154528026,-1.262285475,-4.30455375,-89.263555,-12.387115,-12.9681,-12.65322,97.62014,-12.70585,-0.987215525,0.123062975,0.397078641083024,0.303586131958159,0.177048329623952,0.48744655
2,7.25,414.02215,0.0305291253146452,1.9225725,0.557817973510763,-12.981216,-22.591605,-72.6566175,-13.9802875,-16.865855,-30.09295,97.6323,-12.643825,-1.0566105,0.08508296,0.335938973745733,0.319639565091665,0.147422113538446,0.621748375
2,7.75,414.629375,0.0300546369081444,1.92233875,0.553285968317051,-20.766495,-24.37665,-88.876725,-10.1997,-14.835225,-24.87725,97.64204,-12.7055,-0.87550075,0.0696177975,0.279871035262158,0.25960075431949,0.120647480450218,0.388484825
2,8.25,415.1329,0.0326364061587606,1.9457605,0.623199089959841,2.4342958,-5.47769125,-58.2118,-7.939544,-10.587475,-8.88087,97.68726,-12.5078999999999,-1.193964,0.09588554,0.326147662219451,0.274925725929906,0.152116846223207,0.2522604
2,8.75,414.8945,0.0326352310614554,1.9639725,0.829034750291245,2.24033425,-16.08425,-63.85373,-3.858954,-32.88474,-8.9066065,97.74957,-12.0054,-1.040496,0.13138555,0.425941200317852,0.302840290098175,0.200523127606138,0.40213435
2,9.25,414.9251,0.0298605487284486,1.992184,0.646897361756041,0.304575225,-21.365615,-27.9745875,-12.90204,-13.262376,-10.0884225,97.78861,-11.3171,-1.259041,0.10826755,0.311926109451188,0.272253976482603,0.27677706275675,0.73558385
2,9.75,413.290225,0.0283305317105396,2.02378425,0.817612140679891,5.0990235,-12.094175,-15.57161,-10.96189,-16.498535,-8.82243425,97.81279,-10.2007,-1.228489,0.21119615,0.444651829098461,0.466412817241553,0.323029223694622,0.83133385
2,10.25,412.804125,0.0302617717477406,2.05255875,0.83132762850074,4.175528,-9.94705525,-3.09466,-12.89428,-3.52514975,-12.63878,97.791615,-9.54664999999998,-1.517784,0.19534435,0.483789481897433,0.406805702832037,0.301761260803567,0.7862002
2,10.75,413.151325,0.0272728753900213,2.11613125,0.885835794546966,-0.21070595,-11.631145,-1.49668775,-8.980878,-11.8092025,-11.52465,97.756855,-9.0828,-1.6637035,0.1711689,0.493557452891126,0.485827492852979,0.388855112647235,0.6691668
2,11.25,413.1604,0.0272440620123611,2.147268,0.97942548265491,6.067428,-7.269311,15.18537,-5.701302,-10.020445,-26.007325,97.681445,-8.78794999999997,-1.54618625,0.15421925,0.581547004410672,0.520975282347678,0.370682107495216,0.897517725
2,11.75,413.99195,0.0297806984471486,2.167472,1.11427338187795,4.830671,-11.78604,-3.3212135,-5.20101975,-4.2210335,-7.33160675,97.642195,-8.679225,-1.73651675,0.246508325,0.546891586057594,0.495896005221306,0.367631592535912,0.8751313
2,12.25,414.00025,0.0291720270679706,2.205146,1.22497121783608,6.1188265,-5.19983,20.402549,-5.97064425,1.84952275,-8.946869,97.588595,-8.47264999999997,-1.874277,0.188779,0.578249021233946,0.605673325419728,0.356028488864637,0.60951275
2,12.75,413.579525,0.0305286647422962,2.275488,0.934667075883902,6.922314,-9.7470295,13.706945,-4.9052645,6.143949,-8.71344275,97.58941,-7.91379999999999,-1.6567175,0.21161205,0.61965360794215,0.613680135300633,0.422903507229346,0.76813765
2,13.25,413.19625,0.0282038285576873,2.2554125,1.04255746962215,7.14397,-4.62373375,9.27396000000001,-17.51262925,3.0977075,-13.436805,97.594615,-7.72397499999996,-1.976361,0.16870815,0.705105254744333,0.698043695503036,0.442283506791667,1.023767
2,13.75,412.62325,0.0288082974158488,2.13314725,1.12391349757359,5.97418625,-3.52169,-13.84228,-21.7782375,-6.36102625,-37.3369475,97.56912,-7.89949999999999,-1.75547875,0.17620185,0.736138370827314,0.661170451087267,0.468521553075309,0.892873775
