DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,G_2_3_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,TS_2_3_1,G_3_1_1,TS_3_1_1,TS_3_2_1
2,4.25,0.305,-2.32644,3.238,0.56608,0.343480533,-6.6e-05,-14.83885,-0.224590214,2.74065,-0.006825,-8.03,-7.39,0.595,0.863,75.8265,96.75088848,392.3109626,1.148125095,-48.26195014,0,0,0,242.9572,303.9287208,4.061165,0.658,-16.742,12.416,14.787
2,4.75,0.3017163885,-2.5122,3.321986528,0.562,0.3620664045,0.000275,-13.99,-0.2143766825,2.7949,-0.00359,-8.070064599,-7.39,0.589,0.838,75.589,96.75409418,392.39,1.1166,-48.64,0,0,0,243.2167,303.330949,4.00533,0.655,-16.917,12.2315,15.057
2,5.25,0.299555,-3.04011,3.2917390075,0.50386,0.4282197,0.000601,-14.735435,-0.211693389,3.2146,-0.00292,-8.11,-7.405,0.611,0.8175,76.713,96.77845866,394.0798973,1.0495,-47.17097012,0,0,0,243.20635,304.25557215,4.0251,0.661,-16.9965,12.101,14.5515
2,5.75,0.297563777,-2.74278,3.3555875925,0.55515,0.3821400205,0.00042801,-13.96216,-0.183110354,3.2816,-0.00156,-8.12,-7.4,0.583,0.83,76.989315,96.785183,392.88,1.08792,-46.91,0.0214835095,0,0,242.1459,303.52375,4.047057714,0.6595,-16.553,10.3658,12.4625
2,6.25,0.299773889,-3.115185,3.327254954,0.50964,0.3157170015,0.00103,-14.050245,-0.1454679775,2.9012,-0.00243,-8.16,-7.385,0.579,0.793,77.996,96.80809091,393.2657503,1.0513,-51.0375,0.0875,0,0,241.9564,301.8422,3.9827330315,0.6595,-16.97,9.17465,11.189
2,6.75,0.30658,-2.72255,3.357411848,0.55699,0.379023137,0.000798,-10.572,-0.109560529,4.0664,0.00417,-8.2315073005,-7.385,0.5715,0.831,78.22659,96.82270904,393.3821467,1.06936,-49.12,0.606507498,0,0,242.8224,301.66535,3.991544378,0.657,-17.153,9.22355,11.0125
2,7.25,0.3080091075,-2.96482,3.456498448,0.617454487,0.409831438,6e-04,-4.4321,0.1511259255,5.8209,0.0112,-8.263264601,-7.52,0.5735,0.838,77.51090193,96.82026094,393.8085183,1.09595,-40.93,12.658883955,5.333196565,1.258066979,242.4397,302.9326742,4.050378919,0.638,-17.1635,8.6662,10.32145
2,7.75,0.331,-2.46731,3.56423464,0.494,0.371365759,0.000215,5.453595,0.5169342025,8.9943,0.0273,-8.34,-7.55,0.566,0.848,77.1,96.84036192,393.9730651,1.20692,-15.522449785,67.17095,28.6389118,2.9215092815,242.1787,302.64052305,4.056742051,0.622,-17.343,7.83545,9.42955
2,8.25,0.37202,-1.56249,3.7658,0.49728493,0.411222405,-0.000199,22.1799,0.98179,13.097,0.06354,-8.34,-7.56,0.533,0.876,75.032,96.837,394.0073447,1.38533725,15.73,182.6593,83.282,16.280366385,245.122,305.75378185,4.1361822725,0.6465,-16.872,7.2205,8.5261
2,8.75,0.390493924,-0.72453,4.061435,0.43572,0.430965,-0.0002185,40.479895,1.216087002,18.10272002,0.05105,-8.287414602,-7.69,0.498,0.892,73.07130136,96.84639766,393.778324,1.678,56.15,334.4982257,155,30.35008538,247.6258841,311.08565,4.323387576,0.673,-15.774,6.40805,7.7031
2,9.25,0.408425507,-0.46121508,4.247754569,0.345,0.422575,-0.000524,65.668595,1.187295073,20.711,0.026,-8.102264599,-7.67,0.464,0.887,68.853307105,96.85944093,393.32857545,1.9777,109.3,502.8056016,236.4,47.516955215,249.9315,312.3562,4.389261761,0.6805,-14.4905,6.2047,7.6804
2,9.75,0.416349396,0.34775,4.300573685,0.2880180995,0.390390068,-0.000804,84.678,1.415549155,21.38,0.0229,-7.96,-7.645,0.4505,0.89,65.139689305,96.83434098,392.84417445,2.295,159.1,649.09369705,310.000248,63.921,252.2286,315.8584476,4.51227,0.686,-13.128,5.86135,7.1768
2,10.25,0.426026298,0.8432728005,4.413314639,0.2136628405,0.425106924,-0.00119,109.68642475,1.216784071,22.945,0.00785,-7.79,-7.64,0.47275,0.8975,62.333,96.83753236,392.93778045,2.70435,202.9486778,823.9745522,394.722538,79.81898,253.97985,318.64017165,4.583850656,0.7055,-11.605,5.5804,6.77115
2,10.75,0.431279015,1.412177768,4.5003,0.26872,0.45177549,-0.0010255,125.09812,1.234219289,23.672,0.0165,-7.59,-7.57,0.532,0.904,59.387403125,96.80452806,392.4166452,3.087235,243.9593828,925,456.245738,95.02580175,256.3196,323.2488708,4.5281829745,0.6885,-10.633,5.56455,6.7872
2,11.25,0.43622748,1.99719,4.4969528525,0.307255,0.509470741,-0.00107,132.61505,1.1551027895,22.806,0.01675,-7.19,-7.45,0.553485,0.919,57.574,96.7899459,392.4437471,3.43705,281.9516402,1001.6735835,497.0196445,100.4822,257.4467,324.7749,4.515432055,0.683,-9.69195,6.03565,7.19665
