DOY2,HR2,CO2,H2O,CH4,FC,SC,FCH4,SCH4,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN_1_1_1,SW_OUT,SW_IN_2_1_1,TS_1_1_1,TS_3_1_1,G_1_1_1,G_3_1_1,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
3,20.75,503.335775,10.4318925,2111.785,24.3567325,13.1855210021208,21.89827,17.0016298822032,5.71302225000009,6.58557870561801,58.56278,12.8890824295429,99.528135,90.5573,18.4898025,15.0132,10.2586275,505.5267,673.30775,3.30512852499999,-0.05509663875,2.60811375,0.165173925,5.821668,8.396145,12.89695,10.325525,0.01220969,2.1732415,0.8537039,1.21816925,1.67817325,8.203936
3,21.25,505.348725,10.2823475,2131.9325,20.1895225,9.32094793615706,53.0956525000001,30.3964436757191,5.71427824999994,9.42582211407458,60.46726125,14.4931019327445,99.520965,91.8732,18.0398525,14.0541,10.0230525,511.10905,658.6375,2.63208423749999,0.092495625,2.60511,0.1499751,5.731998,8.250502,11.1792875,9.38245,0.0347493675,2.1121495,0.86879915,1.1272805,1.680095,8.099617
3,21.75,503.0992,11.37832,2127.4965,25.3612,7.99851419853453,36.982545,21.9318127845953,4.65146399999998,24.5176390080665,60.3671849999998,18.4112584451074,99.49996,90.9175,17.5282475,13.6095,9.13282125,526.1385,674.785375,1.04192945000003,0.0760758125,2.712015,0.148767225,5.64,8.12381299999999,9.86471,8.43671625,0.00905034975000001,2.052668,0.889386325,1.09400675,1.61065610261306,7.70236725
3,22.25,510.9027,11.2296325,2122.175,20.849425,33.9243944929615,31.6672625,38.7418249949402,18.7231775,13.2013919383094,57.5940299999997,16.2949355714434,99.51936,90.9326,17.033365,13.6172,8.751371,517.00425,656.8622,1.173355675,-0.0791656875,2.564435,0.157896925,5.61156375,7.99391849999999,8.410765,8.2248325,0.019625995,2.06521925,0.9043566,1.15584575,1.55889325,7.63527125
3,22.75,500.7085,11.212785,2139.794,27.999675,13.3932534247538,41.1548469999999,38.716707656829,8.39609525000009,6.99143370198456,59.1969925,11.5870936273151,99.528155,92.0895,16.8301375,13.7089,8.4368225,516.176,651.21665,-0.363017000000014,-0.18353825,2.74376875,0.1584597,5.6253735,7.86299999999999,6.7027525,7.42291125,0.0145419875,1.94912975,0.8430238,1.09008525,1.50985675,7.77269525
3,23.25,499.149,11.1232,2141.3645,9.10398499999998,10.3639562457638,49.86074,24.3788097283617,7.94883274999996,7.31359301009815,59.3576325,15.9557290359688,99.531415,91.38097,16.60946,12.094185,8.023531,521.709,678.76965,0.635018119999988,-0.0070959999999984,2.66462,0.158177925,5.6375,7.728,6.37262649999997,6.56540600000001,0.0170033599999999,1.991281,0.85764285,1.0218975,1.4843195,7.6681855
3,23.75,493.2685,10.585565,2141.228,26.6041574999999,2.50002099053278,21.3618,21.4225903830233,15.02409,11.4251493384661,53.05944,14.7316995776604,99.5223575,91.566605,16.0379,13.525185,7.750928,514.320475,683.0774,2.78684000000002,0.000465600000001121,2.490778,0.142498875,5.6375,7.567002,6.13723499999996,5.76094000000001,0.014596815,1.8914895,0.82032425,1.062451,1.500492,7.4541595
4,0.25,530.64075,14.65978,2115.355,17.01393,12.7300039546064,30.14179375,33.8552485426794,7.70016950000002,11.4694010707041,61.4979102499998,21.3133184891416,99.12646,93.5298,22.577325,19.1775625,11.23177,526.7936,628.350375,-1.70848795750001,0.0599424675000001,3.220069,0.152223975,12.4345,13.306365,10.4510475,6.00661300000001,0.02900275,2.00260785269849,0.83458225,1.08435125,1.62144125,8.1628775
4,0.75,521.18135,14.37948,2121.126,10.0486065,7.80105238074185,31.203475,23.8608138556526,8.66454050000002,16.324860052806,57.32632,16.402514266378,99.11455,92.658305,22.322295,18.574135,10.752415,552.9268,627.787875,-2.12755603000001,0.0364161599999996,3.058942,0.167423525,12.3685675,13.17572,8.99502950000002,6.06543399999998,0.02582557,1.8697265,0.79053505,1.0750204,1.4957175,7.2774335
4,1.25,505.362875,14.5716375,2128.845,17.7098875,9.49113008807555,22.97653825,23.9681307434789,11.868285,6.26736697812716,50.9955625,24.0494306050839,99.09437,92.08675,21.7970125,18.162375,9.3925475,550.5862,626.229625,-2.81173307499997,0.125920259999999,3.02638475,0.173410825,12.2482775,13.093115,6.91555400000002,5.90289475000001,0.01136218125,1.8111775,0.778374375,1.094995,1.55263907793104,7.66864875
4,1.75,502.224,14.564915,2133.675,22.119635,11.3728529351261,24.9169,21.3034468571123,9.56628600000001,25.8703882891468,58.4491900000001,22.6581235118866,99.09186,91.230045,21.489175,17.772125,8.925317,563.8766,628.32275,-3.04893686500006,0.23030225,3.12608675,0.176966525,12.1377,12.990625,6.19497675000001,5.59561775000001,0.0410171125,1.9156325,0.75497575,1.010124625,1.40162625,8.00990375
4,2.25,500.070625,14.612615,2131.2345,14.8211875,9.85260588746684,20.8027474999999,19.6152024390639,8.90948435,17.5024068215945,51.002925,14.8178060252121,99.092345,92.655245,21.3024375,17.26465,8.708349,574.140425,631.78275,-2.34753233000009,0.235564225,3.81668125,0.156540625,12.01168,12.97929,5.75762175,5.05513,0.0218524125,1.87545,0.74244625,1.08223875,1.49774746779394,7.57961375
4,2.75,493.4908,14.61995,2131.592,15.0250315,10.1345976956879,17.03886,24.1955596149824,14.2031675,14.3696264715169,56.814075,15.2698119794313,99.1128975,94.548,21.155605,17.42612,8.342847,550.72075,633.49055,-2.99545118000008,0.0562415599999997,3.63932199999999,0.1783888,11.90668,12.8128425,5.14236649999999,4.54205,0.012227575,1.873556,0.7776864,1.0792285,1.427934,7.317725
4,3.25,522.11035,14.9086,2136.428,14.731975,23.5817102551792,30.45556,29.6470289159133,7.18444050000001,24.974207119605,56.71129125,18.0008643217748,99.124925,91.5230625,20.846715,17.22006,8.69395249999999,553.4795,634.07635,-3.04781396000003,-0.0686218000000011,3.066494,0.171607875,11.77398,12.77026,4.54742449999999,4.154224,0.0408405150000001,2.0076545,0.7628788,1.068653,1.3908545,7.587311
4,3.75,504.3803,15.2612175,2146.582,12.385445,14.1800781277999,30.7553,19.7510196160932,7.6834,11.6553931070075,57.8562157499998,20.8724685373052,99.13434,93.00946,20.829795,17.827815,8.37673049999999,550.25775,635.93075,-4.17293919999996,-0.0199309200000004,3.406898,0.1885107,11.66668,12.691645,4.2504915,3.553666,0.011485775,1.92057086552132,0.8602527,1.1441195,1.54590367966523,7.586529
4,4.25,529.3015,15.16743,2168.7525,17.207055,13.3246102076665,24.01745,37.5477664235831,12.190685,14.0561061562146,60.046838,16.6346605829656,99.1348,93.22265,20.67704,17.67814,7.712491,562.987,640.812375,-1.90364753999998,0.0668810199999991,2.89858,0.1701857,11.6343,12.6611875,4.23368149999999,3.70283,0.03006073,1.9725525,0.817541900000001,1.039685,1.4902555,7.869417
4,4.75,549.182,14.8408875,2138.7715,23.746425,20.040723399032,26.1208555,18.1435229453064,9.5689825,7.75817567531439,55.4142099999999,16.178070204658,99.16992,93.97441,20.9114625,17.5843125,7.58193824999999,559.06675,640.878,-2.2917620225,0.435492375,2.8162895,1.17512035,11.55812,12.595,4.13447775,3.75237775,0.0319219375,1.9985125,0.89981525,1.0735525,1.5101675,7.62143375
4,5.25,554.704875,14.84316,2157.28,11.980055,13.5435752816806,22.414825,33.3008975915772,14.9825625,13.9396086966992,53.66516,14.7768925081646,99.238895,94.9900625,20.4982875,17.2777375,7.50415749999999,548.595275,640.713125,-0.211569300000012,19.896675,8.2351205,20.080085,11.4753475,12.4133,4.01477625,3.62465625,0.0306517125,1.9025875,0.830887625,1.03230875,1.4399173911262,7.86096
