DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
2,19.25,412.01125,0.888691,-14.5065125,20.40688,3.4297145,4.271697,0.381898675,70.17139,3.073287,94.073665,-16.052405,0.07881155,3.256667,4.294244,0.29596945,0.784330075,0.9022699,0.32733065
2,19.75,412.7548,0.87129975,-7.6446285,17.66807,3.087808,3.4661235,0.398711725,69.6066475,2.9440135,94.0778725,-18.6307125,0.0711572475,2.933333,4.44073225,0.29747985,0.7277119,0.7776789,0.332099625
2,20.25,411.8517,1.04415,-6.1174455,17.55383,2.75043,3.7150405,0.39016105,71.4392,2.648906,94.09385,-18.5180375,0.064376095,2.76249975,4.4283975,0.2865056,0.6667758,0.8865462,0.31181055
2,20.75,413.096125,1.2503675,-10.004873,18.5502,2.2639065,3.08126625,0.35071515,73.5906275,2.7062325,94.0808425,-18.15356,0.081396725,2.553333,4.46005675,0.2944335,0.7275162,0.780476275,0.305898825
2,21.25,413.0046,1.320445,-5.418969,15.327075,2.213713,2.7022795,0.38346795,71.99579,2.6410035,94.06195,-14.960695,0.0853446125,2.42750025,4.690092,0.31804285,0.7730533,0.8738316,0.3112916
2,21.75,413.693925,0.98624,-6.150072,14.2546225,2.2392615,2.801595,0.349694,71.716055,2.58466,94.05426,-16.3478325,0.0905146925,2.255,4.509971,0.292065,0.6905084,0.8677145,0.3255661
2,22.25,412.653225,1.0290495,-8.9916,13.2783975,2.076864,2.73300675,0.311042975,72.09453,2.544337,94.05825,-18.142345,0.08355376,2.1383335,4.554158,0.3067477,0.74710395,0.874264725,0.330236475
2,22.75,411.6334,1.21329,-10.00777,14.52846,2.1038195,2.660805,0.343539,70.944305,2.5821195,94.0297825,-15.3656375,0.0776906675,2.1008335,5.099334,0.3217357,0.7862278,0.9258565,0.3570841
2,23.25,413.1852,0.920742,-6.33924725,13.666125,1.930527,2.712225,0.2961311,72.7998,2.59428725,94.0466875,-14.57989,0.08080928,2,4.9575095,0.31299745,0.76042675,0.92421155,0.34911145
2,23.75,411.816375,1.121655,-10.02421675,12.60328,1.87686,2.69366875,0.32158045,74.40294,2.470476,94.120645,-13.584975,0.098364225,1.983333,4.95652125,0.3469123,0.8627908,1.12173675,0.363026
3,0.25,403.55205,1.06707,-13.343235,11.96392,4.20065275,4.8023765,0.49199745,69.501265,3.302381,93.9016525,-23.7861925,0.116365725,3.945,4.4071815,0.301203025,0.745325725,0.842568175,0.325438125
3,0.75,403.462175,1.1836975,-15.2383725,12.2095225,4.1468435,4.69311775,0.59407975,67.85882,3.26837775,93.91309,-24.7486825,0.117527775,3.86333325,4.222145,0.287904675,0.7152007,0.8377851,0.325615675
3,1.25,403.284075,1.07003,-13.95143,9.768047,3.85965475,4.46793325,0.488643875,67.6556925,2.98717625,93.9205575,-27.53455,0.113784075,3.57,3.972317,0.27601295,0.727496975,0.904071025,0.31374955
3,1.75,402.720575,1.1553175,-16.443375,9.841014,3.82869075,4.24124225,0.490992875,66.5005175,3.05362625,93.9309725,-26.59695,0.11748435,3.713333,4.1035125,0.302256175,0.717663875,0.8477113,0.315983775
3,2.25,404.08345,1.025055,-16.12386,9.78187825,3.62242775,4.17856,0.49559175,68.1053975,2.993378,93.93415,-26.386335,0.12981655,3.246666,4.14689875,0.295515,0.70410665,0.895702325,0.312179825
3,2.75,403.3673,1.14566,-13.2913875,9.496067,3.3902685,4.1841525,0.459112775,69.6412125,3.01255625,93.943275,-22.44874,0.11214665,3.2,4.61494125,0.2851352,0.65325045,0.77295065,0.320513175
3,3.25,403.5306,1.01024,-14.19541,6.34532225,3.38441225,4.0204075,0.468851225,70.27022,2.8596,93.9483225,-22.39698,0.098376905,3.2616665,4.503128,0.26674005,0.690901475,0.741606,0.2934118
3,3.75,403.6194,1.065405,-15.7419525,8.613183,3.4205275,3.89012725,0.4659563,71.5727,2.943816,93.95744,-20.92497,0.1048498,3.2866665,4.44896825,0.284453375,0.704096025,0.89069645,0.306921475
3,4.25,405.385225,1.20819,-16.012105,9.847311,3.16166175,3.67061875,0.389169325,72.53024,3.022727,93.940175,-23.9979175,0.10472095,3.325,4.55766725,0.3027636,0.730733475,0.82219845,0.3333851
3,4.75,403.47775,1.1312225,-16.20079,10.325325,3.235052,3.782633,0.446063,72.736275,3.08782525,93.926225,-19.5820225,0.108664375,3.300833,4.6593255,0.294381125,0.69914995,0.862872725,0.328539225
3,5.25,403.360425,1.00291,-17.27571,11.587905,3.29063975,3.72114325,0.431458175,72.844545,3.07926425,93.938845,-17.2248525,0.18215145,3.3516665,4.62656,0.2867339,0.645702,0.82462395,0.31474955
3,5.75,404.25305,0.86755775,-15.15224,11.8932275,3.448784,3.8901195,0.3722122,73.8121075,2.80828275,93.94806,-17.00143,5.48154125,3.35,4.71480375,0.3002276,0.72609605,0.785082425,0.336361275
3,6.25,404.4109,0.958237,-11.27348,11.90533,3.5784365,4.13435925,0.334377475,74.7723825,2.908605,93.9809675,-9.320031,41.61699,3.32,5.112879,0.3073434,0.7530236,0.859626875,0.352770175
3,6.75,404.7784,1.06402,-8.421496,14.58711,3.8418635,4.3345495,0.330576125,72.356035,3.1020665,93.998785,10.9543425,191.1178,3.21999975,5.3665,0.3169511,0.7861098,0.88236905,0.352819825
3,7.25,404.5064,0.783344,4.641716,21.01102,3.931707,4.53970225,0.35515425,71.04775,3.259272,94.0004425,46.253155,386.381775,3.61749975,5.3218335,0.34716825,0.819813825,0.873691825,0.368469475
3,7.75,403.826675,0.574246,19.864745,29.04627,4.51447875,4.765368,0.36571425,69.85544,3.4077555,94.008535,98.644195,551.421625,5.3899995,5.6555715,0.353279575,0.89200995,1.00745775,0.3830353
3,8.25,405.8152,0.41817925,43.508575,46.139185,4.77210275,5.094809,0.404978725,68.0858525,3.70751425,94.024555,146.401275,740.353025,5.73833325,5.89619575,0.3936719,0.981023775,1.01697775,0.4116504
3,8.75,403.0248,0.45649775,56.62634,59.002025,5.49486925,5.7472055,0.4779263,64.2747525,4.11034475,94.0283125,188.41855,874.212975,6.255833,5.94846975,0.393729,1.07847075,1.05404775,0.41366615
3,9.25,404.632275,0.53784,86.6547175,69.1264,6.41427575,6.51067125,0.546412525,62.35545,4.45028575,94.0345825,228.278825,1013.05375,6.9399995,5.959621,0.430893425,1.02346825,1.08329375,0.45588175
3,9.75,403.137375,0.4003425,101.2447,91.18108,6.7249885,6.8350915,0.61211705,61.90432,4.6892195,94.0394225,277.71655,1126.37325,7.23083325,6.03453,0.432338425,1.00813575,1.04013825,0.461970775
