DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
1,19.25,378.9965,2.552,0.145,-1.645,237.95,244.45,-0.07,0,-16.95,89.7,0,0,0.6,-4.43,-6.3,-1.1,-4.535,-4.385,0.3,93.6,2.115
1,19.75,378.956,2.62,0.14,-1.415,240.3,244.55,0,0,-16.9,89.65,0,0,0.35,-3.92,-6.4,-0.5,-4.525,-4.385,0.3,93.6,1.88
1,20.25,378.968,2.5385,0.15,-1.375,238.45,243.85,0,0,-16.9,89.4,0,0,0.8,-2.515,-6.2,-0.7,-4.515,-4.385,0.2885,93.6,1.815
1,20.75,379.154,2.517,0.15,-1.39,238.45,243.75,0,0,-17.2,89.2,0,0,1.3,-3.095,-6.1,-0.8,-4.515,-4.37,0.289,93.6,1.915
1,21.25,378.929,2.484,0.14,-1.28,239,244.15,0,0,-17.15,89.2,0,0,0.4,-2.545,-6,-0.75,-4.515,-4.36,0.2825,93.6,1.965
1,21.75,379.306,2.504,0.14,-1.18,239.6,244.3,0,0,-16.95,89.4,0,0,0.85,-1.815,-6,-0.25,-4.51,-4.355,0.3,93.6,1.91
1,22.25,379.222,2.469,0.14,-1.3,240.6,244.1,0,0,-17.05,89.55,0,0,0.6,-2.38,-6.05,-0.45,-4.505,-4.355,0.3,93.6,1.91
1,22.75,379.574,2.456,0.14,-1.23,241.9,245.2,0,0,-16.95,89.75,0,0,0.8,-1.69,-6,0.1,-4.5,-4.35,0.3,93.6,1.875
1,23.25,379.4585,2.415,0.14,-1.32,239.95,246.65,0,0,-16.65,89.95,0,0,1.2,-3.32,-6.1,0,-4.5,-4.345,0.31,93.6,1.82
1,23.75,379.782,2.39,0.14,-1.34,235.95,247.9,0,0,-16.15,90.3,0,0,0.7,-2.09,-6.1,-0.2,-4.49,-4.34,0.29,93.6,1.795
2,0.25,377.439,2.86,0.16,-29.1,217.4,253.7,-0.435,0.27,-14.25,89.4,0,0,-0.2,-11.61,-4.65,-0.9,-4.515,-4.375,0.22,93.6,2.065
2,0.75,377.5615,2.804,0.15,-21.525,226.2,253.6,-0.205,0.26,-14.75,89.35,0,0,-0.15,-9.43,-4.7,-0.5,-4.525,-4.39,0.225,93.6,1.95
2,1.25,377.931,2.7745,0.16,-19.865,228.3,253.85,-0.16,0.205,-14.7,89.7,0,0,0.2,-8.03,-4.6,-1,-4.535,-4.405,0.22,93.6,1.87
2,1.75,377.784,2.632,0.15,-19.64,232.2,254.8,-0.14,0.285,-14.7,90,0,0,0,-10.725,-4.6,-0.25,-4.53,-4.415,0.205,93.6,1.85
2,2.25,377.748,2.877,0.15,-18.21,233.15,255.3,-0.12,0.24,-14.6,90.9,0,0,-0.2,-11.035,-4.55,-0.25,-4.505,-4.425,0.2385,93.6,1.885
2,2.75,378.34,2.783,0.15,-14,234.2,255.55,-0.11,0.225,-14.8,90.3,0,0,0.1,-10.7,-4.9,-0.3,-4.5,-4.425,0.21,93.6,1.985
2,3.25,378.362,2.7245,0.15,-13.37,238.8,256.2005,-0.145,0.13,-14.6,89.55,0,0,0.2,-10.07,-5.05,-0.3,-4.485,-4.42,0.23,93.6,1.96
2,3.75,378.866,2.752,0.15,-15.88,234.6,254.4,-0.26,0.145,-14.45,90,0,0,-0.3,-10.28,-4.9,-0.1,-4.475,-4.405,0.23,93.6,2.05
2,4.25,378.919,2.749,0.15,-13.2,239.75,254.4,-0.12,0.125,-14.45,91.1,0,0,-0.3,-8.75,-5,-0.4,-4.465,-4.395,0.215,93.6,2.005
2,4.75,379.236,2.734,0.15,-13.875,239.6,254.8,-0.02,0.155,-14.25,90.25,0,0,-0.1,-8.71,-5,-0.1,-4.465,-4.385,0.248,93.55,1.955
2,5.25,379.03,3.1955,0.15,-11.67,240.35,254.85,-0.1,0.14,-14.45,90.05,0,0,0,-8.395,-5.05,-0.35,-4.48,-4.39,0.2275,93.6,1.955
2,5.75,378.743,3.2235,0.15,-10.07,237.15,253.9,-0.18,0.09,-14.65,90.4,0,0,0,-8.225,-5.1,-0.8,-4.505,-4.4,0.23,93.6,1.825
2,6.25,378.611,2.782,0.15,-11.78,235.2,251.25,-0.175,0.07,-14.8,90.15,0,0,-0.25,-7.495,-5.2,-1.25,-4.535,-4.41,0.1995,93.6,1.855
2,6.75,378.86,2.809,0.15,-13.17,230.8,248.95,-0.23,0.125,-15.5,89.6,0,0,-0.45,-6.5,-5.25,-0.8,-4.555,-4.425,0.185,93.6,1.875
2,7.25,378.846,2.698,0.15,-13.985,229.45,249.8,-0.18,0.13,-15.9,89.7,0,0,-0.5,-8.2,-5.2,-0.2,-4.545,-4.42,0.2,93.6,1.865
2,7.75,379.049,2.597,0.15,-14.235,233.95,252.2,0,0.21,-15.95,90.1,0,0,-0.7,-8.735,-5.05,-1,-4.54,-4.415,0.213,93.6,1.85
2,8.25,379.271,2.498,0.14,-7.235,235.9,250.05,1.585,1.255,-15.6,89.8,3.9075,0.33,0,-6.825,-5.1,-0.6,-4.54,-4.42,0.2135,93.55,1.86
2,8.75,378.953,2.6355,0.14,1.61,241.8,251.9,16.2155,5.18,-15.3,91.1,28.036,3.94,-0.3,-3.26,-5.05,0.4,-4.535,-4.43,0.2585,93.6,1.87
2,9.25,378.7395,2.7435,0.14,15.97,239.5,255.65,45.54,11.24,-14.7,91.8,79.875,14.06,1.05,3.23,-5.25,1.6,-4.535,-4.435,0.287,93.6,1.9
2,9.75,379.3845,2.808,0.16,39.44,238.75,259.1,83.9,19.5,-13.55,91.15,151.4,27.71,3.7,14.1,-5.2,3.8,-4.54,-4.445,0.32,93.6,1.98
2,10.25,378.547,2.6935,0.19,71.71,237.75,261.2505,141.2,29.065,-12.5,89.35,229.015,40.81,6.8,28.5,-5.15,4.4,-4.54,-4.45,0.343,93.6,2.07
2,10.75,378.5305,2.8325,0.23,100.66,236.5,263.8,181.35,39.125,-11.7,88.05,312.3,57.62,10.5,53.88,-5.05,5.45,-4.55,-4.445,0.41,93.65,2.43
2,11.25,378.372,3.793,0.28,128.54,239.5,265.95,215.8,43.42,-11,85.55,393.02,70.35,14,74.765,-4.9,5.85,-4.57,-4.435,0.43,93.7,2.3
2,11.75,378.79,3.637,0.35,151.355,234.6,268.1,236.7,48.03,-10.25,82.25,433.9,74.02,13.8,82.51,-4.75,4.3,-4.575,-4.42,0.459,93.7,2.59
2,12.25,378.6455,3.909,0.46,176.265,237.75,271.75,275.5,49.675,-9.3,78.7,480.285,80.88,14.2,92.825,-4.65,4.55,-4.51,-4.4,0.49,93.75,2.61
2,12.75,378.899,3.924,0.55,185.005,235.3,273.6,284.9,53.25,-8.65,77.05,540.445,83.58,18.35,108.33,-4.65,5.1,-4.525,-4.375,0.49,93.75,2.595
2,13.25,378.267,3.9195,0.535,184.1,231.55,274.6,315.9,54.135,-8.6,77.2,606.54,82.25,18.95,110.12,-4.5,3.8,-4.505,-4.34,0.54,93.8,2.775
2,13.75,377.994,3.858,0.59,181.23,230.7,276.8,307.15,54.46,-8.05,76.05,594.775,83.68,21.2,118.15,-4.25,3,-4.415,-4.26,0.52,93.8,2.825
2,14.25,377.796,4.032,0.67,163.375,224.55,277.35,285.3,49.495,-7.65,75.8,552.885,74.49,21.65,103.41,-4.25,2.9,-4.36,-4.195,0.5225,93.8,2.77
2,14.75,377.492,3.932,0.64,149.15,217.95,277.25,270.1,46.41,-7.8,77.1,528.06,67.64,19.1,97.14,-4.1,2.05,-4.35,-4.2,0.515,93.85,2.705
2,15.25,377.7205,4.034,0.6,108.94,224.45,277.9,231.2,40.16,-7.65,78.15,422.65,55.91,18.4,68.86,-4,0.9,-4.34,-4.195,0.495,93.85,2.68
2,15.75,377.619,3.993,0.55,89.515,223.7,278.25,187,33.835,-7.55,78.85,357.54,47.64,15.3,58.51,-3.85,0.5,-4.33,-4.19,0.49,93.85,2.54
2,16.25,377.572,3.864,0.515,49.745,225.75,276.85,133.7,26.77,-8.1,80.25,261.4955,36.64,12.9,33.915,-3.85,0,-4.335,-4.205,0.465,93.8,2.515
2,16.75,377.538,3.9705,0.5,19.945,217.55,275.3,84.25,18.505,-8.25,81.35,177.17,25.65,8.3,16.38,-3.8,-1.4,-4.36,-4.23,0.44,93.8,2.445
2,17.25,377.511,3.822,0.425,-4.9,217.15,272.65,42.425,9.365,-8.9,82.85,89.8235,14.3,4.8,5.46,-3.8,-1.9,-4.38,-4.255,0.4,93.8,2.26
2,17.75,377.3885,3.762,0.355,-35.275,219.6,269.6,13.05,3.355,-9.75,84.4,36.532,5.585,3.3,-5.06,-3.8,-3.4,-4.395,-4.27,0.321,93.8,2.055
2,18.25,376.802,3.775,0.305,-50.55,223.55,266.35,0.795,1.145,-10.6,85.45,7.4765,1.255,0.9,-5.92,-3.75,-3.8,-4.41,-4.285,0.27,93.8,1.755
