DOY2,HR2,CO2,FC,G,H,LE,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,FCH4
1,23.25,486.0225,0.422624,-0.272732275,-0.0415333,0.6858965,1.8840675,0.15754175,102.333965,97.765,6.4988075,-1.6,0.0164485,1.5709955,331.8159215,341.085,6.738035,6.14971625,5.98915475,7.0228625,6.273365
1,23.75,487.3425,0.794384,-0.274583325,-0.179479,1.8771625,1.419065,0.1417145,102.35536775,97.92575375,6.3626935,-1.86741,0.0248815,1.4077125,333.04926325,340.85365325,6.7982675,6.15204,5.98,7.0260325,4.35
2,0.25,459.72825,0.4292415,-1.51822600025,-0.410222,1.6892475,1.4671825,0.2062855,102.4236,97.895241,5.631506,-2.9575,0.03345,1.871435,326.35743375,341.08285975,6.17281,7.6076925,7.400095,7.5457725,7.3975
2,0.75,459.40875,0.375777,-1.9188470835,-0.20342,2.32207,1.84744,0.173166,102.4370345,97.909767,5.42950525,-3.01701625,0.02808325,1.95020275,327.47525,341.05696125,6.037402939,7.5183225,7.4123225,7.54918,9.945
2,1.25,459.977,0.417048,-2.00665058325,-0.4207125,2.02883,1.71042,0.185206,102.4233715,97.54776,5.658908,-2.526314,0.018976275,1.9042775,327.9074175,339.95775,5.839274417,7.4493625,7.380515,7.517425,7.5225
2,1.75,462.4215,0.360554,-2.11925999975,-1.0041945,2.277705,1.643945,0.157515,102.451334,97.382614,5.4825,-2.573623,0.02068625,1.9923675,329.45120275,339.65791775,5.865,7.4260225,7.3805975,7.5229325,10.3
2,2.25,463.17875,0.375056,-2.1128,-1.3945825,1.4516,1.732405,0.177668,102.45625,97.578438,5.414733,-2.35862625,0.02408425,1.8779225,328.8268125,339.9725,5.822695371,7.40297,7.3523075,7.472315,7.5175
2,2.75,454.803,0.557782,-2.13974875,-0.349672,2.000095,1.820715,0.18047475,102.4325,97.76,5.197196,-2.396572,0.0475,1.8005475,328.179786,339.17775,5.716,7.3458675,7.3450425,7.502085,9.685
2,3.25,455.22025,0.341756,-2.27319825,-0.56839675,2.63833,1.81193,0.1712895,102.37622425,97.691765,5.15995225,-2.81,0.0375,1.8257775,327.44,338.43,5.67807231225,7.320505,7.327685,7.4865625,7.2325
2,3.75,456.009,0.34570875,-2.45112591675,-1.394445,2.37209,1.85233,0.19064,102.3975,97.710846,5.23,-3.1475,0.04216885,1.8906425,326.49921875,338.53158125,5.428895375,7.285,7.30815,7.5072225,6.395
2,4.25,453.5215,0.42474475,-2.67535875,-0.567451,3.1761175,1.866965,0.184856,102.41625,98.025764,5.26,-3.093468,0.02,1.7712425,325.5664165,338.165,5.425682316,7.215825,7.2898375,7.472675,12.5175
2,4.75,454.45225,0.38016625,-2.987894583,-0.0152222,2.2112725,1.96063,0.178787,102.40324475,97.97,5.288015,-3.3959295,0.0375,1.775555,327.531433,338.15275,5.316,7.15,7.2806425,7.4838725,7.53
2,5.25,451.478,0.4457655,-2.92743666675,-0.553043,2.23149,1.839795,0.186898,102.40627575,98.04,5.1970415,-2.8888355,0.0227039,1.91655,326.9,338.3076015,5.332148691,7.102475,7.2511375,7.4902725,12.7
