DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
3,9.25,1.305475,18.3035,5.200975,4.22325,5.99985,0.98015,387.6464,127.02075,5.038025,9.00537499999999,95.3025,103.22525,410.116825,10.0915,463.5175,687.745,89.9375
3,9.75,1.352175,19.3305,5.262475,3.015375,4.6711,0.54305,452.7182,116.0225,6.05015,9.51162499999999,95.105,103.1202,406.7865,10.97175,480.6125,713.325,102.2575
3,10.25,1.31975,19.63975,5.288575,2.11735,2.84125,0.2996,471.8805,96.6388,7.437275,9.86337499999999,94.1275,103.1202,404.70995,12.3655,508.7725,735.275,109.755
3,10.75,1.3089,20.54625,5.435775,2.98769999999998,5.74592500000001,0.928925000000002,499.188125,90.904,8.716575,10.517125,93.92,103.0875,406.02055,14.02575,540.6325,774.25,101.36
3,11.25,1.2831,21.178,5.48845,2.318275,2.9896,0.377125,573.1174,128.0881,9.38084999999999,11.077625,93.505,103.075,406.216575,14.1785,563.07,804.025,102.4425
3,11.75,1.283,21.71175,5.414575,3.040225,3.116,1.081175,548.89025,103.202325,11.575,11.485375,93.3,102.99,401.35075,16.8245,574.8275,820.025,101.55
3,12.25,1.304,22.16925,5.647,2.72505,2.379,0.978399999999999,533.08465,94.8652,13.519075,11.688375,92.8075,102.99,401.7394,18.1205,574.56,821.025,101.25
3,12.75,1.273,22.63025,5.67315,1.700575,2.711,1.054,527.28185,86.63625,14.7278,12.137625,93.6025,102.90585,401.20605,18.2745,565.505,808.025,95.3075
3,13.25,1.480425,23.4425,5.541925,2.133425,2.4914,0.649999999999998,533.688325,111.3568,15.443175,12.609125,93.325,102.923325,401.1636,18.703,539.4175,782.35,90.91
3,13.75,1.401,23.7615,5.8058,2.84230000000001,3.78,0.498,472.7438,87.9076,15.323825,12.74325,93.6175,102.90585,401.1346,19.20225,498.61,745.325,82.9175
3,14.25,1.3546,23.555,5.3882,2.4754,2.90069999999999,0.550275,412.669875,85.1349249999999,15.5565,12.910125,93.7,102.90585,400.82775,19.1675,452.175,682.78,74.1975
3,14.75,1.375725,23.6595,5.35325,2.68055,3.87497499999999,0.581,420.27,67.0786,14.8297,12.953,93.7025,102.89,400.64665,19.20675,393.1875,612.8025,67.024
3,15.25,1.356975,23.745,5.489,2.60527499999999,2.659325,0.610349999999999,349.7603,68.1246,14.2655,13.03125,93.31,102.905,400.7276,19.883,325.8975,531.71,55.1265
3,15.75,1.276,23.42525,5.1298,2.53745,2.315,0.699,260.5971,65.151175,13.65225,12.582875,93.4,102.9208,401.2412,18.93625,259.3275,449.1075,46.0855
