DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
1,17.25,0.014,0.046,0.48275,-13.0755,0.12025,-0.06175,425.3165,4.231,-60.95525,0,-0.804,0.092,230.3385,288.28125,-5.132,74.0775,1.21775,98.60225,-0.09575,-0.30275,0.17075,2.115,-6.12875,0.35165,0.1602,0.4103
1,17.75,-0.036,-0.06075,0.078,-12.8595,0.103,-0.06975,425.0675,4.20375,-66.0195,0,-2.06675,-0.12925,215.92275,283.6095,-5.18725,74.5675,0.9785,98.601,-0.09475,-0.29425,0.16725,2.11475,-6.83725,0.3413,0.1402,0.328425
1,18.25,0.005,-0.0605,0.84525,-13.5385,0.09825,-0.046,425.143,4.3085,-54.09475,0,-1.8115,-0.10825,224.1025,282.904,-5.215,73.515,0.908,98.65725,-0.108,-0.28875,0.1645,2.11425,-7.31,0.3333,0.1368,0.3829
1,18.75,0.063,-0.0475,0.10075,-12.08925,0.08,-0.02675,425.4185,4.3215,-46.57575,0,-1.5375,-0.10075,239.79925,283.36175,-5.229,73.6875,0.979,98.6,-0.0935,-0.29625,0.16075,2.11575,-7.73875,0.3109,0.1488,0.292025
1,19.25,-0.132,-0.1125,0.223,-11.8335,0.088,-0.0575,425.3585,4.2235,-43.66275,0,-1.7445,-0.08825,234.37225,281.93075,-5.45625,75.225,0.95175,98.605,-0.09325,-0.32,0.1565,2.11325,-8.30225,0.3438,0.165075,0.3589
1,19.75,0.056,-0.03075,0.48175,-16.80925,0.1115,-0.0495,425.5815,4.2125,-37.93475,0,-1.87075,-0.081,240.87425,284.583,-5.44925,75.08,0.924,98.612,-0.0925,-0.33,0.15275,2.1085,-8.22275,0.3218,0.1505,0.386875
1,20.25,-0.018,-0.0955,0.18475,-15.91575,0.096,-0.0515,425.557,4.06475,-43.04325,0,-1.748,-0.049,248.6595,288.17725,-5.23475,75.155,1.015,98.64,-0.09225,-0.32875,0.14825,2.102,-8.5735,0.3511,0.1692,0.4047
1,20.75,0.015,-0.1025,-0.099,-15.9275,0.112,-0.0395,425.23175,4.07275,-61.4905,0,-1.99275,-0.077,235.5995,288.28025,-5.14475,74.8175,1.005,98.645,-0.092,-0.3285,0.14375,2.09525,-8.73525,0.3805,0.1437,0.3963
1,21.25,0.015,-0.097,-0.0685,-15.727,0.088,-0.05575,423.9625,4.18025,-44.96125,0,-1.95825,-0.034,246.51025,288.766,-5.25475,74.9675,1.23375,98.613,-0.0925,-0.34725,0.1385,2.091,-8.956,0.348075,0.1339,0.348
1,21.75,-0.0525,-0.0635,0.03025,-15.805,0.125,-0.054,423.421,4.091,-51.3095,0,-2.0475,-0.054,248.149,285.8375,-5.591,75.3,1.372,98.60325,-0.0995,-0.363,0.1165,2.081,-8.901,0.396525,0.184225,0.416
1,22.25,-0.0225,-0.145,0.318,-15.067,0.129,-0.045,423.3215,4.1825,-44.6805,0,-1.918,-0.0305,245.64475,281.7075,-5.66125,76.295,1.281,98.566,-0.09225,-0.35975,0.127,2.08625,-8.9975,0.3946,0.1733,0.4145
1,22.75,0.005,-0.013,0.043,-16.65475,0.141,-0.0375,423.62975,4.2685,-36.1115,0,-1.34175,-0.07575,241.778,280.51675,-6.16675,76.5825,1.37,98.49525,-0.092,-0.38525,0.1215,2.0835,-9.14,0.42115,0.189825,0.400825
1,23.25,-0.061,-0.086,-0.151,-16.201,0.135,-0.023,424.788,4.211,-35.22475,0,-1.461,-0.07425,251.401,284.0365,-6.23975,78.3025,1.395,98.538,-0.09175,-0.3935,0.11625,2.0825,-9.18175,0.3699,0.193025,0.45445
1,23.75,-0.16075,-0.203,-0.2055,-14.79575,0.157,-0.0305,424.225,4.188,-40.412,0,-1.602,-0.06825,229.382,280.95625,-6.321,79.035,1.244,98.503,-0.0915,-0.39225,0.11075,2.08125,-9.306,0.4018,0.2107,0.447875
