DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
8,4.75,1.894276,1.720668,-12.3501635,68.9,440.856409,17.259293,2305.969,0.104804,0.3071855,15.029249,13.48,100,96.200496,16.54,0.514,59.6505,65.23,2296.36075,2149.738,0.369,15.845,14.415,14.035,13.755,10.48,7.0715,1.301,371.4670865,385.8559124,-8.315
8,5.25,1.703984,5.1443305,-10.376437,66.0045,434.165865,17.4348095,2281.263,0.104845,0.337552,15.065767,13.42,100,96.2103,16.53,7.9525,66.317,58.367,2259.22,2143.097,6.129,15.85,14.415,14.035,13.755,10.48,7.0725,2.102,368.3848409,385.4478793,-4.027
8,5.75,1.24222,7.116713,-11.132648,74.017,426.33086,17.435577,2279.07,0.105921,0.3782125,15.1771835,13.51,100,96.241598,16.53,36.67900445,71.5805,59.7195,2224.44175,2125.592,22.53,15.855,14.415,14.035,13.755,10.485,7.073,3.936,372.1577189,386.1762668,4.944
8,6.25,0.2147035,9.25289,-7.988416,72.782,425.173031,17.7154,2223.137,0.109466,0.435625,15.747,13.92,100,96.244783,16.525,75.3087008,69.496,55.982,2224.85425,2134.768,39.81,15.86,14.415,14.035,13.75,10.485,7.0755,6.167,373.4435581,387.5284219,20.14
8,6.75,-0.877727,18.8772465,-3.680232,73.943,419.9147855,18.086249,2138.014,0.117082,0.571756,16.776478,14.55,99.6,96.255165,16.52,111.5742034,75.938,68.442,2187.094,2147.3425,60.975,15.86,14.415,14.035,13.76,10.485,7.078,8.72,374.6600761,388.81006125,38.88
8,7.25,-1.995604,35.2312995,8.997721,74.297,406.7558215,18.754494,2087.974,0.127288,0.7949655,17.8008045,15.69,95.6,96.2616695,16.52,162.5,71.813,73.285,2176.6425,2137.4045,81.4,15.86,14.415,14.04,13.76,10.49,7.077,11.03,373.6596449,391.4677996,54.36
8,7.75,-3.3429965,60.419014,20.996281,77.917,398.974315,18.6694525,2050.5365,0.1558,0.993599,19.028048,16.85,88,96.253675,16.52,268.32,73.584,72.752,2137.0835,2109.224,111.5,15.865,14.415,14.04,13.76,10.49,7.0785,15.09,375.8674337,396.3986066,77.66
8,8.25,-4.053327,86.016674,40.67511,74.825,394.369509,19.185201,2030.664,0.177669,1.115034,19.829828,17.72,82.5,96.25712,16.52,405.71,66.389,73.267,2116.39475,2105.9,183.1,15.865,14.415,14.04,13.76,10.49,7.077,23.305,371.99956765,400.9254276,116.65
8,8.75,-4.693576,118.7986135,59.70865,82.521,390.447609,18.921928,2017.61,0.20547,1.248845,20.7254475,18.7,77.72,96.261434,16.51,671.95,75.537,75.59,2075.0715,2093.056,382.95,15.875,14.415,14.04,13.755,10.49,7.077,37.685,366.7372966,406.71801805,272.65
8,9.25,-5.1926815,151.899241,78.410804,81.877,387.501944,18.844137,2006.599,0.2121475,1.3438,21.627638,19.575,73.41,96.265434,16.515,937.5,64.3505,78.129,2058.535,2058.063,551,15.88,14.42,14.04,13.76,10.495,7.077,64.31,361.1762542,411.75086905,363.35
8,9.75,-5.4503465,180.7367115,84.84498,85.314,385.5942395,18.838449,1990.7165,0.218211,1.4352605,22.137081,20.23,70.36,96.260287,16.51,1071,68.2455,77.009,2052.77275,2051.889,607,15.88,14.42,14.04,13.755,10.49,7.0765,79.27,355.4851994,413.2353291,439.6
8,10.25,-5.460992,213.623335,91.479323,83.171,384.020493,18.6904105,1991.529,0.236028,1.574046,22.553391,20.76,67.71,96.2371795,16.515,1175.5,68.167,83.447,2047.3345,2043.755,672.2,15.88,14.42,14.04,13.76,10.495,7.0795,80.9,358.4613646,415.8574147,478.45
8,10.75,-5.567121,229.0560245,93.7713455,87.363,382.803618,18.4495435,1979.6195,0.244847,1.639368,22.876844,21.3,66.56,96.245662,16.52,1242,64.35,77.227,2044.4825,2050.047,669.6,15.88,14.415,14.04,13.76,10.49,7.0785,87.3,358.5301437,417.6435975,505.1
8,11.25,-5.590546,253.249127,94.402118,86.9265,382.129339,18.4875,1977.261,0.247636,1.648842,23.381319,21.605,63.895,96.2393275,16.515,1279.499936,68.435,80.9575,2031.46525,2047.432,684.1,15.88,14.415,14.04,13.76,10.495,7.078,82.6,360.1206065,421.4093809,498.1
8,11.75,-5.5557705,261.776396,97.1867255,83.014,381.568846,18.4297025,1974.388,0.255635,1.6794,23.632202,21.97,61.025,96.22962,16.515,1338.6,69.2655,80.628,2023.276,2044.2115,716.55,15.875,14.415,14.04,13.76,10.495,7.075,85.4,363.17246735,423.66410355,528
8,12.25,-5.248635,261.995714,93.816713,91.726,380.880137,18.4021975,1969.535,0.246989,1.700895,23.9850525,22.34,59.63,96.216134,16.525,1310,74.1525,79.757,2018.7595,2037.682,688.5,15.875,14.42,14.04,13.76,10.485,7.0745,86.05,364.17951025,426.6479429,490.9
