DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,13.75,0.76,5.687,2.9205,-0.705,-0.6,-0.061,194.727,1.284,35.685,-0.148,-2.418,0.285,0.4105,32.6005,77.94,385.171,6.06,474.95,1424,728.55,254.8,144.45,247.8,339.9,3.792,322.2
2,14.25,0.7425,5.8135,2.92,-0.806,-0.785,-0.022,176.6855,-2.575,32.239,0.151,-2.494,0.288,0.421,31.65,77.93,385.1135,6.23,441.3,1347,676.45,228.8,126.4,249.1,340.15,3.799,275.8
2,14.75,0.737,5.735,2.854,-0.682,-0.631,-0.048,165.7185,-1.758,33.703,0.3625,-2.5,0.286,0.432,31.96,77.921,385.059,6.27,389.5,1218,605.15,193.2,110.25,247.55,339.9,3.753,276.8
2,15.25,0.727,6.042,2.83,-0.8645,-0.738,-0.053,142.294,-2.033,30.626,0.129,-2.5285,0.283,0.4365,32.99,77.93,384.916,6.39,319.65,1077,512.75,173.2,90.85,247.95,338.15,3.67,263.85
2,15.75,0.702,5.962,2.577,-0.641,-0.559,-0.041,108.0465,-3.503,24.602,0.54,-1.63,0.284,0.445,33.72,77.945,384.8375,6.375,238.7,880.5,411.75,119.15,74.405,246.3,336.2,3.8895,238.55
2,16.25,0.655,5.81,2.578,-0.3515,-0.3105,-0.011,80.033,-3.5455,22.1725,0.7705,-2.1745,0.2895,0.446,35.56,77.9305,384.775,6.11,162.85,645.7,313.55,52.32,51.595,244.05,333.6,3.842,190.35
2,16.75,0.559,5.66,2.44,0.168,0.0275,0.019,37.297,-5.022,15.674,0.471,-2.365,0.288,0.4535,35.79,77.945,384.925,5.85,76.96,424.1,207.55,8.3515,37.47,241.15,330.75,3.956,148
2,17.25,0.514,5.267,2.228,0.318,0.2075,0.0505,8.7205,-8.106,8.8365,0.216,-2.4505,0.29,0.459,37.96,77.95,384.984,5.61,4.266,189.35,102.25,0,19.41,238.45,326.95,4.039,107.2
2,17.75,0.412,4.265,1.715,0.521,0.3,0.1415,-11.389,-13.328,3.536,0.1515,-2.486,0.295,0.4635,40.21,77.95,385.286,5.18,-61.155,52.68,21.905,0,6.632,235.8,322.95,4.148,43.02
2,18.25,0.296,2.995,1.545,0.696,0.422,0.167,-16.698,-13.337,0.925,0.6335,-2.5115,0.294,0.467,42.86,77.97,385.523,4.665,-91.5,4.7305,-1.3395,0,1.956,233.9,318.3,4.228,3.649
